 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_2EV44.jpg,2.436E-4,148.653,0.662,200.768,-84.472,0.261
2,OFAV_SS_2EV44.jpg,1.716E-4,131.193,1.501,180.728,-105.945,0.183
3,OFAV_SS_2EV44.jpg,2.470E-4,148.419,0.143,198.122,10.359,0.264
4,OFAV_SS_2EV44.jpg,9.969E-5,97.185,0.000,179.333,1.507,0.106
5,OFAV_SS_2EV44.jpg,0.054,163.114,0.000,210.000,0.000,0.000
6,OFAV_SS_2EV44.jpg,0.015,134.038,0.000,210.000,0.000,0.000
7,OFAV_SS_2EV44.jpg,3.658E-4,140.446,0.000,194.850,-92.862,0.392
8,OFAV_SS_2EV44.jpg,1.985E-4,114.447,2.482,181.193,-88.493,0.212
9,OFAV_SS_2EV44.jpg,2.444E-4,147.989,1.005,198.607,10.469,0.261
10,OFAV_SS_2EV44.jpg,1.188E-4,102.319,6.139E-12,172.667,14.036,0.127
11,OFAV_SS_2EV44.jpg,0.090,150.465,0.000,215.000,0.000,0.000
12,OFAV_SS_2EV44.jpg,0.023,128.571,0.000,215.000,0.000,0.000
13,OFAV_SS_2EV44.jpg,2.219E-4,146.331,1.100,201.368,-77.764,0.237
14,OFAV_SS_2EV44.jpg,1.361E-4,98.790,0.337,196.955,-70.866,0.145
15,OFAV_SS_2EV44.jpg,2.418E-4,141.617,0.338,197.786,13.736,0.259
16,OFAV_SS_2EV44.jpg,1.032E-4,130.353,1.119,175.618,7.306,0.110
17,OFAV_SS_2EV44.jpg,0.051,155.524,0.000,210.000,0.000,0.000
18,OFAV_SS_2EV44.jpg,0.015,129.047,0.000,206.000,0.000,0.000
19,OFAV_SS_2EV44.jpg,2.219E-4,166.548,0.000,207.878,-87.306,0.238
20,OFAV_SS_2EV44.jpg,1.084E-4,148.602,0.129,212.241,-75.964,0.115
21,OFAV_SS_2EV44.jpg,2.184E-4,159.198,0.139,209.345,21.038,0.233
22,OFAV_SS_2EV44.jpg,9.795E-5,143.568,0.085,192.000,7.696,0.104
23,OFAV_SS_2EV44.jpg,0.045,173.501,0.000,219.000,0.000,0.000
24,OFAV_SS_2EV44.jpg,0.014,149.393,0.000,218.000,0.000,0.000
25,OFAV_SS_2EV44.jpg,1.803E-4,141.864,0.678,184.531,-80.811,0.192
26,OFAV_SS_2EV44.jpg,1.023E-4,110.491,0.333,181.769,-91.469,0.109
27,OFAV_SS_2EV44.jpg,2.210E-4,159.072,0.263,197.530,7.461,0.237
28,OFAV_SS_2EV44.jpg,8.148E-5,121.457,0.000,172.000,0.000,0.087
29,OFAV_SS_2EV44.jpg,0.044,160.556,0.000,203.000,0.000,0.000
30,OFAV_SS_2EV44.jpg,0.009,128.772,0.000,192.000,0.000,0.000
