 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_1GT37_P1.jpg,2.187E-4,160.401,138.269,176.909,-94.115,0.302
2,OFRA_PP_1GT37_P1.jpg,1.441E-4,160.623,115.333,173.727,-83.729,0.198
3,OFRA_PP_1GT37_P1.jpg,2.370E-4,151.444,0.885,179.973,6.089,0.327
4,OFRA_PP_1GT37_P1.jpg,8.823E-5,153.933,4.375,172.518,-1.023,0.121
5,OFRA_PP_1GT37_P1.jpg,0.107,153.728,0.000,181.000,0.000,0.000
6,OFRA_PP_1GT37_P1.jpg,0.056,149.126,0.000,181.000,0.000,0.000
7,OFRA_PP_1GT37_P1.jpg,3.070E-4,132.442,1.212,152.413,-95.672,0.424
8,OFRA_PP_1GT37_P1.jpg,1.937E-4,105.787,0.118,145.163,-98.393,0.267
9,OFRA_PP_1GT37_P1.jpg,2.824E-4,138.083,1.666,165.108,11.976,0.390
10,OFRA_PP_1GT37_P1.jpg,2.020E-4,120.512,72.750,147.000,1.781,0.279
11,OFRA_PP_1GT37_P1.jpg,0.153,135.165,0.000,175.000,0.000,0.000
12,OFRA_PP_1GT37_P1.jpg,0.067,124.003,0.000,166.000,0.000,0.000
13,OFRA_PP_1GT37_P1.jpg,3.524E-4,156.584,53.333,173.291,-94.594,0.487
14,OFRA_PP_1GT37_P1.jpg,2.391E-4,135.629,77.441,175.913,-97.032,0.331
15,OFRA_PP_1GT37_P1.jpg,2.903E-4,150.552,1.648,172.260,6.409,0.401
16,OFRA_PP_1GT37_P1.jpg,1.900E-4,145.286,0.919,173.985,6.968,0.262
17,OFRA_PP_1GT37_P1.jpg,0.154,152.488,0.000,186.000,0.000,0.000
18,OFRA_PP_1GT37_P1.jpg,0.074,141.504,0.000,186.000,0.000,0.000
19,OFRA_PP_1GT37_P1.jpg,3.508E-4,153.085,0.830,179.654,-95.133,0.485
20,OFRA_PP_1GT37_P1.jpg,2.078E-4,149.784,48.632,181.776,-94.044,0.287
21,OFRA_PP_1GT37_P1.jpg,3.127E-4,154.706,0.333,179.487,-1.724,0.432
22,OFRA_PP_1GT37_P1.jpg,1.812E-4,151.843,0.333,176.133,1.325,0.250
23,OFRA_PP_1GT37_P1.jpg,0.147,154.803,0.000,186.000,0.000,0.000
24,OFRA_PP_1GT37_P1.jpg,0.073,149.211,0.000,186.000,0.000,0.000
25,OFRA_PP_1GT37_P1.jpg,3.900E-4,130.762,70.024,165.552,-90.691,0.539
26,OFRA_PP_1GT37_P1.jpg,2.710E-4,125.075,2.232,161.022,-85.126,0.374
27,OFRA_PP_1GT37_P1.jpg,3.357E-4,136.176,0.785,169.209,8.244,0.464
28,OFRA_PP_1GT37_P1.jpg,1.953E-4,125.445,67.121,159.463,4.917,0.270
29,OFRA_PP_1GT37_P1.jpg,0.192,141.750,0.000,179.000,0.000,0.000
30,OFRA_PP_1GT37_P1.jpg,0.085,126.628,0.000,175.000,0.000,0.000
