 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_2HS2.jpg,4.143E-4,143.847,0.953,171.833,-83.848,0.456
2,OFAV_PP_2HS2.jpg,2.026E-4,85.253,0.333,160.667,-88.603,0.223
3,OFAV_PP_2HS2.jpg,3.881E-4,148.016,5.460,179.876,22.004,0.428
4,OFAV_PP_2HS2.jpg,2.363E-4,139.812,35.827,169.936,15.781,0.260
5,OFAV_PP_2HS2.jpg,0.139,150.414,0.000,186.000,0.000,0.000
6,OFAV_PP_2HS2.jpg,0.059,141.299,0.000,184.000,0.000,0.000
7,OFAV_PP_2HS2.jpg,4.521E-4,138.224,0.316,176.559,-113.486,0.498
8,OFAV_PP_2HS2.jpg,2.429E-4,132.305,0.929,162.287,-84.753,0.267
9,OFAV_PP_2HS2.jpg,4.127E-4,148.667,101.056,182.613,35.020,0.455
10,OFAV_PP_2HS2.jpg,2.453E-4,133.737,0.080,178.000,25.017,0.270
11,OFAV_PP_2HS2.jpg,0.146,150.973,0.000,187.000,0.000,0.000
12,OFAV_PP_2HS2.jpg,0.059,141.649,0.000,185.000,0.000,0.000
13,OFAV_PP_2HS2.jpg,3.955E-4,135.749,77.530,162.000,-86.067,0.436
14,OFAV_PP_2HS2.jpg,2.445E-4,108.573,0.333,151.657,-90.579,0.269
15,OFAV_PP_2HS2.jpg,4.061E-4,136.606,0.335,167.333,43.771,0.448
16,OFAV_PP_2HS2.jpg,2.412E-4,126.200,82.883,162.591,25.514,0.265
17,OFAV_PP_2HS2.jpg,0.144,138.882,0.000,177.000,0.000,0.000
18,OFAV_PP_2HS2.jpg,0.054,129.212,0.000,173.000,0.000,0.000
19,OFAV_PP_2HS2.jpg,3.684E-4,128.655,0.427,151.000,-79.592,0.406
20,OFAV_PP_2HS2.jpg,2.248E-4,109.412,0.026,155.597,-109.231,0.248
21,OFAV_PP_2HS2.jpg,3.881E-4,113.342,0.712,157.220,13.595,0.428
22,OFAV_PP_2HS2.jpg,2.330E-4,102.316,0.101,155.143,15.362,0.256
23,OFAV_PP_2HS2.jpg,0.119,129.957,0.000,168.000,0.000,0.000
24,OFAV_PP_2HS2.jpg,0.057,120.175,0.000,166.000,0.000,0.000
25,OFAV_PP_2HS2.jpg,4.275E-4,112.165,0.931,164.769,-66.541,0.471
26,OFAV_PP_2HS2.jpg,2.437E-4,115.318,0.686,154.088,-76.527,0.268
27,OFAV_PP_2HS2.jpg,4.225E-4,131.007,0.184,171.192,25.967,0.465
28,OFAV_PP_2HS2.jpg,2.511E-4,117.137,0.307,157.761,26.313,0.276
29,OFAV_PP_2HS2.jpg,0.161,134.379,0.000,178.000,0.000,0.000
30,OFAV_PP_2HS2.jpg,0.069,121.873,0.000,174.000,0.000,0.000
