 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_366.jpg,3.554E-4,166.356,121.957,215.333,-90.813,0.387
2,OFAV_PP_366.jpg,1.643E-4,129.619,79.385,163.421,-86.479,0.179
3,OFAV_PP_366.jpg,3.713E-4,166.700,0.534,199.299,15.357,0.404
4,OFAV_PP_366.jpg,2.163E-4,133.615,0.026,183.947,14.199,0.235
5,OFAV_PP_366.jpg,0.111,167.174,0.000,224.000,0.000,0.000
6,OFAV_PP_366.jpg,0.048,152.686,0.000,216.000,0.000,0.000
7,OFAV_PP_366.jpg,2.783E-4,166.660,0.906,216.930,-85.323,0.303
8,OFAV_PP_366.jpg,1.794E-4,143.195,1.761,176.667,-91.614,0.195
9,OFAV_PP_366.jpg,3.311E-4,179.212,1.780,218.667,16.365,0.361
10,OFAV_PP_366.jpg,1.878E-4,146.729,1.336,215.339,17.216,0.204
11,OFAV_PP_366.jpg,0.084,184.026,0.000,228.000,0.000,0.000
12,OFAV_PP_366.jpg,0.037,168.118,0.000,223.000,0.000,0.000
13,OFAV_PP_366.jpg,3.680E-4,168.131,0.394,215.598,-90.262,0.401
14,OFAV_PP_366.jpg,2.414E-4,161.536,98.469,212.597,-93.601,0.262
15,OFAV_PP_366.jpg,3.529E-4,166.619,0.446,214.095,5.466,0.384
16,OFAV_PP_366.jpg,2.414E-4,129.561,0.891,192.626,3.601,0.262
17,OFAV_PP_366.jpg,0.114,180.780,0.000,220.000,0.000,0.000
18,OFAV_PP_366.jpg,0.057,164.244,0.000,219.000,0.000,0.000
19,OFAV_PP_366.jpg,3.185E-4,150.910,0.587,197.697,-56.310,0.347
20,OFAV_PP_366.jpg,1.492E-4,119.973,0.649,184.333,-66.038,0.162
21,OFAV_PP_366.jpg,3.621E-4,164.704,0.357,215.272,10.840,0.394
22,OFAV_PP_366.jpg,1.484E-4,115.315,0.394,193.335,7.853,0.161
23,OFAV_PP_366.jpg,0.103,172.147,0.000,217.000,0.000,0.000
24,OFAV_PP_366.jpg,0.030,150.739,0.000,217.000,0.000,0.000
25,OFAV_PP_366.jpg,3.319E-4,179.686,129.000,217.333,-90.870,0.362
26,OFAV_PP_366.jpg,1.903E-4,136.331,0.351,187.785,-94.827,0.207
27,OFAV_PP_366.jpg,3.361E-4,179.382,0.028,211.983,12.405,0.367
28,OFAV_PP_366.jpg,1.978E-4,147.714,0.906,199.667,8.579,0.215
29,OFAV_PP_366.jpg,0.083,176.088,0.000,219.000,0.000,0.000
30,OFAV_PP_366.jpg,0.036,163.978,0.000,217.000,0.000,0.000
