 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_366.jpg,3.626E-4,173.092,95.210,205.000,-91.377,0.388
2,OFAV_PP_366.jpg,2.009E-4,119.465,0.339,182.000,-106.699,0.214
3,OFAV_PP_366.jpg,3.470E-4,142.045,0.881,176.213,17.251,0.371
4,OFAV_PP_366.jpg,2.009E-4,140.994,0.333,186.116,2.490,0.215
5,OFAV_PP_366.jpg,0.122,167.765,0.000,224.000,0.000,0.000
6,OFAV_PP_366.jpg,0.047,151.644,0.000,216.000,0.000,0.000
7,OFAV_PP_366.jpg,3.261E-4,162.848,0.762,219.333,-109.695,0.349
8,OFAV_PP_366.jpg,1.730E-4,141.214,0.345,205.333,-102.216,0.185
9,OFAV_PP_366.jpg,3.409E-4,176.853,0.931,220.057,11.195,0.365
10,OFAV_PP_366.jpg,1.791E-4,155.219,1.801,186.380,4.485,0.191
11,OFAV_PP_366.jpg,0.092,184.381,0.000,229.000,0.000,0.000
12,OFAV_PP_366.jpg,0.038,167.707,0.000,223.000,0.000,0.000
13,OFAV_PP_366.jpg,3.609E-4,156.939,95.386,196.000,-89.170,0.386
14,OFAV_PP_366.jpg,2.426E-4,137.781,0.333,195.077,-89.588,0.259
15,OFAV_PP_366.jpg,3.548E-4,168.356,0.399,210.873,9.046,0.380
16,OFAV_PP_366.jpg,2.452E-4,147.664,1.116,210.725,4.086,0.262
17,OFAV_PP_366.jpg,0.146,184.729,0.000,220.000,0.000,0.000
18,OFAV_PP_366.jpg,0.056,162.682,0.000,219.000,0.000,0.000
19,OFAV_PP_366.jpg,3.157E-4,153.757,0.333,199.333,-89.050,0.338
20,OFAV_PP_366.jpg,1.357E-4,123.359,1.083,188.755,-84.806,0.144
21,OFAV_PP_366.jpg,3.600E-4,161.073,0.756,213.620,4.165,0.385
22,OFAV_PP_366.jpg,1.104E-4,115.809,1.000,157.333,2.726,0.118
23,OFAV_PP_366.jpg,0.109,170.733,0.000,217.000,0.000,0.000
24,OFAV_PP_366.jpg,0.022,142.244,0.000,213.000,0.000,0.000
25,OFAV_PP_366.jpg,3.122E-4,131.182,71.679,181.911,-98.039,0.333
26,OFAV_PP_366.jpg,1.565E-4,115.269,80.425,159.667,-95.774,0.167
27,OFAV_PP_366.jpg,2.496E-4,121.503,0.484,162.333,15.009,0.266
28,OFAV_PP_366.jpg,1.035E-4,90.322,0.554,147.667,4.844,0.110
29,OFAV_PP_366.jpg,0.087,146.649,0.000,210.000,0.000,0.000
30,OFAV_PP_366.jpg,0.025,122.120,0.000,194.000,0.000,0.000
