 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_91R44.jpg,3.460E-4,186.274,139.000,222.000,-91.390,0.377
2,OFAV_PP_91R44.jpg,1.810E-4,133.591,0.039,199.545,-99.638,0.197
3,OFAV_PP_91R44.jpg,3.611E-4,174.064,0.546,220.000,9.638,0.394
4,OFAV_PP_91R44.jpg,2.279E-4,167.097,0.374,197.536,14.550,0.248
5,OFAV_PP_91R44.jpg,0.125,183.420,0.000,227.000,0.000,0.000
6,OFAV_PP_91R44.jpg,0.049,172.507,0.000,223.000,0.000,0.000
7,OFAV_PP_91R44.jpg,3.888E-4,145.419,79.498,176.055,-96.941,0.424
8,OFAV_PP_91R44.jpg,2.254E-4,129.175,0.814,191.370,-109.654,0.245
9,OFAV_PP_91R44.jpg,4.055E-4,148.277,95.451,191.942,3.325,0.442
10,OFAV_PP_91R44.jpg,2.539E-4,156.820,1.625,202.634,-0.759,0.276
11,OFAV_PP_91R44.jpg,0.128,151.762,0.000,211.000,0.000,0.000
12,OFAV_PP_91R44.jpg,0.063,143.926,0.000,211.000,0.000,0.000
13,OFAV_PP_91R44.jpg,4.122E-4,174.500,102.360,219.402,-69.499,0.450
14,OFAV_PP_91R44.jpg,2.279E-4,144.282,3.073,189.837,-95.921,0.248
15,OFAV_PP_91R44.jpg,2.933E-4,153.210,1.219,216.000,5.254,0.320
16,OFAV_PP_91R44.jpg,1.969E-4,142.033,1.667,186.821,2.936,0.214
17,OFAV_PP_91R44.jpg,0.133,169.230,0.000,223.000,0.000,0.000
18,OFAV_PP_91R44.jpg,0.065,155.934,0.000,221.000,0.000,0.000
19,OFAV_PP_91R44.jpg,4.491E-4,155.439,0.288,207.436,-104.504,0.490
20,OFAV_PP_91R44.jpg,2.539E-4,110.304,1.171,161.443,-103.392,0.277
21,OFAV_PP_91R44.jpg,3.653E-4,138.066,0.221,192.326,-4.217,0.398
22,OFAV_PP_91R44.jpg,2.572E-4,140.434,1.059,189.013,-1.123,0.280
23,OFAV_PP_91R44.jpg,0.179,156.462,0.000,212.000,0.000,0.000
24,OFAV_PP_91R44.jpg,0.065,138.928,0.000,212.000,0.000,0.000
25,OFAV_PP_91R44.jpg,4.013E-4,152.479,0.063,215.965,-90.240,0.438
26,OFAV_PP_91R44.jpg,2.723E-4,144.893,1.457,188.512,-88.939,0.297
27,OFAV_PP_91R44.jpg,3.226E-4,146.059,0.307,187.604,7.792,0.351
28,OFAV_PP_91R44.jpg,2.053E-4,142.294,0.757,205.098,3.284,0.224
29,OFAV_PP_91R44.jpg,0.124,165.186,0.000,223.000,0.000,0.000
30,OFAV_PP_91R44.jpg,0.058,151.549,0.000,223.000,0.000,0.000
