 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_9A75.jpg,3.272E-4,179.803,119.407,218.860,-74.954,0.355
2,OFAV_PP_9A75.jpg,1.814E-4,168.849,134.845,214.992,-84.611,0.196
3,OFAV_PP_9A75.jpg,5.179E-4,170.441,47.353,212.000,-7.918,0.561
4,OFAV_PP_9A75.jpg,2.653E-4,140.521,0.590,177.897,1.469,0.287
5,OFAV_PP_9A75.jpg,0.129,168.585,0.000,233.000,0.000,0.000
6,OFAV_PP_9A75.jpg,0.045,159.393,0.000,233.000,0.000,0.000
7,OFAV_PP_9A75.jpg,3.247E-4,146.404,0.551,199.666,-79.749,0.352
8,OFAV_PP_9A75.jpg,2.145E-4,118.789,0.619,172.201,-88.182,0.232
9,OFAV_PP_9A75.jpg,5.171E-4,152.335,87.149,202.204,-15.222,0.561
10,OFAV_PP_9A75.jpg,2.280E-4,105.614,0.602,174.129,-3.417,0.247
11,OFAV_PP_9A75.jpg,0.145,142.153,0.000,219.000,0.000,0.000
12,OFAV_PP_9A75.jpg,0.071,135.774,0.000,216.000,0.000,0.000
13,OFAV_PP_9A75.jpg,2.484E-4,157.135,0.464,214.569,-80.538,0.269
14,OFAV_PP_9A75.jpg,1.822E-4,162.608,111.572,211.000,-82.476,0.197
15,OFAV_PP_9A75.jpg,4.857E-4,176.359,0.531,221.788,6.429,0.526
16,OFAV_PP_9A75.jpg,2.772E-4,142.577,0.346,206.198,10.620,0.300
17,OFAV_PP_9A75.jpg,0.124,172.819,0.000,236.000,0.000,0.000
18,OFAV_PP_9A75.jpg,0.068,164.417,0.000,236.000,0.000,0.000
19,OFAV_PP_9A75.jpg,3.408E-4,190.602,0.333,228.667,-60.113,0.370
20,OFAV_PP_9A75.jpg,2.365E-4,157.254,99.477,212.323,-96.613,0.256
21,OFAV_PP_9A75.jpg,5.027E-4,191.646,0.333,222.333,0.000,0.545
22,OFAV_PP_9A75.jpg,3.001E-4,154.124,0.317,216.055,13.092,0.325
23,OFAV_PP_9A75.jpg,0.139,172.983,0.000,235.000,0.000,0.000
24,OFAV_PP_9A75.jpg,0.063,155.832,0.000,230.000,0.000,0.000
25,OFAV_PP_9A75.jpg,3.645E-4,154.165,0.101,220.858,-67.504,0.395
26,OFAV_PP_9A75.jpg,2.636E-4,125.377,0.663,188.150,-75.069,0.286
27,OFAV_PP_9A75.jpg,4.187E-4,137.528,0.836,197.317,10.763,0.454
28,OFAV_PP_9A75.jpg,2.594E-4,140.107,1.209,199.560,4.514,0.281
29,OFAV_PP_9A75.jpg,0.155,143.124,0.000,231.000,0.000,0.000
30,OFAV_PP_9A75.jpg,0.070,131.082,0.000,225.000,0.000,0.000
