 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_9AZ5.jpg,3.048E-4,168.566,0.333,222.000,-92.545,0.331
2,OFAV_PP_9AZ5.jpg,1.629E-4,174.391,138.042,220.583,-86.424,0.177
3,OFAV_PP_9AZ5.jpg,4.677E-4,164.898,101.226,201.667,-2.490,0.508
4,OFAV_PP_9AZ5.jpg,2.474E-4,138.056,0.333,178.333,1.569,0.268
5,OFAV_PP_9AZ5.jpg,0.125,169.264,0.000,233.000,0.000,0.000
6,OFAV_PP_9AZ5.jpg,0.063,166.340,0.000,233.000,0.000,0.000
7,OFAV_PP_9AZ5.jpg,3.233E-4,141.885,0.079,186.000,-78.513,0.351
8,OFAV_PP_9AZ5.jpg,1.672E-4,109.370,0.274,178.804,-94.667,0.181
9,OFAV_PP_9AZ5.jpg,5.065E-4,136.209,3.374,193.471,-2.681,0.550
10,OFAV_PP_9AZ5.jpg,2.575E-4,125.729,0.081,176.235,-7.172,0.280
11,OFAV_PP_9AZ5.jpg,0.151,141.488,0.000,217.000,0.000,0.000
12,OFAV_PP_9AZ5.jpg,0.059,132.710,0.000,214.000,0.000,0.000
13,OFAV_PP_9AZ5.jpg,2.457E-4,161.425,0.968,208.725,-83.267,0.266
14,OFAV_PP_9AZ5.jpg,1.579E-4,162.087,110.308,203.753,-92.463,0.171
15,OFAV_PP_9AZ5.jpg,4.635E-4,177.181,1.779,222.027,2.090,0.504
16,OFAV_PP_9AZ5.jpg,2.989E-4,130.161,1.449,199.257,3.900,0.324
17,OFAV_PP_9AZ5.jpg,0.135,173.403,0.000,236.000,0.000,0.000
18,OFAV_PP_9AZ5.jpg,0.064,162.471,0.000,236.000,0.000,0.000
19,OFAV_PP_9AZ5.jpg,3.453E-4,180.391,0.360,225.790,-63.372,0.375
20,OFAV_PP_9AZ5.jpg,2.220E-4,130.196,0.333,193.529,-89.344,0.241
21,OFAV_PP_9AZ5.jpg,4.398E-4,168.285,0.147,220.520,4.745,0.478
22,OFAV_PP_9AZ5.jpg,3.005E-4,165.600,0.000,212.971,12.704,0.326
23,OFAV_PP_9AZ5.jpg,0.167,174.167,0.000,236.000,0.000,0.000
24,OFAV_PP_9AZ5.jpg,0.062,153.718,0.000,227.000,0.000,0.000
25,OFAV_PP_9AZ5.jpg,3.563E-4,149.709,0.488,207.404,-101.096,0.387
26,OFAV_PP_9AZ5.jpg,2.457E-4,115.592,69.066,175.250,-96.340,0.266
27,OFAV_PP_9AZ5.jpg,4.601E-4,158.205,0.419,210.045,-11.455,0.500
28,OFAV_PP_9AZ5.jpg,2.710E-4,131.423,1.460,208.419,-3.230,0.294
29,OFAV_PP_9AZ5.jpg,0.166,143.155,0.000,230.000,0.000,0.000
30,OFAV_PP_9AZ5.jpg,0.065,129.253,0.000,222.000,0.000,0.000
