 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_9EV35.jpg,3.364E-4,186.962,4.891,229.800,-96.710,0.371
2,OFAV_PP_9EV35.jpg,2.523E-4,166.625,3.193,205.420,-100.105,0.278
3,OFAV_PP_9EV35.jpg,3.690E-4,169.349,99.000,208.152,3.434,0.407
4,OFAV_PP_9EV35.jpg,1.902E-4,172.732,130.640,221.983,5.932,0.210
5,OFAV_PP_9EV35.jpg,0.116,170.330,0.000,234.000,0.000,0.000
6,OFAV_PP_9EV35.jpg,0.054,166.444,0.000,234.000,0.000,0.000
7,OFAV_PP_9EV35.jpg,3.976E-4,148.275,0.136,198.740,-80.770,0.439
8,OFAV_PP_9EV35.jpg,2.376E-4,146.150,95.367,188.699,-74.381,0.262
9,OFAV_PP_9EV35.jpg,3.421E-4,150.993,3.659,204.721,10.746,0.378
10,OFAV_PP_9EV35.jpg,2.286E-4,169.981,1.247,202.725,8.043,0.252
11,OFAV_PP_9EV35.jpg,0.129,158.665,0.000,222.000,0.000,0.000
12,OFAV_PP_9EV35.jpg,0.056,151.066,0.000,217.000,0.000,0.000
13,OFAV_PP_9EV35.jpg,2.833E-4,134.036,0.297,218.762,-79.340,0.313
14,OFAV_PP_9EV35.jpg,1.494E-4,162.039,108.128,205.978,-88.741,0.164
15,OFAV_PP_9EV35.jpg,3.992E-4,138.929,0.000,211.888,0.704,0.441
16,OFAV_PP_9EV35.jpg,2.180E-4,127.424,0.784,223.632,1.292,0.240
17,OFAV_PP_9EV35.jpg,0.105,147.740,0.000,228.000,0.000,0.000
18,OFAV_PP_9EV35.jpg,0.040,149.059,0.000,228.000,0.000,0.000
19,OFAV_PP_9EV35.jpg,3.641E-4,121.652,0.180,192.607,-94.122,0.402
20,OFAV_PP_9EV35.jpg,1.772E-4,140.276,61.259,181.426,-91.061,0.195
21,OFAV_PP_9EV35.jpg,3.657E-4,111.669,0.322,186.832,-4.104,0.404
22,OFAV_PP_9EV35.jpg,1.951E-4,130.815,0.485,191.022,0.481,0.215
23,OFAV_PP_9EV35.jpg,0.120,135.210,0.000,218.000,0.000,0.000
24,OFAV_PP_9EV35.jpg,0.058,142.211,0.000,218.000,0.000,0.000
25,OFAV_PP_9EV35.jpg,3.617E-4,166.163,0.669,217.230,-95.968,0.400
26,OFAV_PP_9EV35.jpg,1.959E-4,146.709,0.269,209.351,-88.802,0.216
27,OFAV_PP_9EV35.jpg,4.123E-4,156.437,75.079,217.975,3.867,0.456
28,OFAV_PP_9EV35.jpg,1.861E-4,142.019,0.156,211.766,9.130,0.205
29,OFAV_PP_9EV35.jpg,0.124,153.123,0.000,226.000,0.000,0.000
30,OFAV_PP_9EV35.jpg,0.046,154.108,0.000,226.000,0.000,0.000
