 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_9EV4C.jpg,4.528E-4,156.786,2.631,214.986,-79.733,0.493
2,OFAV_PP_9EV4C.jpg,2.566E-4,122.474,0.395,191.477,-85.861,0.279
3,OFAV_PP_9EV4C.jpg,4.637E-4,156.740,0.335,213.383,13.633,0.505
4,OFAV_PP_9EV4C.jpg,3.011E-4,160.164,0.412,217.000,6.093,0.328
5,OFAV_PP_9EV4C.jpg,0.160,169.756,0.000,227.000,0.000,0.000
6,OFAV_PP_9EV4C.jpg,0.076,152.995,0.000,227.000,0.000,0.000
7,OFAV_PP_9EV4C.jpg,4.034E-4,177.765,0.333,217.383,-88.568,0.440
8,OFAV_PP_9EV4C.jpg,2.440E-4,151.182,0.099,240.276,-88.815,0.266
9,OFAV_PP_9EV4C.jpg,4.973E-4,195.203,0.740,237.133,11.500,0.542
10,OFAV_PP_9EV4C.jpg,3.128E-4,152.308,0.056,237.086,13.064,0.340
11,OFAV_PP_9EV4C.jpg,0.164,182.788,0.000,241.000,0.000,0.000
12,OFAV_PP_9EV4C.jpg,0.078,175.729,0.000,241.000,0.000,0.000
13,OFAV_PP_9EV4C.jpg,3.983E-4,171.103,2.092,215.000,-85.397,0.434
14,OFAV_PP_9EV4C.jpg,2.625E-4,145.510,0.000,203.667,-87.064,0.286
15,OFAV_PP_9EV4C.jpg,4.822E-4,192.200,1.754,222.333,6.605,0.525
16,OFAV_PP_9EV4C.jpg,2.742E-4,138.879,0.699,201.223,6.689,0.299
17,OFAV_PP_9EV4C.jpg,0.172,185.728,0.000,234.000,0.000,0.000
18,OFAV_PP_9EV4C.jpg,0.071,168.216,0.000,234.000,0.000,0.000
19,OFAV_PP_9EV4C.jpg,4.260E-4,167.536,0.006,223.807,-82.286,0.464
20,OFAV_PP_9EV4C.jpg,2.373E-4,120.645,0.000,230.667,-90.000,0.258
21,OFAV_PP_9EV4C.jpg,4.780E-4,197.830,0.618,237.147,9.098,0.521
22,OFAV_PP_9EV4C.jpg,2.566E-4,154.458,0.355,217.037,12.488,0.280
23,OFAV_PP_9EV4C.jpg,0.171,190.606,0.000,238.000,0.000,0.000
24,OFAV_PP_9EV4C.jpg,0.062,177.975,0.000,238.000,0.000,0.000
25,OFAV_PP_9EV4C.jpg,4.101E-4,162.588,5.033,217.083,-84.114,0.446
26,OFAV_PP_9EV4C.jpg,2.382E-4,126.389,1.225,182.275,-85.135,0.259
27,OFAV_PP_9EV4C.jpg,4.881E-4,175.867,1.331,217.669,3.945,0.532
28,OFAV_PP_9EV4C.jpg,2.784E-4,149.776,1.417,220.969,6.932,0.304
29,OFAV_PP_9EV4C.jpg,0.153,176.641,0.000,235.000,0.000,0.000
30,OFAV_PP_9EV4C.jpg,0.064,161.942,0.000,235.000,0.000,0.000
