 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_9GT46.JPG,3.734E-4,180.191,127.719,219.903,-99.462,0.369
2,OFAV_PP_9GT46.JPG,2.775E-4,183.537,145.111,217.485,-94.447,0.274
3,OFAV_PP_9GT46.JPG,4.142E-4,186.741,0.000,225.963,1.697,0.409
4,OFAV_PP_9GT46.JPG,2.642E-4,182.219,0.000,222.969,-1.332,0.261
5,OFAV_PP_9GT46.JPG,0.121,183.645,0.000,239.000,0.000,0.000
6,OFAV_PP_9GT46.JPG,0.055,176.388,0.000,238.000,0.000,0.000
7,OFAV_PP_9GT46.JPG,4.346E-4,197.910,102.637,233.170,-95.670,0.429
8,OFAV_PP_9GT46.JPG,2.836E-4,168.345,0.271,223.362,-99.360,0.279
9,OFAV_PP_9GT46.JPG,3.683E-4,182.641,2.033,237.042,-1.432,0.364
10,OFAV_PP_9GT46.JPG,2.183E-4,196.274,153.667,225.333,0.000,0.215
11,OFAV_PP_9GT46.JPG,0.111,184.633,0.000,241.000,0.000,0.000
12,OFAV_PP_9GT46.JPG,0.057,178.658,0.000,241.000,0.000,0.000
13,OFAV_PP_9GT46.JPG,4.540E-4,166.829,118.523,196.658,-88.452,0.449
14,OFAV_PP_9GT46.JPG,2.703E-4,166.818,97.383,198.523,-88.047,0.267
15,OFAV_PP_9GT46.JPG,3.652E-4,168.432,1.000,214.401,-0.481,0.361
16,OFAV_PP_9GT46.JPG,2.459E-4,166.266,0.167,203.083,-3.576,0.243
17,OFAV_PP_9GT46.JPG,0.114,176.847,0.000,236.000,0.000,0.000
18,OFAV_PP_9GT46.JPG,0.060,165.106,0.000,223.000,0.000,0.000
19,OFAV_PP_9GT46.JPG,3.152E-4,150.898,0.003,218.666,-97.263,0.312
20,OFAV_PP_9GT46.JPG,2.897E-4,176.925,130.835,234.677,-105.362,0.286
21,OFAV_PP_9GT46.JPG,3.316E-4,189.704,125.617,229.741,-2.651,0.328
22,OFAV_PP_9GT46.JPG,2.530E-4,189.765,134.152,230.569,-4.185,0.249
23,OFAV_PP_9GT46.JPG,0.129,181.195,0.000,237.000,0.000,0.000
24,OFAV_PP_9GT46.JPG,0.060,172.794,0.000,237.000,0.000,0.000
25,OFAV_PP_9GT46.JPG,4.366E-4,181.388,110.443,227.713,-77.821,0.431
26,OFAV_PP_9GT46.JPG,3.111E-4,162.260,130.480,200.072,-84.908,0.307
27,OFAV_PP_9GT46.JPG,3.897E-4,183.176,128.969,209.504,0.902,0.385
28,OFAV_PP_9GT46.JPG,2.397E-4,176.443,128.410,212.000,2.203,0.237
29,OFAV_PP_9GT46.JPG,0.153,179.980,0.000,232.000,0.000,0.000
30,OFAV_PP_9GT46.JPG,0.068,172.610,0.000,219.000,0.000,0.000
