 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_9IR44.jpg,3.765E-4,187.706,158.000,210.589,-69.034,0.415
2,OFAV_PP_9IR44.jpg,1.887E-4,152.900,0.452,200.600,-65.225,0.207
3,OFAV_PP_9IR44.jpg,3.535E-4,178.462,0.333,221.162,4.808,0.389
4,OFAV_PP_9IR44.jpg,1.780E-4,175.188,149.500,207.111,3.180,0.196
5,OFAV_PP_9IR44.jpg,0.129,184.333,0.000,233.000,0.000,0.000
6,OFAV_PP_9IR44.jpg,0.051,173.900,0.000,223.000,0.000,0.000
7,OFAV_PP_9IR44.jpg,3.297E-4,144.105,88.112,189.989,-94.004,0.363
8,OFAV_PP_9IR44.jpg,2.305E-4,130.291,1.022,184.205,-99.866,0.254
9,OFAV_PP_9IR44.jpg,3.658E-4,160.297,116.019,188.255,27.255,0.403
10,OFAV_PP_9IR44.jpg,2.764E-4,150.655,1.218,199.492,0.682,0.304
11,OFAV_PP_9IR44.jpg,0.135,152.056,0.000,213.000,0.000,0.000
12,OFAV_PP_9IR44.jpg,0.055,144.547,0.000,213.000,0.000,0.000
13,OFAV_PP_9IR44.jpg,4.060E-4,153.767,92.979,216.333,-64.058,0.447
14,OFAV_PP_9IR44.jpg,2.436E-4,146.732,1.333,193.340,-73.523,0.268
15,OFAV_PP_9IR44.jpg,3.781E-4,164.212,101.333,213.667,0.000,0.417
16,OFAV_PP_9IR44.jpg,2.313E-4,156.287,121.630,191.695,4.086,0.254
17,OFAV_PP_9IR44.jpg,0.123,168.027,0.000,223.000,0.000,0.000
18,OFAV_PP_9IR44.jpg,0.064,156.233,0.000,221.000,0.000,0.000
19,OFAV_PP_9IR44.jpg,3.502E-4,176.356,13.919,200.393,-89.462,0.386
20,OFAV_PP_9IR44.jpg,1.928E-4,162.850,0.590,202.427,-89.510,0.212
21,OFAV_PP_9IR44.jpg,4.027E-4,172.307,0.544,227.000,18.065,0.444
22,OFAV_PP_9IR44.jpg,2.165E-4,167.167,0.667,207.584,3.930,0.238
23,OFAV_PP_9IR44.jpg,0.122,184.628,0.000,226.000,0.000,0.000
24,OFAV_PP_9IR44.jpg,0.047,175.637,0.000,226.000,0.000,0.000
25,OFAV_PP_9IR44.jpg,4.150E-4,145.325,0.189,196.064,-102.111,0.458
26,OFAV_PP_9IR44.jpg,2.600E-4,117.919,72.441,158.067,-104.300,0.286
27,OFAV_PP_9IR44.jpg,4.397E-4,168.299,0.474,203.615,16.740,0.484
28,OFAV_PP_9IR44.jpg,2.543E-4,120.454,0.116,174.559,17.731,0.280
29,OFAV_PP_9IR44.jpg,0.160,156.902,0.000,212.000,0.000,0.000
30,OFAV_PP_9IR44.jpg,0.064,139.010,0.000,210.000,0.000,0.000
