 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_9JQ4.jpg,2.871E-4,183.396,7.949,216.333,-86.392,0.309
2,OFAV_PP_9JQ4.jpg,1.482E-4,181.081,126.374,209.941,-83.991,0.159
3,OFAV_PP_9JQ4.jpg,3.513E-4,178.720,0.249,213.000,8.427,0.379
4,OFAV_PP_9JQ4.jpg,2.399E-4,164.891,0.430,208.183,8.653,0.258
5,OFAV_PP_9JQ4.jpg,0.087,183.049,0.000,226.000,0.000,0.000
6,OFAV_PP_9JQ4.jpg,0.043,172.678,0.000,226.000,0.000,0.000
7,OFAV_PP_9JQ4.jpg,3.659E-4,156.007,0.089,216.676,-83.526,0.394
8,OFAV_PP_9JQ4.jpg,2.374E-4,156.017,81.667,201.000,-90.000,0.255
9,OFAV_PP_9JQ4.jpg,3.770E-4,170.777,3.979,207.762,2.745,0.406
10,OFAV_PP_9JQ4.jpg,2.245E-4,126.277,0.230,193.724,8.596,0.242
11,OFAV_PP_9JQ4.jpg,0.147,171.309,0.000,227.000,0.000,0.000
12,OFAV_PP_9JQ4.jpg,0.055,153.173,0.000,227.000,0.000,0.000
13,OFAV_PP_9JQ4.jpg,3.770E-4,187.395,0.881,227.310,-86.082,0.406
14,OFAV_PP_9JQ4.jpg,1.997E-4,154.755,92.619,202.333,-85.544,0.214
15,OFAV_PP_9JQ4.jpg,3.111E-4,186.814,0.363,218.249,5.237,0.335
16,OFAV_PP_9JQ4.jpg,2.151E-4,159.386,0.771,202.593,4.821,0.231
17,OFAV_PP_9JQ4.jpg,0.119,183.930,0.000,231.000,0.000,0.000
18,OFAV_PP_9JQ4.jpg,0.040,167.403,0.000,231.000,0.000,0.000
19,OFAV_PP_9JQ4.jpg,3.316E-4,164.689,0.281,222.137,-84.201,0.357
20,OFAV_PP_9JQ4.jpg,2.399E-4,186.379,130.204,220.000,-89.384,0.258
21,OFAV_PP_9JQ4.jpg,3.488E-4,182.514,1.333,228.333,4.658,0.376
22,OFAV_PP_9JQ4.jpg,2.134E-4,169.294,0.747,231.570,11.853,0.230
23,OFAV_PP_9JQ4.jpg,0.113,191.916,0.000,243.000,0.000,0.000
24,OFAV_PP_9JQ4.jpg,0.045,178.902,0.000,243.000,0.000,0.000
25,OFAV_PP_9JQ4.jpg,4.002E-4,173.327,0.372,215.013,-93.691,0.431
26,OFAV_PP_9JQ4.jpg,1.997E-4,154.727,106.063,202.421,-95.932,0.215
27,OFAV_PP_9JQ4.jpg,4.687E-4,162.314,0.062,212.147,-0.630,0.505
28,OFAV_PP_9JQ4.jpg,2.819E-4,147.479,1.010,203.092,3.674,0.303
29,OFAV_PP_9JQ4.jpg,0.145,167.986,0.000,227.000,0.000,0.000
30,OFAV_PP_9JQ4.jpg,0.061,156.978,0.000,221.000,0.000,0.000
