 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_AZ.jpg,4.184E-4,188.023,8.000,208.000,-91.818,0.459
2,OFAV_PP_AZ.jpg,2.221E-4,171.290,11.155,202.743,-83.991,0.243
3,OFAV_PP_AZ.jpg,4.400E-4,188.648,0.000,209.296,1.945,0.483
4,OFAV_PP_AZ.jpg,2.403E-4,161.880,0.355,208.529,11.155,0.263
5,OFAV_PP_AZ.jpg,0.162,185.980,0.000,224.000,0.000,0.000
6,OFAV_PP_AZ.jpg,0.049,172.829,0.000,214.000,0.000,0.000
7,OFAV_PP_AZ.jpg,3.613E-4,179.302,0.259,212.333,-81.534,0.396
8,OFAV_PP_AZ.jpg,2.328E-4,157.909,110.716,197.290,-74.673,0.255
9,OFAV_PP_AZ.jpg,3.265E-4,170.780,0.705,207.845,6.727,0.357
10,OFAV_PP_AZ.jpg,2.138E-4,145.769,0.093,191.766,11.222,0.234
11,OFAV_PP_AZ.jpg,0.099,177.391,0.000,212.000,0.000,0.000
12,OFAV_PP_AZ.jpg,0.049,163.130,0.000,209.000,0.000,0.000
13,OFAV_PP_AZ.jpg,4.441E-4,174.340,89.383,215.453,-77.262,0.487
14,OFAV_PP_AZ.jpg,2.535E-4,159.643,97.398,181.078,-85.486,0.278
15,OFAV_PP_AZ.jpg,3.762E-4,158.948,0.264,195.333,8.130,0.412
16,OFAV_PP_AZ.jpg,2.204E-4,141.786,0.652,179.399,11.310,0.241
17,OFAV_PP_AZ.jpg,0.133,170.265,0.000,219.000,0.000,0.000
18,OFAV_PP_AZ.jpg,0.065,152.516,0.000,202.000,0.000,0.000
19,OFAV_PP_AZ.jpg,3.596E-4,165.771,0.333,212.475,-93.972,0.394
20,OFAV_PP_AZ.jpg,2.353E-4,154.653,116.263,195.517,-98.931,0.258
21,OFAV_PP_AZ.jpg,3.811E-4,166.167,0.271,210.037,7.001,0.418
22,OFAV_PP_AZ.jpg,2.287E-4,139.299,0.264,195.893,20.678,0.250
23,OFAV_PP_AZ.jpg,0.105,168.540,0.000,218.000,0.000,0.000
24,OFAV_PP_AZ.jpg,0.060,158.369,0.000,208.000,0.000,0.000
25,OFAV_PP_AZ.jpg,5.096E-4,170.697,75.299,196.000,-100.138,0.559
26,OFAV_PP_AZ.jpg,2.245E-4,144.876,0.812,197.440,-104.139,0.246
27,OFAV_PP_AZ.jpg,3.787E-4,165.660,0.370,202.964,7.312,0.415
28,OFAV_PP_AZ.jpg,2.519E-4,135.884,0.263,201.731,17.658,0.276
29,OFAV_PP_AZ.jpg,0.162,175.070,0.000,214.000,0.000,0.000
30,OFAV_PP_AZ.jpg,0.064,159.101,0.000,214.000,0.000,0.000
