 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_CX.jpg,3.168E-4,167.897,2.097,218.093,-106.504,0.353
2,OFAV_PP_CX.jpg,2.085E-4,154.452,118.369,196.667,-108.015,0.232
3,OFAV_PP_CX.jpg,3.746E-4,163.592,0.333,229.073,27.884,0.417
4,OFAV_PP_CX.jpg,1.909E-4,127.438,0.333,186.685,17.671,0.212
5,OFAV_PP_CX.jpg,0.103,173.026,0.000,235.000,0.000,0.000
6,OFAV_PP_CX.jpg,0.046,155.776,0.000,222.000,0.000,0.000
7,OFAV_PP_CX.jpg,4.291E-4,195.243,0.379,232.038,-79.090,0.478
8,OFAV_PP_CX.jpg,2.663E-4,129.289,0.253,216.565,-80.082,0.296
9,OFAV_PP_CX.jpg,3.938E-4,202.524,0.581,231.667,7.038,0.439
10,OFAV_PP_CX.jpg,2.318E-4,175.796,3.241,216.111,11.193,0.258
11,OFAV_PP_CX.jpg,0.166,190.611,0.000,240.000,0.000,0.000
12,OFAV_PP_CX.jpg,0.068,173.743,0.000,239.000,0.000,0.000
13,OFAV_PP_CX.jpg,4.419E-4,164.592,0.738,226.375,-75.357,0.492
14,OFAV_PP_CX.jpg,2.519E-4,133.528,0.859,199.623,-82.466,0.280
15,OFAV_PP_CX.jpg,3.232E-4,187.091,0.735,228.507,12.792,0.360
16,OFAV_PP_CX.jpg,1.877E-4,134.998,1.527,198.439,18.745,0.209
17,OFAV_PP_CX.jpg,0.141,178.886,0.000,236.000,0.000,0.000
18,OFAV_PP_CX.jpg,0.052,152.143,0.000,236.000,0.000,0.000
19,OFAV_PP_CX.jpg,4.147E-4,184.092,12.381,221.393,-67.559,0.462
20,OFAV_PP_CX.jpg,2.382E-4,131.239,0.000,186.251,-89.419,0.265
21,OFAV_PP_CX.jpg,3.617E-4,175.354,0.272,213.889,2.805,0.403
22,OFAV_PP_CX.jpg,2.118E-4,127.703,0.982,180.881,3.712,0.235
23,OFAV_PP_CX.jpg,0.145,165.495,0.000,237.000,0.000,0.000
24,OFAV_PP_CX.jpg,0.057,150.361,0.000,237.000,0.000,0.000
25,OFAV_PP_CX.jpg,4.756E-4,156.202,0.730,205.889,-78.709,0.531
26,OFAV_PP_CX.jpg,2.607E-4,131.241,0.778,192.283,-82.919,0.291
27,OFAV_PP_CX.jpg,3.112E-4,143.989,88.209,184.178,17.266,0.347
28,OFAV_PP_CX.jpg,2.013E-4,112.915,0.741,172.732,4.364,0.224
29,OFAV_PP_CX.jpg,0.160,158.864,0.000,235.000,0.000,0.000
30,OFAV_PP_CX.jpg,0.057,137.676,0.000,235.000,0.000,0.000
