 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_DW.jpg,3.788E-4,171.904,4.673,217.837,-97.907,0.406
2,OFAV_PP_DW.jpg,2.462E-4,162.142,107.429,198.031,-85.135,0.264
3,OFAV_PP_DW.jpg,3.728E-4,179.730,0.333,211.333,-0.401,0.399
4,OFAV_PP_DW.jpg,2.089E-4,162.153,0.333,210.000,-0.716,0.223
5,OFAV_PP_DW.jpg,0.126,173.197,0.000,229.000,0.000,0.000
6,OFAV_PP_DW.jpg,0.053,164.757,0.000,229.000,0.000,0.000
7,OFAV_PP_DW.jpg,3.884E-4,161.743,0.000,216.438,-89.231,0.416
8,OFAV_PP_DW.jpg,2.107E-4,136.353,0.614,205.926,-97.829,0.226
9,OFAV_PP_DW.jpg,3.190E-4,168.608,1.640,214.433,8.924,0.342
10,OFAV_PP_DW.jpg,1.864E-4,143.359,0.304,207.351,17.928,0.200
11,OFAV_PP_DW.jpg,0.123,184.116,0.000,230.000,0.000,0.000
12,OFAV_PP_DW.jpg,0.049,164.790,0.000,224.000,0.000,0.000
13,OFAV_PP_DW.jpg,3.858E-4,170.502,0.658,215.495,-91.548,0.414
14,OFAV_PP_DW.jpg,2.609E-4,155.945,115.800,187.920,-92.291,0.280
15,OFAV_PP_DW.jpg,3.346E-4,155.263,0.447,196.694,4.022,0.358
16,OFAV_PP_DW.jpg,2.401E-4,143.880,1.120,194.333,19.026,0.257
17,OFAV_PP_DW.jpg,0.118,166.536,0.000,231.000,0.000,0.000
18,OFAV_PP_DW.jpg,0.052,155.247,0.000,224.000,0.000,0.000
19,OFAV_PP_DW.jpg,3.953E-4,152.833,0.616,207.237,-85.079,0.423
20,OFAV_PP_DW.jpg,2.644E-4,133.570,76.163,190.543,-84.346,0.283
21,OFAV_PP_DW.jpg,3.312E-4,165.505,0.333,217.667,0.000,0.355
22,OFAV_PP_DW.jpg,1.951E-4,127.049,0.190,202.785,7.696,0.209
23,OFAV_PP_DW.jpg,0.128,168.987,0.000,225.000,0.000,0.000
24,OFAV_PP_DW.jpg,0.060,152.916,0.000,225.000,0.000,0.000
25,OFAV_PP_DW.jpg,4.205E-4,152.524,0.548,204.592,-67.671,0.451
26,OFAV_PP_DW.jpg,2.670E-4,137.631,0.788,191.282,-67.782,0.286
27,OFAV_PP_DW.jpg,2.826E-4,152.679,0.225,213.594,22.457,0.302
28,OFAV_PP_DW.jpg,1.959E-4,122.431,0.000,201.309,45.360,0.209
29,OFAV_PP_DW.jpg,0.126,158.411,0.000,223.000,0.000,0.000
30,OFAV_PP_DW.jpg,0.054,143.701,0.000,223.000,0.000,0.000
