 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_OGT1.jpg,4.620E-4,170.171,2.601,203.955,-93.128,0.503
2,OFAV_PP_OGT1.jpg,2.021E-4,141.457,78.667,185.908,-88.568,0.220
3,OFAV_PP_OGT1.jpg,3.488E-4,151.309,0.136,190.840,10.823,0.380
4,OFAV_PP_OGT1.jpg,1.920E-4,120.431,0.421,172.546,16.049,0.209
5,OFAV_PP_OGT1.jpg,0.149,167.064,0.000,205.000,0.000,0.000
6,OFAV_PP_OGT1.jpg,0.041,147.901,0.000,203.000,0.000,0.000
7,OFAV_PP_OGT1.jpg,4.251E-4,158.216,1.151,194.057,-59.328,0.463
8,OFAV_PP_OGT1.jpg,1.861E-4,132.974,7.581,181.869,-67.620,0.202
9,OFAV_PP_OGT1.jpg,3.505E-4,162.342,0.000,194.240,9.530,0.382
10,OFAV_PP_OGT1.jpg,1.769E-4,132.309,0.962,187.076,14.036,0.193
11,OFAV_PP_OGT1.jpg,0.135,167.057,0.000,206.000,0.000,0.000
12,OFAV_PP_OGT1.jpg,0.050,154.677,0.000,206.000,0.000,0.000
13,OFAV_PP_OGT1.jpg,4.109E-4,159.175,84.333,205.618,-87.892,0.448
14,OFAV_PP_OGT1.jpg,2.490E-4,139.821,2.572,193.039,-100.513,0.271
15,OFAV_PP_OGT1.jpg,5.023E-4,161.680,0.305,198.682,13.339,0.548
16,OFAV_PP_OGT1.jpg,2.373E-4,137.067,0.854,198.967,23.839,0.258
17,OFAV_PP_OGT1.jpg,0.182,166.933,0.000,215.000,0.000,0.000
18,OFAV_PP_OGT1.jpg,0.065,153.313,0.000,215.000,0.000,0.000
19,OFAV_PP_OGT1.jpg,4.662E-4,151.931,77.877,189.297,-88.142,0.508
20,OFAV_PP_OGT1.jpg,2.423E-4,121.234,0.560,167.000,-102.011,0.264
21,OFAV_PP_OGT1.jpg,3.974E-4,148.869,0.495,188.344,18.090,0.433
22,OFAV_PP_OGT1.jpg,2.432E-4,128.213,0.616,181.958,17.496,0.265
23,OFAV_PP_OGT1.jpg,0.173,161.675,0.000,202.000,0.000,0.000
24,OFAV_PP_OGT1.jpg,0.067,150.633,0.000,202.000,0.000,0.000
25,OFAV_PP_OGT1.jpg,5.291E-4,161.796,75.208,208.561,-95.738,0.577
26,OFAV_PP_OGT1.jpg,2.910E-4,116.302,0.293,205.303,-107.650,0.317
27,OFAV_PP_OGT1.jpg,3.983E-4,142.868,0.641,194.275,20.386,0.434
28,OFAV_PP_OGT1.jpg,2.147E-4,120.157,1.279,193.667,15.018,0.233
29,OFAV_PP_OGT1.jpg,0.207,167.283,0.000,215.000,0.000,0.000
30,OFAV_PP_OGT1.jpg,0.079,152.993,0.000,215.000,0.000,0.000
