 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PP_OHS3.jpg,3.464E-4,122.478,0.333,197.707,-74.445,0.373
2,OFAV_PP_OHS3.jpg,2.083E-4,143.306,87.314,203.700,-88.107,0.224
3,OFAV_PP_OHS3.jpg,3.592E-4,145.486,0.475,217.147,-1.644,0.387
4,OFAV_PP_OHS3.jpg,2.289E-4,127.874,0.333,201.333,0.000,0.246
5,OFAV_PP_OHS3.jpg,0.112,139.440,0.000,222.000,0.000,0.000
6,OFAV_PP_OHS3.jpg,0.061,143.943,0.000,222.000,0.000,0.000
7,OFAV_PP_OHS3.jpg,3.644E-4,166.882,95.013,207.333,-91.891,0.393
8,OFAV_PP_OHS3.jpg,1.955E-4,140.197,0.385,195.966,-104.281,0.210
9,OFAV_PP_OHS3.jpg,3.318E-4,162.160,3.339,207.594,-10.146,0.357
10,OFAV_PP_OHS3.jpg,1.792E-4,138.611,1.974,186.615,1.102,0.193
11,OFAV_PP_OHS3.jpg,0.114,147.198,0.000,213.000,0.000,0.000
12,OFAV_PP_OHS3.jpg,0.020,147.166,0.000,212.000,0.000,0.000
13,OFAV_PP_OHS3.jpg,3.404E-4,102.460,0.000,154.318,-92.603,0.367
14,OFAV_PP_OHS3.jpg,2.366E-4,77.029,0.048,154.352,-94.175,0.254
15,OFAV_PP_OHS3.jpg,3.935E-4,108.265,1.033,174.000,0.250,0.424
16,OFAV_PP_OHS3.jpg,2.495E-4,86.860,0.559,148.740,-1.580,0.269
17,OFAV_PP_OHS3.jpg,0.121,109.926,0.000,194.000,0.000,0.000
18,OFAV_PP_OHS3.jpg,0.065,108.889,0.000,194.000,0.000,0.000
19,OFAV_PP_OHS3.jpg,4.192E-4,114.169,71.598,165.825,-109.622,0.452
20,OFAV_PP_OHS3.jpg,3.009E-4,90.266,1.000,154.000,-92.291,0.324
21,OFAV_PP_OHS3.jpg,4.150E-4,124.789,2.023,173.544,4.035,0.447
22,OFAV_PP_OHS3.jpg,2.675E-4,103.426,0.071,160.495,7.765,0.288
23,OFAV_PP_OHS3.jpg,0.143,109.390,0.000,196.000,0.000,0.000
24,OFAV_PP_OHS3.jpg,0.081,110.039,0.000,196.000,0.000,0.000
25,OFAV_PP_OHS3.jpg,3.515E-4,168.274,0.811,215.556,-79.294,0.379
26,OFAV_PP_OHS3.jpg,2.375E-4,116.779,0.055,223.622,-71.171,0.255
27,OFAV_PP_OHS3.jpg,3.335E-4,146.022,0.669,203.602,6.063,0.359
28,OFAV_PP_OHS3.jpg,2.443E-4,129.926,3.077E-11,195.460,-2.420,0.263
29,OFAV_PP_OHS3.jpg,0.115,139.665,0.000,227.000,0.000,0.000
30,OFAV_PP_OHS3.jpg,0.062,146.121,0.000,227.000,0.000,0.000
