 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_2HS48.jpg,3.334E-4,144.578,0.153,221.673,-85.342,0.368
2,OFAV_PS_2HS48.jpg,2.056E-4,182.287,0.900,222.589,-96.189,0.227
3,OFAV_PS_2HS48.jpg,3.851E-4,194.977,0.413,221.951,15.191,0.425
4,OFAV_PS_2HS48.jpg,1.786E-4,150.700,1.014,219.333,26.211,0.197
5,OFAV_PS_2HS48.jpg,0.090,182.678,0.000,240.000,0.000,0.000
6,OFAV_PS_2HS48.jpg,0.042,179.395,0.000,238.000,0.000,0.000
7,OFAV_PS_2HS48.jpg,3.539E-4,184.142,0.807,223.283,-95.988,0.390
8,OFAV_PS_2HS48.jpg,2.097E-4,143.885,0.333,219.000,-93.366,0.231
9,OFAV_PS_2HS48.jpg,4.539E-4,189.193,1.063,224.409,20.993,0.500
10,OFAV_PS_2HS48.jpg,2.220E-4,184.286,1.437,224.211,24.286,0.244
11,OFAV_PS_2HS48.jpg,0.125,199.054,0.000,232.000,0.000,0.000
12,OFAV_PS_2HS48.jpg,0.040,188.521,0.000,232.000,0.000,0.000
13,OFAV_PS_2HS48.jpg,4.080E-4,154.297,51.245,208.574,-82.017,0.450
14,OFAV_PS_2HS48.jpg,2.417E-4,108.594,0.333,186.409,-82.367,0.266
15,OFAV_PS_2HS48.jpg,3.392E-4,142.746,0.343,216.529,11.310,0.374
16,OFAV_PS_2HS48.jpg,1.860E-4,152.937,1.009,192.000,14.589,0.205
17,OFAV_PS_2HS48.jpg,0.121,161.641,0.000,221.000,0.000,0.000
18,OFAV_PS_2HS48.jpg,0.053,151.835,0.000,221.000,0.000,0.000
19,OFAV_PS_2HS48.jpg,3.695E-4,172.804,60.733,216.867,-88.091,0.408
20,OFAV_PS_2HS48.jpg,2.605E-4,131.096,56.138,193.203,-105.350,0.287
21,OFAV_PS_2HS48.jpg,3.842E-4,152.978,0.486,202.333,20.642,0.424
22,OFAV_PS_2HS48.jpg,2.400E-4,130.933,0.335,202.965,22.348,0.264
23,OFAV_PS_2HS48.jpg,0.120,168.150,0.000,223.000,0.000,0.000
24,OFAV_PS_2HS48.jpg,0.053,155.851,0.000,220.000,0.000,0.000
25,OFAV_PS_2HS48.jpg,4.752E-4,197.796,102.055,230.132,-103.988,0.524
26,OFAV_PS_2HS48.jpg,2.253E-4,148.536,0.144,206.854,-108.303,0.248
27,OFAV_PS_2HS48.jpg,3.334E-4,188.125,121.729,230.280,10.204,0.368
28,OFAV_PS_2HS48.jpg,2.228E-4,187.941,0.527,215.087,18.034,0.246
29,OFAV_PS_2HS48.jpg,0.131,190.130,0.000,238.000,0.000,0.000
30,OFAV_PS_2HS48.jpg,0.047,175.833,0.000,234.000,0.000,0.000
