 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_313.jpg,3.294E-4,148.606,82.229,200.000,-92.237,0.355
2,OFAV_PS_313.jpg,1.720E-4,101.053,0.047,179.667,-106.535,0.185
3,OFAV_PS_313.jpg,3.842E-4,147.269,0.302,200.817,16.736,0.414
4,OFAV_PS_313.jpg,1.848E-4,127.889,0.202,203.074,12.875,0.199
5,OFAV_PS_313.jpg,0.117,164.945,0.000,225.000,0.000,0.000
6,OFAV_PS_313.jpg,0.033,140.207,0.000,208.000,0.000,0.000
7,OFAV_PS_313.jpg,3.474E-4,164.359,0.025,222.122,-82.770,0.375
8,OFAV_PS_313.jpg,1.968E-4,137.955,0.067,188.015,-95.262,0.212
9,OFAV_PS_313.jpg,3.654E-4,159.536,0.852,213.805,9.330,0.394
10,OFAV_PS_313.jpg,2.088E-4,120.036,1.000,198.000,8.531,0.224
11,OFAV_PS_313.jpg,0.103,177.015,0.000,233.000,0.000,0.000
12,OFAV_PS_313.jpg,0.043,150.028,0.000,217.000,0.000,0.000
13,OFAV_PS_313.jpg,3.534E-4,163.844,7.667,208.161,-92.925,0.381
14,OFAV_PS_313.jpg,1.985E-4,109.307,0.333,169.000,-90.000,0.214
15,OFAV_PS_313.jpg,3.346E-4,154.307,1.203,207.677,12.002,0.360
16,OFAV_PS_313.jpg,2.054E-4,140.619,0.448,182.619,26.887,0.221
17,OFAV_PS_313.jpg,0.108,170.402,0.000,219.000,0.000,0.000
18,OFAV_PS_313.jpg,0.041,139.192,0.000,211.000,0.000,0.000
19,OFAV_PS_313.jpg,3.448E-4,143.839,0.904,192.091,-81.709,0.372
20,OFAV_PS_313.jpg,2.156E-4,108.418,0.000,161.710,-103.815,0.232
21,OFAV_PS_313.jpg,3.773E-4,160.389,1.000,201.448,0.260,0.407
22,OFAV_PS_313.jpg,2.045E-4,114.217,0.000,155.927,-0.481,0.220
23,OFAV_PS_313.jpg,0.114,158.549,0.000,210.000,0.000,0.000
24,OFAV_PS_313.jpg,0.051,133.212,0.000,202.000,0.000,0.000
25,OFAV_PS_313.jpg,2.918E-4,157.599,88.804,191.851,-92.021,0.315
26,OFAV_PS_313.jpg,1.506E-4,88.916,0.000,162.333,-90.327,0.162
27,OFAV_PS_313.jpg,3.397E-4,167.872,100.864,213.838,15.230,0.366
28,OFAV_PS_313.jpg,1.848E-4,108.374,0.333,193.445,3.460,0.199
29,OFAV_PS_313.jpg,0.098,160.486,0.000,225.000,0.000,0.000
30,OFAV_PS_313.jpg,0.028,127.741,0.000,216.000,0.000,0.000
