 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_365_P1.jpg,3.606E-4,182.181,115.875,221.717,-66.485,0.392
2,OFAV_PS_365_P1.jpg,2.013E-4,138.232,0.056,215.333,-109.799,0.219
3,OFAV_PS_365_P1.jpg,4.151E-4,164.597,0.221,219.832,11.925,0.452
4,OFAV_PS_365_P1.jpg,2.549E-4,155.259,90.671,206.241,21.485,0.278
5,OFAV_PS_365_P1.jpg,0.133,175.199,0.000,232.000,0.000,0.000
6,OFAV_PS_365_P1.jpg,0.043,151.692,0.000,225.000,0.000,0.000
7,OFAV_PS_365_P1.jpg,3.388E-4,157.532,0.010,214.709,-63.816,0.369
8,OFAV_PS_365_P1.jpg,2.147E-4,120.542,0.703,167.685,-84.155,0.234
9,OFAV_PS_365_P1.jpg,4.419E-4,159.434,0.110,213.573,20.709,0.482
10,OFAV_PS_365_P1.jpg,2.247E-4,128.929,56.006,195.333,22.917,0.245
11,OFAV_PS_365_P1.jpg,0.126,159.837,0.000,226.000,0.000,0.000
12,OFAV_PS_365_P1.jpg,0.057,146.162,0.000,225.000,0.000,0.000
13,OFAV_PS_365_P1.jpg,3.505E-4,169.213,1.392,221.736,-81.442,0.382
14,OFAV_PS_365_P1.jpg,2.373E-4,120.865,0.661,213.072,-96.116,0.258
15,OFAV_PS_365_P1.jpg,4.361E-4,162.327,0.876,221.570,21.719,0.475
16,OFAV_PS_365_P1.jpg,2.767E-4,117.915,0.333,209.333,26.721,0.301
17,OFAV_PS_365_P1.jpg,0.148,161.963,0.000,227.000,0.000,0.000
18,OFAV_PS_365_P1.jpg,0.064,147.521,0.000,227.000,0.000,0.000
19,OFAV_PS_365_P1.jpg,4.193E-4,173.094,0.770,227.989,-101.085,0.457
20,OFAV_PS_365_P1.jpg,2.507E-4,153.735,1.069,211.076,-107.583,0.273
21,OFAV_PS_365_P1.jpg,4.218E-4,164.297,0.333,211.009,17.136,0.460
22,OFAV_PS_365_P1.jpg,2.289E-4,134.050,0.309,183.333,21.098,0.249
23,OFAV_PS_365_P1.jpg,0.156,172.068,0.000,232.000,0.000,0.000
24,OFAV_PS_365_P1.jpg,0.057,156.027,0.000,226.000,0.000,0.000
25,OFAV_PS_365_P1.jpg,3.153E-4,140.094,0.021,192.674,-63.708,0.343
26,OFAV_PS_365_P1.jpg,1.602E-4,84.957,0.000,183.628,-80.933,0.174
27,OFAV_PS_365_P1.jpg,3.824E-4,142.503,0.018,208.667,12.815,0.417
28,OFAV_PS_365_P1.jpg,2.415E-4,111.081,0.031,162.267,17.425,0.263
29,OFAV_PS_365_P1.jpg,0.121,159.038,0.000,224.000,0.000,0.000
30,OFAV_PS_365_P1.jpg,0.040,139.851,0.000,219.000,0.000,0.000
