 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_9IR44.jpg,4.891E-4,136.050,0.000,202.166,-84.319,0.530
2,OFAV_PS_9IR44.jpg,2.077E-4,123.316,0.552,169.888,-79.380,0.225
3,OFAV_PS_9IR44.jpg,3.475E-4,150.372,69.852,206.074,32.407,0.376
4,OFAV_PS_9IR44.jpg,1.806E-4,123.438,84.173,166.240,20.746,0.195
5,OFAV_PS_9IR44.jpg,0.117,156.261,0.000,219.000,0.000,0.000
6,OFAV_PS_9IR44.jpg,0.044,133.132,0.000,211.000,0.000,0.000
7,OFAV_PS_9IR44.jpg,4.298E-4,145.008,0.649,206.051,-84.560,0.466
8,OFAV_PS_9IR44.jpg,2.475E-4,115.322,49.000,192.000,-90.000,0.268
9,OFAV_PS_9IR44.jpg,3.119E-4,136.939,1.638,198.000,7.997,0.337
10,OFAV_PS_9IR44.jpg,1.738E-4,115.881,2.717,155.255,9.324,0.188
11,OFAV_PS_9IR44.jpg,0.140,155.051,0.000,213.000,0.000,0.000
12,OFAV_PS_9IR44.jpg,0.048,128.499,0.000,210.000,0.000,0.000
13,OFAV_PS_9IR44.jpg,4.976E-4,122.221,55.184,160.968,-94.504,0.539
14,OFAV_PS_9IR44.jpg,2.526E-4,90.944,0.201,153.355,-86.135,0.273
15,OFAV_PS_9IR44.jpg,3.781E-4,138.106,0.629,188.146,20.225,0.410
16,OFAV_PS_9IR44.jpg,2.119E-4,109.200,0.213,171.864,3.691,0.229
17,OFAV_PS_9IR44.jpg,0.173,148.528,0.000,210.000,0.000,0.000
18,OFAV_PS_9IR44.jpg,0.066,128.927,0.000,210.000,0.000,0.000
19,OFAV_PS_9IR44.jpg,3.348E-4,155.043,89.333,198.154,-93.059,0.362
20,OFAV_PS_9IR44.jpg,2.195E-4,99.910,0.185,167.080,-103.444,0.238
21,OFAV_PS_9IR44.jpg,3.314E-4,146.552,0.761,189.058,13.929,0.360
22,OFAV_PS_9IR44.jpg,1.933E-4,94.468,0.698,177.667,14.036,0.209
23,OFAV_PS_9IR44.jpg,0.090,148.672,0.000,215.000,0.000,0.000
24,OFAV_PS_9IR44.jpg,0.040,128.207,0.000,211.000,0.000,0.000
25,OFAV_PS_9IR44.jpg,4.738E-4,126.543,0.000,185.208,-88.358,0.514
26,OFAV_PS_9IR44.jpg,2.645E-4,72.741,0.291,144.284,-77.751,0.286
27,OFAV_PS_9IR44.jpg,3.586E-4,141.038,0.464,218.654,14.826,0.389
28,OFAV_PS_9IR44.jpg,2.145E-4,91.386,35.342,174.000,7.294,0.232
29,OFAV_PS_9IR44.jpg,0.168,138.159,0.000,223.000,0.000,0.000
30,OFAV_PS_9IR44.jpg,0.060,111.708,0.000,223.000,0.000,0.000
