 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_9AZ9.jpg,3.222E-4,195.361,176.464,212.667,-94.538,0.349
2,OFAV_PS_9AZ9.jpg,1.874E-4,177.876,0.843,213.699,-104.226,0.202
3,OFAV_PS_9AZ9.jpg,3.535E-4,179.217,0.794,217.639,21.571,0.383
4,OFAV_PS_9AZ9.jpg,2.281E-4,170.338,0.174,206.590,19.654,0.246
5,OFAV_PS_9AZ9.jpg,0.090,188.880,0.000,223.000,0.000,0.000
6,OFAV_PS_9AZ9.jpg,0.036,177.534,0.000,220.000,0.000,0.000
7,OFAV_PS_9AZ9.jpg,4.324E-4,172.187,0.145,224.000,-93.829,0.469
8,OFAV_PS_9AZ9.jpg,2.289E-4,168.156,0.488,204.808,-85.307,0.248
9,OFAV_PS_9AZ9.jpg,4.205E-4,173.322,102.614,212.594,22.317,0.456
10,OFAV_PS_9AZ9.jpg,2.492E-4,159.479,0.575,207.063,25.514,0.269
11,OFAV_PS_9AZ9.jpg,0.145,188.964,0.000,230.000,0.000,0.000
12,OFAV_PS_9AZ9.jpg,0.064,183.218,0.000,229.000,0.000,0.000
13,OFAV_PS_9AZ9.jpg,4.782E-4,158.740,0.728,209.234,-97.958,0.519
14,OFAV_PS_9AZ9.jpg,2.806E-4,137.185,5.912E-12,189.195,-105.803,0.304
15,OFAV_PS_9AZ9.jpg,3.425E-4,152.402,0.324,197.647,12.035,0.371
16,OFAV_PS_9AZ9.jpg,2.340E-4,122.558,0.090,182.796,14.340,0.253
17,OFAV_PS_9AZ9.jpg,0.135,165.715,0.000,214.000,0.000,0.000
18,OFAV_PS_9AZ9.jpg,0.064,150.008,0.000,211.000,0.000,0.000
19,OFAV_PS_9AZ9.jpg,4.646E-4,157.298,0.683,194.473,-92.726,0.503
20,OFAV_PS_9AZ9.jpg,2.789E-4,128.050,0.000,196.705,-93.141,0.302
21,OFAV_PS_9AZ9.jpg,3.425E-4,163.340,0.398,197.755,22.751,0.371
22,OFAV_PS_9AZ9.jpg,2.467E-4,118.079,0.320,182.034,25.327,0.267
23,OFAV_PS_9AZ9.jpg,0.131,166.951,0.000,214.000,0.000,0.000
24,OFAV_PS_9AZ9.jpg,0.067,155.192,0.000,214.000,0.000,0.000
25,OFAV_PS_9AZ9.jpg,4.502E-4,157.734,0.325,191.029,-96.722,0.488
26,OFAV_PS_9AZ9.jpg,2.755E-4,147.643,43.000,174.909,-98.881,0.298
27,OFAV_PS_9AZ9.jpg,5.019E-4,152.376,60.279,188.883,30.731,0.544
28,OFAV_PS_9AZ9.jpg,2.798E-4,129.193,0.357,181.667,25.942,0.303
29,OFAV_PS_9AZ9.jpg,0.175,161.584,0.000,206.000,0.000,0.000
30,OFAV_PS_9AZ9.jpg,0.073,149.653,0.000,205.000,0.000,0.000
