 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_9EV5.jpg,4.247E-4,168.361,1.077,210.000,-72.543,0.460
2,OFAV_PS_9EV5.jpg,2.450E-4,160.720,2.219,215.417,-88.210,0.265
3,OFAV_PS_9EV5.jpg,4.163E-4,178.278,0.144,215.725,13.100,0.451
4,OFAV_PS_9EV5.jpg,2.501E-4,151.611,0.095,196.986,7.633,0.270
5,OFAV_PS_9EV5.jpg,0.144,175.680,0.000,231.000,0.000,0.000
6,OFAV_PS_9EV5.jpg,0.068,160.220,0.000,227.000,0.000,0.000
7,OFAV_PS_9EV5.jpg,4.239E-4,165.660,82.851,215.337,-97.253,0.459
8,OFAV_PS_9EV5.jpg,2.645E-4,139.598,0.670,200.000,-97.193,0.287
9,OFAV_PS_9EV5.jpg,4.510E-4,165.737,0.667,213.322,2.265,0.489
10,OFAV_PS_9EV5.jpg,2.832E-4,150.547,3.320,208.000,15.164,0.306
11,OFAV_PS_9EV5.jpg,0.141,175.390,0.000,229.000,0.000,0.000
12,OFAV_PS_9EV5.jpg,0.069,165.472,0.000,229.000,0.000,0.000
13,OFAV_PS_9EV5.jpg,4.188E-4,159.941,0.248,219.352,-75.541,0.454
14,OFAV_PS_9EV5.jpg,2.925E-4,151.085,0.872,210.073,-79.963,0.317
15,OFAV_PS_9EV5.jpg,4.408E-4,164.080,0.527,221.270,22.416,0.478
16,OFAV_PS_9EV5.jpg,2.899E-4,160.968,0.619,215.000,16.361,0.314
17,OFAV_PS_9EV5.jpg,0.156,173.200,0.000,228.000,0.000,0.000
18,OFAV_PS_9EV5.jpg,0.076,161.297,0.000,225.000,0.000,0.000
19,OFAV_PS_9EV5.jpg,3.603E-4,149.933,0.333,227.025,-89.189,0.390
20,OFAV_PS_9EV5.jpg,2.526E-4,155.856,95.610,190.794,-95.404,0.274
21,OFAV_PS_9EV5.jpg,4.171E-4,177.564,0.044,217.643,3.037,0.452
22,OFAV_PS_9EV5.jpg,2.645E-4,150.376,0.667,220.000,3.323,0.286
23,OFAV_PS_9EV5.jpg,0.148,171.476,0.000,232.000,0.000,0.000
24,OFAV_PS_9EV5.jpg,0.069,161.546,0.000,232.000,0.000,0.000
25,OFAV_PS_9EV5.jpg,3.857E-4,151.960,67.294,209.115,-92.270,0.418
26,OFAV_PS_9EV5.jpg,2.552E-4,126.518,0.667,199.000,-90.000,0.276
27,OFAV_PS_9EV5.jpg,4.197E-4,145.456,1.072,192.555,5.572,0.455
28,OFAV_PS_9EV5.jpg,2.628E-4,141.912,30.006,205.614,11.965,0.284
29,OFAV_PS_9EV5.jpg,0.178,162.323,0.000,226.000,0.000,0.000
30,OFAV_PS_9EV5.jpg,0.076,152.507,0.000,226.000,0.000,0.000
