 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_9GT4.jpg,2.552E-4,167.085,2.883,232.409,-102.288,0.281
2,OFAV_PS_9GT4.jpg,1.551E-4,131.270,0.163,197.886,-112.479,0.171
3,OFAV_PS_9GT4.jpg,3.306E-4,143.987,0.000,208.836,-0.855,0.364
4,OFAV_PS_9GT4.jpg,2.035E-4,126.266,0.310,204.164,5.572,0.224
5,OFAV_PS_9GT4.jpg,0.082,159.519,0.000,233.000,0.000,0.000
6,OFAV_PS_9GT4.jpg,0.035,136.083,0.000,223.000,0.000,0.000
7,OFAV_PS_9GT4.jpg,2.642E-4,125.606,0.218,191.067,-98.054,0.291
8,OFAV_PS_9GT4.jpg,1.715E-4,98.104,0.350,191.356,-96.613,0.189
9,OFAV_PS_9GT4.jpg,3.249E-4,125.614,0.000,203.631,25.201,0.357
10,OFAV_PS_9GT4.jpg,2.010E-4,108.953,3.190,177.488,14.207,0.221
11,OFAV_PS_9GT4.jpg,0.079,140.285,0.000,221.000,0.000,0.000
12,OFAV_PS_9GT4.jpg,0.034,114.868,0.000,213.000,0.000,0.000
13,OFAV_PS_9GT4.jpg,2.601E-4,129.962,1.308,204.222,-86.730,0.286
14,OFAV_PS_9GT4.jpg,1.526E-4,98.427,0.386,169.293,-81.607,0.168
15,OFAV_PS_9GT4.jpg,2.888E-4,126.300,58.813,180.835,7.853,0.318
16,OFAV_PS_9GT4.jpg,2.240E-4,120.423,0.760,173.520,6.340,0.246
17,OFAV_PS_9GT4.jpg,0.075,141.872,0.000,216.000,0.000,0.000
18,OFAV_PS_9GT4.jpg,0.042,120.599,0.000,216.000,0.000,0.000
19,OFAV_PS_9GT4.jpg,3.110E-4,138.964,0.297,209.104,-98.216,0.342
20,OFAV_PS_9GT4.jpg,1.920E-4,115.605,53.564,165.925,-93.945,0.211
21,OFAV_PS_9GT4.jpg,2.880E-4,125.035,0.084,217.758,5.580,0.317
22,OFAV_PS_9GT4.jpg,1.969E-4,127.316,0.333,190.218,4.803,0.216
23,OFAV_PS_9GT4.jpg,0.086,146.461,0.000,226.000,0.000,0.000
24,OFAV_PS_9GT4.jpg,0.044,130.970,0.000,219.000,0.000,0.000
25,OFAV_PS_9GT4.jpg,3.134E-4,118.162,0.333,204.774,-93.614,0.345
26,OFAV_PS_9GT4.jpg,2.035E-4,99.336,0.750,187.149,-81.607,0.223
27,OFAV_PS_9GT4.jpg,3.060E-4,117.880,1.223,191.739,8.805,0.337
28,OFAV_PS_9GT4.jpg,1.961E-4,92.046,0.075,190.333,5.543,0.216
29,OFAV_PS_9GT4.jpg,0.087,144.912,0.000,222.000,0.000,0.000
30,OFAV_PS_9GT4.jpg,0.040,122.313,0.000,222.000,0.000,0.000
