 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_9JQ4.jpg,3.359E-4,189.423,103.917,225.275,-64.006,0.368
2,OFAV_PS_9JQ4.jpg,2.173E-4,114.441,0.107,205.333,-91.317,0.238
3,OFAV_PS_9JQ4.jpg,4.163E-4,204.601,0.000,224.333,2.058,0.457
4,OFAV_PS_9JQ4.jpg,2.223E-4,166.478,0.000,214.667,2.573,0.243
5,OFAV_PS_9JQ4.jpg,0.121,197.573,0.000,232.000,0.000,0.000
6,OFAV_PS_9JQ4.jpg,0.051,181.710,0.000,229.000,0.000,0.000
7,OFAV_PS_9JQ4.jpg,3.881E-4,163.514,0.166,212.994,-62.447,0.425
8,OFAV_PS_9JQ4.jpg,2.612E-4,143.143,0.327,182.665,-63.925,0.286
9,OFAV_PS_9JQ4.jpg,4.238E-4,164.419,76.500,201.451,-1.685,0.465
10,OFAV_PS_9JQ4.jpg,2.530E-4,145.269,0.519,186.801,3.400,0.276
11,OFAV_PS_9JQ4.jpg,0.142,177.366,0.000,231.000,0.000,0.000
12,OFAV_PS_9JQ4.jpg,0.069,161.070,0.000,224.000,0.000,0.000
13,OFAV_PS_9JQ4.jpg,3.616E-4,176.097,0.674,219.881,-83.660,0.396
14,OFAV_PS_9JQ4.jpg,2.256E-4,136.552,2.213,185.819,-76.578,0.247
15,OFAV_PS_9JQ4.jpg,4.371E-4,185.500,0.477,220.316,3.597,0.479
16,OFAV_PS_9JQ4.jpg,2.339E-4,162.229,1.950,205.333,11.070,0.256
17,OFAV_PS_9JQ4.jpg,0.156,183.538,0.000,227.000,0.000,0.000
18,OFAV_PS_9JQ4.jpg,0.060,162.228,0.000,227.000,0.000,0.000
19,OFAV_PS_9JQ4.jpg,4.520E-4,179.217,78.417,226.385,-75.964,0.496
20,OFAV_PS_9JQ4.jpg,2.471E-4,150.055,0.295,212.986,-71.748,0.270
21,OFAV_PS_9JQ4.jpg,4.810E-4,172.313,0.380,224.788,-0.891,0.527
22,OFAV_PS_9JQ4.jpg,2.646E-4,144.334,0.333,214.333,-1.081,0.290
23,OFAV_PS_9JQ4.jpg,0.182,190.550,0.000,232.000,0.000,0.000
24,OFAV_PS_9JQ4.jpg,0.066,163.697,0.000,228.000,0.000,0.000
25,OFAV_PS_9JQ4.jpg,3.964E-4,173.447,0.679,214.872,-81.327,0.435
26,OFAV_PS_9JQ4.jpg,2.405E-4,131.272,0.108,190.667,-97.962,0.263
27,OFAV_PS_9JQ4.jpg,4.561E-4,170.695,0.740,218.131,-21.142,0.500
28,OFAV_PS_9JQ4.jpg,2.463E-4,148.318,0.335,205.795,6.597,0.270
29,OFAV_PS_9JQ4.jpg,0.151,183.945,0.000,228.000,0.000,0.000
30,OFAV_PS_9JQ4.jpg,0.057,158.412,0.000,224.000,0.000,0.000
