 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_AZ.jpg,3.562E-4,204.266,113.868,229.667,-88.324,0.382
2,OFAV_PS_AZ.jpg,2.210E-4,192.697,3.845,225.979,-93.155,0.237
3,OFAV_PS_AZ.jpg,4.568E-4,198.079,0.141,228.667,15.332,0.489
4,OFAV_PS_AZ.jpg,2.331E-4,170.605,0.000,229.892,11.184,0.250
5,OFAV_PS_AZ.jpg,0.104,204.751,0.000,241.000,0.000,0.000
6,OFAV_PS_AZ.jpg,0.050,187.405,0.000,239.000,0.000,0.000
7,OFAV_PS_AZ.jpg,4.282E-4,189.367,0.615,227.333,-86.975,0.459
8,OFAV_PS_AZ.jpg,2.617E-4,153.179,92.829,208.966,-85.426,0.280
9,OFAV_PS_AZ.jpg,3.805E-4,196.924,0.406,222.017,12.131,0.408
10,OFAV_PS_AZ.jpg,2.375E-4,175.178,0.260,222.775,11.392,0.255
11,OFAV_PS_AZ.jpg,0.128,195.981,0.000,236.000,0.000,0.000
12,OFAV_PS_AZ.jpg,0.059,173.016,0.000,233.000,0.000,0.000
13,OFAV_PS_AZ.jpg,3.831E-4,168.794,0.701,218.257,-74.197,0.410
14,OFAV_PS_AZ.jpg,2.453E-4,141.598,0.000,203.667,-90.000,0.263
15,OFAV_PS_AZ.jpg,4.212E-4,183.699,0.469,213.782,17.016,0.452
16,OFAV_PS_AZ.jpg,2.253E-4,164.048,89.505,210.003,23.199,0.241
17,OFAV_PS_AZ.jpg,0.114,188.455,0.000,230.000,0.000,0.000
18,OFAV_PS_AZ.jpg,0.055,169.891,0.000,229.000,0.000,0.000
19,OFAV_PS_AZ.jpg,3.545E-4,186.736,0.206,226.882,-72.897,0.380
20,OFAV_PS_AZ.jpg,2.479E-4,156.465,0.502,216.952,-94.830,0.265
21,OFAV_PS_AZ.jpg,3.467E-4,176.904,0.105,236.571,28.748,0.372
22,OFAV_PS_AZ.jpg,2.141E-4,164.767,0.000,219.667,26.565,0.229
23,OFAV_PS_AZ.jpg,0.095,191.885,0.000,239.000,0.000,0.000
24,OFAV_PS_AZ.jpg,0.049,173.793,0.000,226.000,0.000,0.000
25,OFAV_PS_AZ.jpg,3.718E-4,163.671,1.306,216.578,-94.830,0.398
26,OFAV_PS_AZ.jpg,2.340E-4,140.651,91.269,198.211,-95.964,0.251
27,OFAV_PS_AZ.jpg,3.900E-4,178.024,0.734,215.992,4.086,0.418
28,OFAV_PS_AZ.jpg,2.288E-4,142.089,0.482,209.576,5.667,0.245
29,OFAV_PS_AZ.jpg,0.101,181.518,0.000,226.000,0.000,0.000
30,OFAV_PS_AZ.jpg,0.052,163.321,0.000,221.000,0.000,0.000
