 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_CX.jpg,4.085E-4,154.202,0.200,225.429,-87.184,0.446
2,OFAV_PS_CX.jpg,2.076E-4,150.978,8.909,209.667,-88.614,0.227
3,OFAV_PS_CX.jpg,3.001E-4,181.512,0.049,224.880,10.934,0.327
4,OFAV_PS_CX.jpg,1.651E-4,150.883,0.374,221.000,19.537,0.180
5,OFAV_PS_CX.jpg,0.104,194.201,0.000,231.000,0.000,0.000
6,OFAV_PS_CX.jpg,0.042,174.573,0.000,230.000,0.000,0.000
7,OFAV_PS_CX.jpg,3.802E-4,182.550,0.656,222.489,-94.283,0.416
8,OFAV_PS_CX.jpg,2.551E-4,166.985,95.862,215.667,-100.574,0.279
9,OFAV_PS_CX.jpg,3.460E-4,186.464,0.304,225.000,4.994,0.378
10,OFAV_PS_CX.jpg,1.967E-4,163.997,1.104,210.583,11.310,0.214
11,OFAV_PS_CX.jpg,0.131,197.432,0.000,240.000,0.000,0.000
12,OFAV_PS_CX.jpg,0.052,178.877,0.000,240.000,0.000,0.000
13,OFAV_PS_CX.jpg,4.794E-4,174.107,2.099,231.726,-96.406,0.524
14,OFAV_PS_CX.jpg,2.643E-4,121.980,0.333,214.342,-92.537,0.289
15,OFAV_PS_CX.jpg,3.276E-4,170.865,0.490,219.932,14.178,0.358
16,OFAV_PS_CX.jpg,1.851E-4,148.433,0.167,217.260,12.529,0.202
17,OFAV_PS_CX.jpg,0.132,189.773,0.000,235.000,0.000,0.000
18,OFAV_PS_CX.jpg,0.049,162.306,0.000,234.000,0.000,0.000
19,OFAV_PS_CX.jpg,4.060E-4,190.772,0.657,222.148,-88.114,0.444
20,OFAV_PS_CX.jpg,2.584E-4,153.035,81.504,218.337,-94.086,0.282
21,OFAV_PS_CX.jpg,3.585E-4,182.708,0.208,228.152,10.472,0.392
22,OFAV_PS_CX.jpg,2.118E-4,123.888,2.406E-11,205.000,17.003,0.231
23,OFAV_PS_CX.jpg,0.127,184.183,0.000,236.000,0.000,0.000
24,OFAV_PS_CX.jpg,0.057,160.107,0.000,236.000,0.000,0.000
25,OFAV_PS_CX.jpg,4.077E-4,194.107,2.325,236.472,-84.359,0.446
26,OFAV_PS_CX.jpg,2.426E-4,126.371,0.028,210.786,-90.395,0.265
27,OFAV_PS_CX.jpg,3.685E-4,179.058,0.624,222.679,-15.803,0.402
28,OFAV_PS_CX.jpg,1.917E-4,148.137,0.703,201.313,5.013,0.209
29,OFAV_PS_CX.jpg,0.115,184.817,0.000,237.000,0.000,0.000
30,OFAV_PS_CX.jpg,0.050,159.348,0.000,237.000,0.000,0.000
