 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_DW.jpg,3.762E-4,194.896,124.563,224.333,-85.112,0.414
2,OFAV_PS_DW.jpg,1.951E-4,160.194,6.527,183.333,-86.379,0.215
3,OFAV_PS_DW.jpg,3.369E-4,163.996,0.343,216.538,6.294,0.372
4,OFAV_PS_DW.jpg,2.041E-4,170.015,0.368,204.664,16.899,0.224
5,OFAV_PS_DW.jpg,0.103,184.163,0.000,232.000,0.000,0.000
6,OFAV_PS_DW.jpg,0.042,168.656,0.000,232.000,0.000,0.000
7,OFAV_PS_DW.jpg,3.180E-4,189.993,0.876,225.333,-92.663,0.351
8,OFAV_PS_DW.jpg,1.959E-4,170.230,115.757,210.457,-100.176,0.215
9,OFAV_PS_DW.jpg,3.254E-4,177.854,0.545,221.236,19.946,0.358
10,OFAV_PS_DW.jpg,2.139E-4,142.884,0.113,216.963,20.943,0.236
11,OFAV_PS_DW.jpg,0.104,185.769,0.000,232.000,0.000,0.000
12,OFAV_PS_DW.jpg,0.039,179.582,0.000,232.000,0.000,0.000
13,OFAV_PS_DW.jpg,3.172E-4,180.342,0.536,217.000,-81.954,0.349
14,OFAV_PS_DW.jpg,1.844E-4,163.215,79.173,211.440,-86.934,0.203
15,OFAV_PS_DW.jpg,3.090E-4,181.631,86.173,215.077,13.223,0.340
16,OFAV_PS_DW.jpg,1.828E-4,159.518,0.525,201.801,13.536,0.201
17,OFAV_PS_DW.jpg,0.091,188.854,0.000,229.000,0.000,0.000
18,OFAV_PS_DW.jpg,0.037,172.020,0.000,229.000,0.000,0.000
19,OFAV_PS_DW.jpg,3.721E-4,187.453,0.478,219.000,-77.499,0.410
20,OFAV_PS_DW.jpg,2.156E-4,127.934,7.503E-12,208.660,-78.089,0.237
21,OFAV_PS_DW.jpg,3.385E-4,183.655,0.499,218.090,12.890,0.373
22,OFAV_PS_DW.jpg,2.033E-4,135.961,0.559,209.462,13.586,0.224
23,OFAV_PS_DW.jpg,0.121,183.387,0.000,237.000,0.000,0.000
24,OFAV_PS_DW.jpg,0.048,168.545,0.000,234.000,0.000,0.000
25,OFAV_PS_DW.jpg,3.582E-4,181.560,0.333,217.505,-91.577,0.395
26,OFAV_PS_DW.jpg,2.123E-4,172.533,134.333,205.064,-102.529,0.234
27,OFAV_PS_DW.jpg,3.418E-4,172.877,0.423,212.667,2.203,0.377
28,OFAV_PS_DW.jpg,1.926E-4,124.947,0.453,196.103,1.469,0.212
29,OFAV_PS_DW.jpg,0.111,177.060,0.000,227.000,0.000,0.000
30,OFAV_PS_DW.jpg,0.042,164.389,0.000,222.000,0.000,0.000
