 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_EV.jpg,3.595E-4,116.440,0.029,187.453,-83.904,0.386
2,OFAV_PS_EV.jpg,2.244E-4,94.000,0.333,168.667,-91.776,0.240
3,OFAV_PS_EV.jpg,3.968E-4,133.556,0.104,171.000,11.605,0.426
4,OFAV_PS_EV.jpg,2.599E-4,117.530,0.049,156.288,12.362,0.278
5,OFAV_PS_EV.jpg,0.139,151.041,0.000,196.000,0.000,0.000
6,OFAV_PS_EV.jpg,0.057,131.280,0.000,184.000,0.000,0.000
7,OFAV_PS_EV.jpg,4.071E-4,120.714,0.029,164.441,-79.935,0.437
8,OFAV_PS_EV.jpg,2.452E-4,110.934,2.442,149.440,-89.187,0.262
9,OFAV_PS_EV.jpg,3.742E-4,131.661,0.141,178.572,19.529,0.401
10,OFAV_PS_EV.jpg,2.192E-4,110.831,52.603,167.714,12.824,0.235
11,OFAV_PS_EV.jpg,0.124,141.135,0.000,184.000,0.000,0.000
12,OFAV_PS_EV.jpg,0.058,123.287,0.000,184.000,0.000,0.000
13,OFAV_PS_EV.jpg,3.093E-4,135.965,0.479,173.809,-89.356,0.331
14,OFAV_PS_EV.jpg,2.027E-4,114.227,0.712,150.120,-84.583,0.217
15,OFAV_PS_EV.jpg,3.846E-4,130.604,0.333,167.127,17.616,0.412
16,OFAV_PS_EV.jpg,2.382E-4,100.953,0.961,145.259,13.528,0.255
17,OFAV_PS_EV.jpg,0.134,145.670,0.000,184.000,0.000,0.000
18,OFAV_PS_EV.jpg,0.057,123.381,0.000,181.000,0.000,0.000
19,OFAV_PS_EV.jpg,3.734E-4,145.809,0.463,211.355,-95.870,0.400
20,OFAV_PS_EV.jpg,2.348E-4,134.156,0.519,178.333,-87.455,0.252
21,OFAV_PS_EV.jpg,3.993E-4,153.717,0.018,202.475,9.503,0.428
22,OFAV_PS_EV.jpg,2.192E-4,132.872,0.444,170.333,2.726,0.235
23,OFAV_PS_EV.jpg,0.116,157.520,0.000,205.000,0.000,0.000
24,OFAV_PS_EV.jpg,0.061,144.323,0.000,203.000,0.000,0.000
25,OFAV_PS_EV.jpg,3.188E-4,133.012,0.439,180.183,-103.241,0.341
26,OFAV_PS_EV.jpg,2.131E-4,128.420,0.112,172.592,-89.065,0.228
27,OFAV_PS_EV.jpg,3.335E-4,133.956,0.296,179.922,8.088,0.357
28,OFAV_PS_EV.jpg,2.079E-4,102.384,0.667,173.234,3.113,0.223
29,OFAV_PS_EV.jpg,0.121,155.884,0.000,191.000,0.000,0.000
30,OFAV_PS_EV.jpg,0.050,136.071,0.000,191.000,0.000,0.000
