 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_PS_OHS12.jpg,3.897E-4,187.597,129.840,221.333,-74.088,0.429
2,OFAV_PS_OHS12.jpg,2.207E-4,140.654,3.214,204.667,-88.290,0.243
3,OFAV_PS_OHS12.jpg,3.011E-4,174.066,0.149,213.270,-21.801,0.332
4,OFAV_PS_OHS12.jpg,1.633E-4,144.638,0.027,218.398,16.422,0.179
5,OFAV_PS_OHS12.jpg,0.090,178.312,0.000,226.000,0.000,0.000
6,OFAV_PS_OHS12.jpg,0.041,164.380,0.000,224.000,0.000,0.000
7,OFAV_PS_OHS12.jpg,4.045E-4,168.890,0.100,218.159,-89.767,0.446
8,OFAV_PS_OHS12.jpg,2.256E-4,153.660,97.943,206.446,-96.710,0.248
9,OFAV_PS_OHS12.jpg,3.495E-4,186.383,0.900,217.122,3.778,0.385
10,OFAV_PS_OHS12.jpg,1.895E-4,133.159,3.790E-13,214.101,1.992,0.208
11,OFAV_PS_OHS12.jpg,0.119,185.555,0.000,235.000,0.000,0.000
12,OFAV_PS_OHS12.jpg,0.052,166.713,0.000,224.000,0.000,0.000
13,OFAV_PS_OHS12.jpg,4.455E-4,157.439,2.195,217.751,-76.990,0.491
14,OFAV_PS_OHS12.jpg,2.330E-4,153.030,92.371,202.047,-85.135,0.256
15,OFAV_PS_OHS12.jpg,2.543E-4,169.287,0.333,217.858,-10.072,0.280
16,OFAV_PS_OHS12.jpg,1.592E-4,145.205,0.897,201.852,12.593,0.174
17,OFAV_PS_OHS12.jpg,0.101,165.865,0.000,224.000,0.000,0.000
18,OFAV_PS_OHS12.jpg,0.040,148.828,0.000,222.000,0.000,0.000
19,OFAV_PS_OHS12.jpg,4.266E-4,156.057,75.657,216.296,-86.685,0.470
20,OFAV_PS_OHS12.jpg,2.683E-4,132.810,0.000,196.949,-88.594,0.295
21,OFAV_PS_OHS12.jpg,2.748E-4,155.262,80.288,199.440,-8.616,0.302
22,OFAV_PS_OHS12.jpg,1.854E-4,124.478,0.302,205.868,-6.116,0.204
23,OFAV_PS_OHS12.jpg,0.115,160.898,0.000,221.000,0.000,0.000
24,OFAV_PS_OHS12.jpg,0.053,146.652,0.000,219.000,0.000,0.000
25,OFAV_PS_OHS12.jpg,4.307E-4,167.676,0.315,206.732,-93.938,0.475
26,OFAV_PS_OHS12.jpg,2.420E-4,110.276,0.093,181.251,-94.877,0.266
27,OFAV_PS_OHS12.jpg,3.060E-4,164.268,0.302,210.387,2.001,0.337
28,OFAV_PS_OHS12.jpg,1.813E-4,147.949,99.523,198.586,3.382,0.200
29,OFAV_PS_OHS12.jpg,0.112,166.394,0.000,229.000,0.000,0.000
30,OFAV_PS_OHS12.jpg,0.052,150.450,0.000,227.000,0.000,0.000
