 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_0AZ4.jpg,3.150E-4,168.288,13.811,205.644,-98.194,0.345
2,OFAV_SP_0AZ4.jpg,2.147E-4,108.831,0.008,191.000,-102.095,0.235
3,OFAV_SP_0AZ4.jpg,3.299E-4,147.797,0.079,188.035,7.824,0.361
4,OFAV_SP_0AZ4.jpg,2.147E-4,147.547,0.407,196.202,9.353,0.235
5,OFAV_SP_0AZ4.jpg,0.113,158.910,0.000,220.000,0.000,0.000
6,OFAV_SP_0AZ4.jpg,0.053,149.122,0.000,220.000,0.000,0.000
7,OFAV_SP_0AZ4.jpg,3.349E-4,153.690,68.267,191.333,-79.276,0.367
8,OFAV_SP_0AZ4.jpg,2.122E-4,132.454,68.522,180.369,-92.021,0.232
9,OFAV_SP_0AZ4.jpg,2.860E-4,153.653,0.277,188.210,18.277,0.314
10,OFAV_SP_0AZ4.jpg,2.006E-4,136.598,0.523,191.000,13.690,0.219
11,OFAV_SP_0AZ4.jpg,0.094,150.612,0.000,212.000,0.000,0.000
12,OFAV_SP_0AZ4.jpg,0.043,134.366,0.000,210.000,0.000,0.000
13,OFAV_SP_0AZ4.jpg,3.423E-4,167.715,0.000,227.000,-108.962,0.375
14,OFAV_SP_0AZ4.jpg,2.130E-4,119.830,0.367,191.456,-102.626,0.233
15,OFAV_SP_0AZ4.jpg,3.025E-4,170.375,0.624,213.993,10.136,0.331
16,OFAV_SP_0AZ4.jpg,2.180E-4,125.835,0.891,201.962,0.875,0.239
17,OFAV_SP_0AZ4.jpg,0.100,163.000,0.000,231.000,0.000,0.000
18,OFAV_SP_0AZ4.jpg,0.054,147.885,0.000,230.000,0.000,0.000
19,OFAV_SP_0AZ4.jpg,3.340E-4,168.729,0.290,215.882,-95.852,0.366
20,OFAV_SP_0AZ4.jpg,2.495E-4,99.397,0.133,200.642,-93.827,0.273
21,OFAV_SP_0AZ4.jpg,3.398E-4,143.897,0.132,216.913,14.444,0.372
22,OFAV_SP_0AZ4.jpg,2.362E-4,148.494,0.213,218.171,5.450,0.259
23,OFAV_SP_0AZ4.jpg,0.109,167.881,0.000,230.000,0.000,0.000
24,OFAV_SP_0AZ4.jpg,0.056,155.045,0.000,230.000,0.000,0.000
25,OFAV_SP_0AZ4.jpg,4.012E-4,157.560,0.245,214.785,-83.581,0.440
26,OFAV_SP_0AZ4.jpg,2.362E-4,130.091,0.000,188.643,-89.395,0.259
27,OFAV_SP_0AZ4.jpg,3.199E-4,165.709,0.320,201.077,8.973,0.350
28,OFAV_SP_0AZ4.jpg,2.246E-4,141.749,0.359,191.268,7.890,0.245
29,OFAV_SP_0AZ4.jpg,0.117,163.048,0.000,228.000,0.000,0.000
30,OFAV_SP_0AZ4.jpg,0.052,155.189,0.000,228.000,0.000,0.000
