 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_2AZ21_P1.jpg,3.330E-4,194.282,175.876,208.000,-87.574,0.343
2,OFAV_SP_2AZ21_P1.jpg,2.364E-4,140.732,0.086,206.870,-101.041,0.243
3,OFAV_SP_2AZ21_P1.jpg,2.890E-4,191.517,0.333,209.483,9.002,0.297
4,OFAV_SP_2AZ21_P1.jpg,1.811E-4,180.036,0.333,202.665,10.784,0.186
5,OFAV_SP_2AZ21_P1.jpg,0.097,197.504,0.000,214.000,0.000,0.000
6,OFAV_SP_2AZ21_P1.jpg,0.032,185.428,0.000,209.000,0.000,0.000
7,OFAV_SP_2AZ21_P1.jpg,3.387E-4,171.610,0.000,196.333,-91.432,0.349
8,OFAV_SP_2AZ21_P1.jpg,1.867E-4,174.873,2.182,204.141,-91.736,0.192
9,OFAV_SP_2AZ21_P1.jpg,3.133E-4,178.512,158.189,197.279,10.905,0.323
10,OFAV_SP_2AZ21_P1.jpg,2.177E-4,161.705,0.775,197.632,2.974,0.224
11,OFAV_SP_2AZ21_P1.jpg,0.096,178.748,0.000,210.000,0.000,0.000
12,OFAV_SP_2AZ21_P1.jpg,0.032,169.290,0.000,206.000,0.000,0.000
13,OFAV_SP_2AZ21_P1.jpg,3.649E-4,191.003,163.766,200.000,-90.295,0.376
14,OFAV_SP_2AZ21_P1.jpg,2.101E-4,150.439,0.746,197.567,-84.852,0.216
15,OFAV_SP_2AZ21_P1.jpg,3.377E-4,187.148,0.478,202.333,14.500,0.348
16,OFAV_SP_2AZ21_P1.jpg,2.261E-4,174.881,0.033,199.694,10.561,0.233
17,OFAV_SP_2AZ21_P1.jpg,0.105,189.106,0.000,219.000,0.000,0.000
18,OFAV_SP_2AZ21_P1.jpg,0.048,180.741,0.000,210.000,0.000,0.000
19,OFAV_SP_2AZ21_P1.jpg,3.668E-4,147.636,0.238,206.364,-91.175,0.378
20,OFAV_SP_2AZ21_P1.jpg,1.886E-4,169.966,0.133,199.333,-88.854,0.194
21,OFAV_SP_2AZ21_P1.jpg,3.302E-4,147.997,0.074,217.302,4.248,0.340
22,OFAV_SP_2AZ21_P1.jpg,1.961E-4,155.881,0.622,199.667,1.652,0.202
23,OFAV_SP_2AZ21_P1.jpg,0.114,186.654,0.000,219.000,0.000,0.000
24,OFAV_SP_2AZ21_P1.jpg,0.038,174.121,0.000,205.000,0.000,0.000
25,OFAV_SP_2AZ21_P1.jpg,3.490E-4,155.585,0.103,190.564,-94.789,0.360
26,OFAV_SP_2AZ21_P1.jpg,1.811E-4,160.737,124.562,184.350,-95.978,0.186
27,OFAV_SP_2AZ21_P1.jpg,3.612E-4,152.967,0.218,186.117,10.051,0.372
28,OFAV_SP_2AZ21_P1.jpg,2.139E-4,150.016,0.580,169.552,9.130,0.220
29,OFAV_SP_2AZ21_P1.jpg,0.110,161.596,0.000,195.000,0.000,0.000
30,OFAV_SP_2AZ21_P1.jpg,0.037,151.344,0.000,191.000,0.000,0.000
