 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_2JQ31_P3.jpg,4.336E-4,150.375,61.012,228.142,-102.070,0.459
2,OFAV_SP_2JQ31_P3.jpg,1.888E-4,144.415,90.269,210.940,-108.178,0.199
3,OFAV_SP_2JQ31_P3.jpg,3.174E-4,145.179,71.821,217.899,2.886,0.337
4,OFAV_SP_2JQ31_P3.jpg,1.472E-4,162.365,105.000,217.667,0.000,0.155
5,OFAV_SP_2JQ31_P3.jpg,0.120,155.964,53.000,231.000,0.000,0.000
6,OFAV_SP_2JQ31_P3.jpg,0.059,155.955,57.000,229.000,0.000,0.000
7,OFAV_SP_2JQ31_P3.jpg,4.282E-4,141.313,67.024,215.574,-94.645,0.453
8,OFAV_SP_2JQ31_P3.jpg,2.509E-4,99.244,62.943,182.085,-92.437,0.266
9,OFAV_SP_2JQ31_P3.jpg,3.094E-4,138.943,68.879,203.988,-0.988,0.328
10,OFAV_SP_2JQ31_P3.jpg,2.057E-4,137.938,60.000,205.351,0.744,0.218
11,OFAV_SP_2JQ31_P3.jpg,0.121,135.590,42.000,229.000,0.000,0.000
12,OFAV_SP_2JQ31_P3.jpg,0.053,129.596,42.000,229.000,0.000,0.000
13,OFAV_SP_2JQ31_P3.jpg,4.389E-4,133.718,66.134,206.804,-100.149,0.465
14,OFAV_SP_2JQ31_P3.jpg,2.722E-4,120.703,52.800,197.598,-97.892,0.288
15,OFAV_SP_2JQ31_P3.jpg,3.431E-4,140.258,52.758,220.907,13.928,0.364
16,OFAV_SP_2JQ31_P3.jpg,1.800E-4,134.206,58.836,198.528,4.268,0.190
17,OFAV_SP_2JQ31_P3.jpg,0.128,140.039,42.000,231.000,0.000,0.000
18,OFAV_SP_2JQ31_P3.jpg,0.061,133.081,42.000,231.000,0.000,0.000
19,OFAV_SP_2JQ31_P3.jpg,4.185E-4,140.846,69.119,219.331,-96.944,0.444
20,OFAV_SP_2JQ31_P3.jpg,2.757E-4,137.041,75.460,199.395,-98.915,0.292
21,OFAV_SP_2JQ31_P3.jpg,3.653E-4,141.567,79.204,207.487,16.980,0.387
22,OFAV_SP_2JQ31_P3.jpg,2.252E-4,177.627,101.087,209.887,4.086,0.238
23,OFAV_SP_2JQ31_P3.jpg,0.126,145.310,45.000,235.000,0.000,0.000
24,OFAV_SP_2JQ31_P3.jpg,0.061,139.954,45.000,235.000,0.000,0.000
25,OFAV_SP_2JQ31_P3.jpg,4.052E-4,126.603,37.491,183.469,-88.869,0.429
26,OFAV_SP_2JQ31_P3.jpg,2.509E-4,114.901,56.688,204.745,-91.828,0.266
27,OFAV_SP_2JQ31_P3.jpg,3.405E-4,117.083,59.266,199.798,5.398,0.360
28,OFAV_SP_2JQ31_P3.jpg,1.631E-4,122.367,50.710,209.404,3.752,0.173
29,OFAV_SP_2JQ31_P3.jpg,0.126,115.831,23.000,235.000,0.000,0.000
30,OFAV_SP_2JQ31_P3.jpg,0.064,117.357,23.000,235.000,0.000,0.000
