 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_3EV30_P1.jpg,3.678E-4,120.870,7.124E-12,188.378,-94.830,0.396
2,OFAV_SP_3EV30_P1.jpg,2.452E-4,102.974,2.070,141.772,-93.013,0.264
3,OFAV_SP_3EV30_P1.jpg,3.198E-4,117.151,0.094,180.527,7.411,0.345
4,OFAV_SP_3EV30_P1.jpg,2.169E-4,127.522,0.000,202.333,0.000,0.233
5,OFAV_SP_3EV30_P1.jpg,0.111,144.529,0.000,226.000,0.000,0.000
6,OFAV_SP_3EV30_P1.jpg,0.049,129.962,0.000,220.000,0.000,0.000
7,OFAV_SP_3EV30_P1.jpg,3.515E-4,124.134,40.700,209.497,-93.786,0.379
8,OFAV_SP_3EV30_P1.jpg,2.298E-4,87.323,0.333,173.000,-86.785,0.248
9,OFAV_SP_3EV30_P1.jpg,3.626E-4,136.236,1.819,195.715,22.557,0.391
10,OFAV_SP_3EV30_P1.jpg,2.152E-4,110.302,1.600,175.976,4.135,0.231
11,OFAV_SP_3EV30_P1.jpg,0.104,132.501,0.000,215.000,0.000,0.000
12,OFAV_SP_3EV30_P1.jpg,0.048,118.299,0.000,213.000,0.000,0.000
13,OFAV_SP_3EV30_P1.jpg,2.966E-4,109.128,0.188,186.101,-92.490,0.320
14,OFAV_SP_3EV30_P1.jpg,2.195E-4,115.450,0.333,184.329,-92.694,0.236
15,OFAV_SP_3EV30_P1.jpg,3.275E-4,120.706,0.592,154.286,9.982,0.353
16,OFAV_SP_3EV30_P1.jpg,1.629E-4,108.404,0.370,152.561,-0.909,0.175
17,OFAV_SP_3EV30_P1.jpg,0.099,124.428,0.000,205.000,0.000,0.000
18,OFAV_SP_3EV30_P1.jpg,0.031,111.927,0.000,195.000,0.000,0.000
19,OFAV_SP_3EV30_P1.jpg,4.484E-4,122.034,0.000,169.450,-106.699,0.483
20,OFAV_SP_3EV30_P1.jpg,2.023E-4,131.484,0.467,208.975,-99.782,0.218
21,OFAV_SP_3EV30_P1.jpg,3.841E-4,132.758,0.000,181.727,19.326,0.414
22,OFAV_SP_3EV30_P1.jpg,1.423E-4,137.784,80.887,186.357,14.036,0.153
23,OFAV_SP_3EV30_P1.jpg,0.123,147.877,0.000,225.000,0.000,0.000
24,OFAV_SP_3EV30_P1.jpg,0.024,135.273,0.000,211.000,0.000,0.000
25,OFAV_SP_3EV30_P1.jpg,3.549E-4,103.695,0.166,154.134,-102.288,0.383
26,OFAV_SP_3EV30_P1.jpg,2.169E-4,77.685,0.287,154.275,-97.745,0.234
27,OFAV_SP_3EV30_P1.jpg,3.103E-4,101.695,47.160,159.719,16.730,0.335
28,OFAV_SP_3EV30_P1.jpg,1.972E-4,131.962,1.121,160.490,6.506,0.212
29,OFAV_SP_3EV30_P1.jpg,0.092,116.871,0.000,212.000,0.000,0.000
30,OFAV_SP_3EV30_P1.jpg,0.041,105.505,0.000,212.000,0.000,0.000
