 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_4DW11.jpg,3.736E-4,110.367,49.676,167.492,-84.075,0.399
2,OFAV_SP_4DW11.jpg,2.205E-4,88.068,0.772,154.445,-98.259,0.234
3,OFAV_SP_4DW11.jpg,4.252E-4,109.583,56.043,162.619,13.349,0.454
4,OFAV_SP_4DW11.jpg,2.205E-4,88.230,0.248,152.515,13.815,0.235
5,OFAV_SP_4DW11.jpg,0.133,115.115,0.000,199.000,0.000,0.000
6,OFAV_SP_4DW11.jpg,0.047,106.893,0.000,199.000,0.000,0.000
7,OFAV_SP_4DW11.jpg,4.410E-4,127.243,0.053,178.547,-84.063,0.470
8,OFAV_SP_4DW11.jpg,2.677E-4,86.630,0.789,136.667,-84.738,0.286
9,OFAV_SP_4DW11.jpg,4.672E-4,102.964,0.997,150.127,8.191,0.499
10,OFAV_SP_4DW11.jpg,2.467E-4,82.123,0.352,118.227,4.899,0.263
11,OFAV_SP_4DW11.jpg,0.181,122.093,0.000,196.000,0.000,0.000
12,OFAV_SP_4DW11.jpg,0.067,109.323,0.000,196.000,0.000,0.000
13,OFAV_SP_4DW11.jpg,1.837E-4,86.150,1.067,143.191,-71.565,0.195
14,OFAV_SP_4DW11.jpg,8.399E-5,74.355,48.466,106.014,-77.276,0.089
15,OFAV_SP_4DW11.jpg,2.187E-4,88.713,0.137,141.309,3.447,0.233
16,OFAV_SP_4DW11.jpg,1.137E-4,60.514,0.333,102.256,3.991,0.121
17,OFAV_SP_4DW11.jpg,0.041,93.184,0.000,168.000,0.000,0.000
18,OFAV_SP_4DW11.jpg,0.014,80.068,0.000,168.000,0.000,0.000
19,OFAV_SP_4DW11.jpg,4.068E-4,106.513,0.166,148.587,-66.753,0.434
20,OFAV_SP_4DW11.jpg,2.599E-4,72.527,0.500,129.861,-74.134,0.277
21,OFAV_SP_4DW11.jpg,5.337E-4,74.839,0.000,124.540,1.975,0.570
22,OFAV_SP_4DW11.jpg,2.529E-4,66.744,0.000,157.333,0.000,0.269
23,OFAV_SP_4DW11.jpg,0.188,97.293,0.000,185.000,0.000,0.000
24,OFAV_SP_4DW11.jpg,0.076,91.761,0.000,184.000,0.000,0.000
25,OFAV_SP_4DW11.jpg,3.937E-4,111.830,44.101,169.332,-81.167,0.420
26,OFAV_SP_4DW11.jpg,2.284E-4,96.231,0.467,159.020,-75.964,0.243
27,OFAV_SP_4DW11.jpg,4.366E-4,107.985,51.194,160.614,18.981,0.466
28,OFAV_SP_4DW11.jpg,2.424E-4,97.469,0.236,152.492,17.057,0.258
29,OFAV_SP_4DW11.jpg,0.147,113.678,0.000,189.000,0.000,0.000
30,OFAV_SP_4DW11.jpg,0.058,105.027,0.000,189.000,0.000,0.000
