 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_6JQ16.jpg,3.379E-4,167.124,112.224,211.458,89.145,0.368
2,OFAV_SP_6JQ16.jpg,2.658E-4,108.904,0.000,195.451,-94.899,0.289
3,OFAV_SP_6JQ16.jpg,2.691E-4,120.320,8.773,187.387,12.995,0.293
4,OFAV_SP_6JQ16.jpg,1.727E-4,136.479,0.392,194.914,5.877,0.188
5,OFAV_SP_6JQ16.jpg,0.115,152.139,0.000,236.000,0.000,0.000
6,OFAV_SP_6JQ16.jpg,0.072,140.549,0.000,223.000,0.000,0.000
7,OFAV_SP_6JQ16.jpg,3.228E-4,136.333,0.091,204.333,-82.376,0.352
8,OFAV_SP_6JQ16.jpg,2.171E-4,113.814,0.000,189.812,-99.353,0.237
9,OFAV_SP_6JQ16.jpg,3.253E-4,130.178,0.477,192.535,12.529,0.355
10,OFAV_SP_6JQ16.jpg,2.088E-4,85.581,0.894,159.667,11.853,0.227
11,OFAV_SP_6JQ16.jpg,0.104,141.958,0.000,218.000,0.000,0.000
12,OFAV_SP_6JQ16.jpg,0.043,119.832,0.000,211.000,0.000,0.000
13,OFAV_SP_6JQ16.jpg,3.949E-4,132.318,42.291,187.237,-77.829,0.430
14,OFAV_SP_6JQ16.jpg,2.624E-4,121.315,0.333,181.234,-88.348,0.286
15,OFAV_SP_6JQ16.jpg,2.565E-4,123.228,69.514,162.724,6.776,0.279
16,OFAV_SP_6JQ16.jpg,2.121E-4,139.161,0.400,182.036,8.902,0.231
17,OFAV_SP_6JQ16.jpg,0.122,146.662,0.000,217.000,0.000,0.000
18,OFAV_SP_6JQ16.jpg,0.055,131.357,0.000,214.000,0.000,0.000
19,OFAV_SP_6JQ16.jpg,3.571E-4,125.420,0.971,186.442,-93.240,0.389
20,OFAV_SP_6JQ16.jpg,2.415E-4,103.199,0.000,188.347,-93.601,0.262
21,OFAV_SP_6JQ16.jpg,2.918E-4,138.942,0.000,206.038,7.943,0.318
22,OFAV_SP_6JQ16.jpg,1.970E-4,115.494,65.341,172.951,7.853,0.214
23,OFAV_SP_6JQ16.jpg,0.103,151.162,0.000,219.000,0.000,0.000
24,OFAV_SP_6JQ16.jpg,0.053,128.015,0.000,212.000,0.000,0.000
25,OFAV_SP_6JQ16.jpg,3.605E-4,142.977,0.333,199.755,-64.032,0.393
26,OFAV_SP_6JQ16.jpg,2.448E-4,108.821,0.044,202.875,-93.552,0.266
27,OFAV_SP_6JQ16.jpg,3.018E-4,124.504,0.163,196.624,3.517,0.328
28,OFAV_SP_6JQ16.jpg,2.398E-4,137.122,1.344,177.320,3.627,0.261
29,OFAV_SP_6JQ16.jpg,0.115,150.958,0.000,209.000,0.000,0.000
30,OFAV_SP_6JQ16.jpg,0.053,132.727,0.000,207.000,0.000,0.000
