 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_8EV24.jpg,3.719E-4,198.435,144.569,227.752,-81.529,0.398
2,OFAV_SP_8EV24.jpg,2.046E-4,184.399,129.184,218.667,-95.128,0.219
3,OFAV_SP_8EV24.jpg,3.650E-4,186.873,109.786,224.262,2.045,0.391
4,OFAV_SP_8EV24.jpg,2.271E-4,184.824,111.000,227.333,0.000,0.243
5,OFAV_SP_8EV24.jpg,0.127,192.661,98.000,241.000,0.000,0.000
6,OFAV_SP_8EV24.jpg,0.043,181.808,98.000,237.000,0.000,0.000
7,OFAV_SP_8EV24.jpg,4.118E-4,191.737,103.649,232.954,-102.686,0.441
8,OFAV_SP_8EV24.jpg,2.479E-4,182.641,109.311,230.516,-104.231,0.265
9,OFAV_SP_8EV24.jpg,2.869E-4,198.733,150.515,232.000,1.736,0.307
10,OFAV_SP_8EV24.jpg,1.604E-4,195.386,107.565,233.913,0.623,0.171
11,OFAV_SP_8EV24.jpg,0.134,193.203,96.000,242.000,0.000,0.000
12,OFAV_SP_8EV24.jpg,0.050,188.986,96.000,239.000,0.000,0.000
13,OFAV_SP_8EV24.jpg,3.312E-4,215.777,141.862,241.197,-85.486,0.355
14,OFAV_SP_8EV24.jpg,1.873E-4,192.572,110.868,243.070,-100.162,0.201
15,OFAV_SP_8EV24.jpg,2.991E-4,188.869,109.225,243.333,2.663,0.321
16,OFAV_SP_8EV24.jpg,2.029E-4,200.289,111.674,242.787,-5.417,0.217
17,OFAV_SP_8EV24.jpg,0.114,203.493,99.000,247.000,0.000,0.000
18,OFAV_SP_8EV24.jpg,0.043,200.060,99.000,247.000,0.000,0.000
19,OFAV_SP_8EV24.jpg,3.511E-4,194.079,107.934,240.541,-90.851,0.376
20,OFAV_SP_8EV24.jpg,2.306E-4,168.400,113.063,222.758,-76.487,0.247
21,OFAV_SP_8EV24.jpg,3.294E-4,180.016,108.472,230.753,6.975,0.353
22,OFAV_SP_8EV24.jpg,1.985E-4,175.141,107.175,228.333,3.013,0.213
23,OFAV_SP_8EV24.jpg,0.117,189.449,101.000,244.000,0.000,0.000
24,OFAV_SP_8EV24.jpg,0.044,177.492,101.000,244.000,0.000,0.000
25,OFAV_SP_8EV24.jpg,3.485E-4,191.007,147.647,231.000,-86.281,0.373
26,OFAV_SP_8EV24.jpg,2.211E-4,189.255,110.354,229.000,-92.255,0.237
27,OFAV_SP_8EV24.jpg,3.338E-4,203.416,107.472,240.748,7.792,0.357
28,OFAV_SP_8EV24.jpg,1.638E-4,202.399,108.805,241.667,3.045,0.175
29,OFAV_SP_8EV24.jpg,0.112,203.179,99.000,247.000,0.000,0.000
30,OFAV_SP_8EV24.jpg,0.036,189.306,99.000,244.000,0.000,0.000
