 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_EV.jpg,3.701E-4,108.555,0.019,207.333,-87.983,0.397
2,OFAV_SP_EV.jpg,2.644E-4,149.923,106.642,197.145,-95.654,0.283
3,OFAV_SP_EV.jpg,2.713E-4,153.008,0.333,205.946,16.172,0.291
4,OFAV_SP_EV.jpg,1.864E-4,153.781,101.381,201.050,4.830,0.199
5,OFAV_SP_EV.jpg,0.104,149.052,0.000,225.000,0.000,0.000
6,OFAV_SP_EV.jpg,0.061,148.408,0.000,225.000,0.000,0.000
7,OFAV_SP_EV.jpg,4.256E-4,195.009,112.836,225.412,-93.160,0.456
8,OFAV_SP_EV.jpg,2.583E-4,179.782,122.000,219.333,-88.843,0.277
9,OFAV_SP_EV.jpg,3.892E-4,193.666,117.007,220.531,8.076,0.418
10,OFAV_SP_EV.jpg,2.288E-4,149.303,0.559,222.613,7.206,0.245
11,OFAV_SP_EV.jpg,0.137,191.355,0.000,237.000,0.000,0.000
12,OFAV_SP_EV.jpg,0.065,183.078,0.000,237.000,0.000,0.000
13,OFAV_SP_EV.jpg,4.247E-4,128.157,0.000,198.634,-89.297,0.455
14,OFAV_SP_EV.jpg,2.999E-4,148.149,2.333,208.565,-90.498,0.321
15,OFAV_SP_EV.jpg,4.169E-4,155.416,75.917,204.448,17.076,0.447
16,OFAV_SP_EV.jpg,2.653E-4,131.143,0.396,203.389,10.758,0.284
17,OFAV_SP_EV.jpg,0.136,158.547,0.000,215.000,0.000,0.000
18,OFAV_SP_EV.jpg,0.080,149.522,0.000,215.000,0.000,0.000
19,OFAV_SP_EV.jpg,3.901E-4,167.828,0.674,210.000,-94.986,0.418
20,OFAV_SP_EV.jpg,2.583E-4,121.984,0.960,190.000,-91.736,0.277
21,OFAV_SP_EV.jpg,3.771E-4,164.674,0.346,211.563,5.159,0.404
22,OFAV_SP_EV.jpg,2.358E-4,122.832,0.081,200.552,10.192,0.253
23,OFAV_SP_EV.jpg,0.146,163.089,0.000,230.000,0.000,0.000
24,OFAV_SP_EV.jpg,0.067,147.935,0.000,230.000,0.000,0.000
25,OFAV_SP_EV.jpg,4.005E-4,173.035,1.018,216.605,-80.251,0.429
26,OFAV_SP_EV.jpg,2.644E-4,140.598,0.000,217.667,-90.000,0.283
27,OFAV_SP_EV.jpg,3.684E-4,191.429,0.333,223.453,11.151,0.395
28,OFAV_SP_EV.jpg,2.817E-4,151.859,0.333,213.519,8.881,0.302
29,OFAV_SP_EV.jpg,0.158,179.501,0.000,236.000,0.000,0.000
30,OFAV_SP_EV.jpg,0.074,166.144,0.000,229.000,0.000,0.000
