 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_OAZ24.jpg,3.514E-4,162.955,83.000,227.333,-90.000,0.389
2,OFAV_SP_OAZ24.jpg,2.183E-4,122.530,1.036,200.021,-93.857,0.241
3,OFAV_SP_OAZ24.jpg,4.090E-4,171.343,0.366,227.065,22.436,0.453
4,OFAV_SP_OAZ24.jpg,2.646E-4,134.746,0.344,224.422,13.908,0.292
5,OFAV_SP_OAZ24.jpg,0.145,176.081,0.000,237.000,0.000,0.000
6,OFAV_SP_OAZ24.jpg,0.058,155.317,0.000,237.000,0.000,0.000
7,OFAV_SP_OAZ24.jpg,4.001E-4,163.897,0.083,235.552,-104.121,0.443
8,OFAV_SP_OAZ24.jpg,2.135E-4,127.661,1.445,222.162,-100.539,0.236
9,OFAV_SP_OAZ24.jpg,3.823E-4,173.546,5.247,231.015,21.326,0.424
10,OFAV_SP_OAZ24.jpg,2.621E-4,173.797,2.090,223.571,8.584,0.290
11,OFAV_SP_OAZ24.jpg,0.136,181.284,0.000,243.000,0.000,0.000
12,OFAV_SP_OAZ24.jpg,0.057,159.404,0.000,238.000,0.000,0.000
13,OFAV_SP_OAZ24.jpg,4.050E-4,179.679,74.683,239.679,-89.310,0.449
14,OFAV_SP_OAZ24.jpg,2.419E-4,122.944,0.113,197.975,-81.298,0.268
15,OFAV_SP_OAZ24.jpg,4.066E-4,170.906,0.506,218.250,10.028,0.450
16,OFAV_SP_OAZ24.jpg,2.094E-4,156.850,0.274,231.056,10.784,0.231
17,OFAV_SP_OAZ24.jpg,0.154,181.458,0.000,240.000,0.000,0.000
18,OFAV_SP_OAZ24.jpg,0.062,157.773,0.000,240.000,0.000,0.000
19,OFAV_SP_OAZ24.jpg,3.815E-4,183.274,78.601,232.834,-93.668,0.422
20,OFAV_SP_OAZ24.jpg,2.597E-4,160.365,0.411,218.357,-85.684,0.287
21,OFAV_SP_OAZ24.jpg,3.920E-4,196.712,0.828,231.664,14.036,0.435
22,OFAV_SP_OAZ24.jpg,2.451E-4,167.492,84.448,223.127,22.225,0.272
23,OFAV_SP_OAZ24.jpg,0.144,188.156,0.000,242.000,0.000,0.000
24,OFAV_SP_OAZ24.jpg,0.064,169.987,0.000,241.000,0.000,0.000
25,OFAV_SP_OAZ24.jpg,4.131E-4,159.251,0.045,216.414,-111.864,0.457
26,OFAV_SP_OAZ24.jpg,2.313E-4,142.138,76.266,215.667,-109.776,0.256
27,OFAV_SP_OAZ24.jpg,4.618E-4,171.702,78.410,226.224,28.055,0.511
28,OFAV_SP_OAZ24.jpg,2.719E-4,162.664,0.236,206.714,14.036,0.301
29,OFAV_SP_OAZ24.jpg,0.145,171.046,0.000,236.000,0.000,0.000
30,OFAV_SP_OAZ24.jpg,0.064,156.711,0.000,231.000,0.000,0.000
