 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_OEV35.jpg,1.899E-4,125.842,0.216,229.070,-87.990,0.208
2,OFAV_SP_OEV35.jpg,1.302E-4,178.793,126.513,236.402,-88.531,0.142
3,OFAV_SP_OEV35.jpg,2.670E-4,195.428,0.154,238.559,10.049,0.292
4,OFAV_SP_OEV35.jpg,1.575E-4,164.753,0.333,224.328,13.449,0.172
5,OFAV_SP_OEV35.jpg,0.052,197.268,0.000,247.000,0.000,0.000
6,OFAV_SP_OEV35.jpg,0.013,178.426,0.000,244.000,0.000,0.000
7,OFAV_SP_OEV35.jpg,2.960E-4,179.090,0.333,232.019,-91.931,0.324
8,OFAV_SP_OEV35.jpg,1.865E-4,176.219,123.211,216.412,-101.310,0.204
9,OFAV_SP_OEV35.jpg,3.656E-4,193.267,1.875,231.648,7.836,0.401
10,OFAV_SP_OEV35.jpg,1.940E-4,181.452,123.603,234.000,15.945,0.212
11,OFAV_SP_OEV35.jpg,0.077,196.935,0.000,246.000,0.000,0.000
12,OFAV_SP_OEV35.jpg,0.040,184.973,0.000,240.000,0.000,0.000
13,OFAV_SP_OEV35.jpg,2.479E-4,167.402,0.531,214.741,-75.403,0.271
14,OFAV_SP_OEV35.jpg,1.708E-4,156.608,1.249,204.465,-74.745,0.187
15,OFAV_SP_OEV35.jpg,3.142E-4,199.030,0.068,248.333,19.011,0.344
16,OFAV_SP_OEV35.jpg,2.031E-4,183.598,0.367,232.000,20.886,0.222
17,OFAV_SP_OEV35.jpg,0.100,194.825,0.000,250.000,0.000,0.000
18,OFAV_SP_OEV35.jpg,0.037,182.986,0.000,249.000,0.000,0.000
19,OFAV_SP_OEV35.jpg,3.184E-4,207.234,140.890,236.333,-93.894,0.349
20,OFAV_SP_OEV35.jpg,1.824E-4,207.366,157.961,240.711,-108.104,0.199
21,OFAV_SP_OEV35.jpg,3.465E-4,194.667,0.194,237.333,18.435,0.380
22,OFAV_SP_OEV35.jpg,2.081E-4,160.477,0.333,223.028,12.926,0.228
23,OFAV_SP_OEV35.jpg,0.111,201.320,0.000,245.000,0.000,0.000
24,OFAV_SP_OEV35.jpg,0.044,189.215,0.000,245.000,0.000,0.000
25,OFAV_SP_OEV35.jpg,3.109E-4,164.884,0.000,237.667,-90.000,0.341
26,OFAV_SP_OEV35.jpg,2.073E-4,150.842,0.333,228.235,-94.151,0.226
27,OFAV_SP_OEV35.jpg,2.943E-4,165.611,0.000,236.221,18.127,0.322
28,OFAV_SP_OEV35.jpg,1.774E-4,147.815,0.162,232.986,16.390,0.194
29,OFAV_SP_OEV35.jpg,0.098,183.904,0.000,248.000,0.000,0.000
30,OFAV_SP_OEV35.jpg,0.044,169.463,0.000,247.000,0.000,0.000
