 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SP_OEV3_P2.jpg,3.265E-4,167.763,0.014,226.918,-84.560,0.351
2,OFAV_SP_OEV3_P2.jpg,1.577E-4,159.148,8.678,200.667,-88.122,0.169
3,OFAV_SP_OEV3_P2.jpg,3.239E-4,179.568,0.685,223.000,18.579,0.349
4,OFAV_SP_OEV3_P2.jpg,1.303E-4,155.054,0.309,211.644,13.761,0.140
5,OFAV_SP_OEV3_P2.jpg,0.073,190.881,0.000,235.000,0.000,0.000
6,OFAV_SP_OEV3_P2.jpg,0.028,177.522,0.000,234.000,0.000,0.000
7,OFAV_SP_OEV3_P2.jpg,2.802E-4,179.530,0.767,223.588,-96.864,0.302
8,OFAV_SP_OEV3_P2.jpg,1.525E-4,163.454,0.000,226.684,-93.879,0.164
9,OFAV_SP_OEV3_P2.jpg,3.008E-4,197.533,0.566,226.537,5.906,0.324
10,OFAV_SP_OEV3_P2.jpg,1.200E-4,136.566,0.333,225.041,13.736,0.129
11,OFAV_SP_OEV3_P2.jpg,0.065,197.021,0.000,235.000,0.000,0.000
12,OFAV_SP_OEV3_P2.jpg,0.017,174.348,0.000,233.000,0.000,0.000
13,OFAV_SP_OEV3_P2.jpg,3.916E-4,157.486,0.333,222.504,-91.131,0.422
14,OFAV_SP_OEV3_P2.jpg,2.245E-4,169.601,99.556,210.061,-87.368,0.242
15,OFAV_SP_OEV3_P2.jpg,3.042E-4,178.830,1.413,224.716,7.787,0.328
16,OFAV_SP_OEV3_P2.jpg,1.191E-4,156.173,1.000,201.507,3.731,0.128
17,OFAV_SP_OEV3_P2.jpg,0.115,179.389,0.000,232.000,0.000,0.000
18,OFAV_SP_OEV3_P2.jpg,0.038,162.154,0.000,228.000,0.000,0.000
19,OFAV_SP_OEV3_P2.jpg,4.533E-4,174.118,0.199,216.852,-90.977,0.489
20,OFAV_SP_OEV3_P2.jpg,2.973E-4,131.418,0.604,212.472,-98.973,0.321
21,OFAV_SP_OEV3_P2.jpg,3.522E-4,173.013,0.125,228.000,16.579,0.380
22,OFAV_SP_OEV3_P2.jpg,1.697E-4,144.019,0.301,195.566,24.228,0.183
23,OFAV_SP_OEV3_P2.jpg,0.127,172.134,0.000,233.000,0.000,0.000
24,OFAV_SP_OEV3_P2.jpg,0.047,150.901,0.000,231.000,0.000,0.000
25,OFAV_SP_OEV3_P2.jpg,4.225E-4,157.986,0.000,217.667,-91.746,0.456
26,OFAV_SP_OEV3_P2.jpg,2.708E-4,134.456,0.714,205.924,-91.091,0.292
27,OFAV_SP_OEV3_P2.jpg,2.871E-4,176.633,1.046,228.667,11.915,0.309
28,OFAV_SP_OEV3_P2.jpg,1.722E-4,156.514,95.889,216.300,16.535,0.185
29,OFAV_SP_OEV3_P2.jpg,0.126,177.704,0.000,237.000,0.000,0.000
30,OFAV_SP_OEV3_P2.jpg,0.056,165.679,0.000,233.000,0.000,0.000
