 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_2AZ2.jpg,4.070E-4,179.909,88.991,223.277,-79.535,0.441
2,OFAV_SS_2AZ2.jpg,1.602E-4,173.328,13.119,212.454,-81.741,0.173
3,OFAV_SS_2AZ2.jpg,4.383E-4,166.607,0.360,218.211,22.543,0.476
4,OFAV_SS_2AZ2.jpg,2.179E-4,149.621,0.176,193.803,31.079,0.235
5,OFAV_SS_2AZ2.jpg,0.141,180.175,0.000,232.000,0.000,0.000
6,OFAV_SS_2AZ2.jpg,0.035,172.361,0.000,232.000,0.000,0.000
7,OFAV_SS_2AZ2.jpg,3.222E-4,208.641,154.002,232.797,-71.565,0.349
8,OFAV_SS_2AZ2.jpg,1.882E-4,135.755,0.219,218.333,-97.800,0.204
9,OFAV_SS_2AZ2.jpg,3.807E-4,184.608,0.333,227.333,7.696,0.413
10,OFAV_SS_2AZ2.jpg,1.696E-4,161.685,2.954,220.909,14.876,0.183
11,OFAV_SS_2AZ2.jpg,0.121,194.956,0.000,239.000,0.000,0.000
12,OFAV_SS_2AZ2.jpg,0.037,184.376,0.000,231.000,0.000,0.000
13,OFAV_SS_2AZ2.jpg,3.722E-4,193.613,107.361,218.913,-109.179,0.404
14,OFAV_SS_2AZ2.jpg,1.730E-4,151.294,0.003,209.757,-111.644,0.187
15,OFAV_SS_2AZ2.jpg,4.087E-4,184.589,0.586,213.384,-23.527,0.443
16,OFAV_SS_2AZ2.jpg,2.069E-4,141.953,0.000,208.037,2.121,0.224
17,OFAV_SS_2AZ2.jpg,0.135,193.258,0.000,222.000,0.000,0.000
18,OFAV_SS_2AZ2.jpg,0.035,176.996,0.000,220.000,0.000,0.000
19,OFAV_SS_2AZ2.jpg,3.078E-4,170.039,130.484,209.543,-88.418,0.333
20,OFAV_SS_2AZ2.jpg,1.670E-4,153.511,1.000,202.333,-90.000,0.180
21,OFAV_SS_2AZ2.jpg,3.748E-4,167.870,0.602,230.667,4.160,0.406
22,OFAV_SS_2AZ2.jpg,2.120E-4,155.540,3.534,225.000,5.528,0.229
23,OFAV_SS_2AZ2.jpg,0.102,180.115,0.000,231.000,0.000,0.000
24,OFAV_SS_2AZ2.jpg,0.042,169.732,0.000,231.000,0.000,0.000
25,OFAV_SS_2AZ2.jpg,3.383E-4,174.354,0.333,225.481,-84.806,0.366
26,OFAV_SS_2AZ2.jpg,1.687E-4,174.928,76.242,227.192,-89.421,0.182
27,OFAV_SS_2AZ2.jpg,3.697E-4,165.924,0.661,223.100,13.844,0.400
28,OFAV_SS_2AZ2.jpg,1.908E-4,171.859,109.714,219.161,18.759,0.206
29,OFAV_SS_2AZ2.jpg,0.125,185.522,0.000,232.000,0.000,0.000
30,OFAV_SS_2AZ2.jpg,0.041,176.888,0.000,232.000,0.000,0.000
