 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_2JQ31.jpg,3.667E-4,165.598,0.361,219.301,-80.800,0.397
2,OFAV_SS_2JQ31.jpg,2.304E-4,167.549,75.890,214.818,-86.186,0.249
3,OFAV_SS_2JQ31.jpg,3.481E-4,195.121,0.228,214.801,14.850,0.377
4,OFAV_SS_2JQ31.jpg,2.134E-4,166.094,0.450,216.439,11.712,0.231
5,OFAV_SS_2JQ31.jpg,0.133,177.808,0.000,227.000,0.000,0.000
6,OFAV_SS_2JQ31.jpg,0.051,154.279,0.000,224.000,0.000,0.000
7,OFAV_SS_2JQ31.jpg,3.735E-4,177.065,0.062,221.561,-84.912,0.405
8,OFAV_SS_2JQ31.jpg,2.355E-4,120.254,0.333,198.843,-85.030,0.255
9,OFAV_SS_2JQ31.jpg,3.261E-4,153.193,0.582,220.812,12.626,0.354
10,OFAV_SS_2JQ31.jpg,2.228E-4,128.282,76.558,208.922,13.241,0.241
11,OFAV_SS_2JQ31.jpg,0.142,168.485,0.000,226.000,0.000,0.000
12,OFAV_SS_2JQ31.jpg,0.064,142.200,0.000,223.000,0.000,0.000
13,OFAV_SS_2JQ31.jpg,3.862E-4,157.286,0.798,204.929,-95.297,0.419
14,OFAV_SS_2JQ31.jpg,2.549E-4,122.765,0.773,185.697,-89.427,0.276
15,OFAV_SS_2JQ31.jpg,4.006E-4,165.950,69.433,194.379,15.096,0.435
16,OFAV_SS_2JQ31.jpg,2.177E-4,128.646,1.056,177.068,16.314,0.236
17,OFAV_SS_2JQ31.jpg,0.128,161.500,0.000,218.000,0.000,0.000
18,OFAV_SS_2JQ31.jpg,0.055,134.630,0.000,218.000,0.000,0.000
19,OFAV_SS_2JQ31.jpg,3.888E-4,162.664,0.280,215.477,-68.477,0.421
20,OFAV_SS_2JQ31.jpg,2.278E-4,116.099,0.558,173.000,-84.226,0.247
21,OFAV_SS_2JQ31.jpg,2.956E-4,138.766,1.195,205.667,21.251,0.320
22,OFAV_SS_2JQ31.jpg,1.990E-4,127.781,82.333,185.408,15.642,0.215
23,OFAV_SS_2JQ31.jpg,0.105,157.626,0.000,220.000,0.000,0.000
24,OFAV_SS_2JQ31.jpg,0.055,135.930,0.000,220.000,0.000,0.000
25,OFAV_SS_2JQ31.jpg,3.989E-4,159.337,0.000,217.631,-95.492,0.433
26,OFAV_SS_2JQ31.jpg,2.177E-4,119.704,51.042,200.824,-94.708,0.235
27,OFAV_SS_2JQ31.jpg,4.057E-4,156.550,0.106,201.659,7.571,0.440
28,OFAV_SS_2JQ31.jpg,2.084E-4,149.712,82.859,214.315,7.734,0.226
29,OFAV_SS_2JQ31.jpg,0.141,168.907,0.000,228.000,0.000,0.000
30,OFAV_SS_2JQ31.jpg,0.056,147.828,0.000,228.000,0.000,0.000
