 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_3JQ1_P2.jpg,4.634E-4,114.587,28.190,205.560,-93.403,0.507
2,OFAV_SS_3JQ1_P2.jpg,3.070E-4,71.442,0.000,155.895,-99.386,0.336
3,OFAV_SS_3JQ1_P2.jpg,4.401E-4,123.253,0.627,193.614,10.480,0.481
4,OFAV_SS_3JQ1_P2.jpg,2.463E-4,94.518,0.415,151.000,17.146,0.269
5,OFAV_SS_3JQ1_P2.jpg,0.180,118.771,0.000,201.000,0.000,0.000
6,OFAV_SS_3JQ1_P2.jpg,0.078,106.748,0.000,192.000,0.000,0.000
7,OFAV_SS_3JQ1_P2.jpg,5.175E-4,101.311,34.287,148.333,-88.893,0.567
8,OFAV_SS_3JQ1_P2.jpg,3.603E-4,71.387,0.333,140.884,-91.989,0.394
9,OFAV_SS_3JQ1_P2.jpg,4.235E-4,112.306,0.357,155.000,-4.399,0.464
10,OFAV_SS_3JQ1_P2.jpg,2.563E-4,90.035,50.018,133.333,12.407,0.280
11,OFAV_SS_3JQ1_P2.jpg,0.216,105.720,0.000,177.000,0.000,0.000
12,OFAV_SS_3JQ1_P2.jpg,0.106,90.592,0.000,168.000,0.000,0.000
13,OFAV_SS_3JQ1_P2.jpg,2.671E-4,119.791,0.488,169.433,-89.284,0.292
14,OFAV_SS_3JQ1_P2.jpg,1.414E-4,88.923,0.681,135.707,-78.425,0.155
15,OFAV_SS_3JQ1_P2.jpg,2.538E-4,117.024,0.195,183.351,11.384,0.277
16,OFAV_SS_3JQ1_P2.jpg,1.622E-4,90.087,0.550,153.326,1.771,0.177
17,OFAV_SS_3JQ1_P2.jpg,0.054,124.219,0.000,195.000,0.000,0.000
18,OFAV_SS_3JQ1_P2.jpg,0.019,98.547,0.000,176.000,0.000,0.000
19,OFAV_SS_3JQ1_P2.jpg,4.776E-4,109.261,0.405,162.667,-87.198,0.522
20,OFAV_SS_3JQ1_P2.jpg,3.328E-4,70.592,0.519,123.701,-92.877,0.363
21,OFAV_SS_3JQ1_P2.jpg,3.727E-4,102.104,0.819,152.286,8.746,0.408
22,OFAV_SS_3JQ1_P2.jpg,2.305E-4,81.725,0.072,142.667,11.717,0.252
23,OFAV_SS_3JQ1_P2.jpg,0.182,107.625,0.000,186.000,0.000,0.000
24,OFAV_SS_3JQ1_P2.jpg,0.084,95.488,0.000,179.000,0.000,0.000
25,OFAV_SS_3JQ1_P2.jpg,4.618E-4,103.282,28.589,156.645,-106.144,0.505
26,OFAV_SS_3JQ1_P2.jpg,3.145E-4,91.140,0.333,173.667,-112.479,0.344
27,OFAV_SS_3JQ1_P2.jpg,3.445E-4,105.137,0.333,149.691,3.057,0.376
28,OFAV_SS_3JQ1_P2.jpg,1.839E-4,80.394,0.333,135.073,1.042,0.201
29,OFAV_SS_3JQ1_P2.jpg,0.166,112.618,0.000,189.000,0.000,0.000
30,OFAV_SS_3JQ1_P2.jpg,0.072,100.225,0.000,184.000,0.000,0.000
