 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_4243.jpg,3.072E-4,165.546,100.603,212.624,-85.203,0.420
2,OFAV_SS_4243.jpg,1.859E-4,116.433,0.288,182.333,-97.289,0.254
3,OFAV_SS_4243.jpg,3.254E-4,187.153,62.070,229.000,6.798,0.445
4,OFAV_SS_4243.jpg,1.539E-4,152.539,0.769,231.667,5.194,0.210
5,OFAV_SS_4243.jpg,0.139,187.452,0.000,243.000,0.000,0.000
6,OFAV_SS_4243.jpg,0.067,172.466,0.000,242.000,0.000,0.000
7,OFAV_SS_4243.jpg,3.083E-4,163.429,82.932,235.558,-91.392,0.421
8,OFAV_SS_4243.jpg,1.806E-4,110.934,1.047,172.000,-94.086,0.246
9,OFAV_SS_4243.jpg,3.163E-4,157.058,0.942,225.333,8.952,0.432
10,OFAV_SS_4243.jpg,1.859E-4,112.568,0.409,183.333,9.625,0.254
11,OFAV_SS_4243.jpg,0.138,170.528,0.000,241.000,0.000,0.000
12,OFAV_SS_4243.jpg,0.061,143.468,0.000,240.000,0.000,0.000
13,OFAV_SS_4243.jpg,2.987E-4,126.519,0.417,172.914,-91.027,0.408
14,OFAV_SS_4243.jpg,1.881E-4,91.077,0.544,159.190,-99.516,0.256
15,OFAV_SS_4243.jpg,2.624E-4,121.103,0.069,205.061,7.270,0.358
16,OFAV_SS_4243.jpg,1.635E-4,107.144,0.861,180.846,8.289,0.223
17,OFAV_SS_4243.jpg,0.100,137.868,0.000,211.000,0.000,0.000
18,OFAV_SS_4243.jpg,0.061,123.922,0.000,208.000,0.000,0.000
19,OFAV_SS_4243.jpg,1.886E-4,165.212,0.333,219.455,-92.927,0.258
20,OFAV_SS_4243.jpg,1.288E-4,132.097,0.008,172.000,-90.477,0.175
21,OFAV_SS_4243.jpg,1.843E-4,149.185,0.057,212.810,6.671,0.252
22,OFAV_SS_4243.jpg,1.021E-4,140.437,2.561,172.930,3.013,0.139
23,OFAV_SS_4243.jpg,0.051,167.878,0.000,224.000,0.000,0.000
24,OFAV_SS_4243.jpg,0.020,149.864,0.000,224.000,0.000,0.000
25,OFAV_SS_4243.jpg,2.912E-4,144.455,3.562,212.656,-52.162,0.398
26,OFAV_SS_4243.jpg,1.779E-4,109.913,75.325,152.438,-91.035,0.243
27,OFAV_SS_4243.jpg,2.586E-4,145.786,0.754,209.420,3.325,0.353
28,OFAV_SS_4243.jpg,1.859E-4,124.410,1.542,181.657,9.951,0.254
29,OFAV_SS_4243.jpg,0.121,150.143,0.000,230.000,0.000,0.000
30,OFAV_SS_4243.jpg,0.052,130.299,0.000,230.000,0.000,0.000
