 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_4DW11.jpg,2.836E-4,132.702,0.453,214.081,-80.707,0.308
2,OFAV_SS_4DW11.jpg,1.651E-4,126.888,69.642,211.000,-77.471,0.178
3,OFAV_SS_4DW11.jpg,2.337E-4,143.540,0.955,224.000,16.460,0.253
4,OFAV_SS_4DW11.jpg,1.685E-4,124.147,0.152,193.000,10.460,0.182
5,OFAV_SS_4DW11.jpg,0.069,167.834,0.000,228.000,0.000,0.000
6,OFAV_SS_4DW11.jpg,0.034,141.810,0.000,225.000,0.000,0.000
7,OFAV_SS_4DW11.jpg,2.591E-4,169.935,1.106,218.748,-61.164,0.280
8,OFAV_SS_4DW11.jpg,1.634E-4,152.322,0.445,215.759,-65.037,0.177
9,OFAV_SS_4DW11.jpg,2.768E-4,181.898,1.310,231.635,34.129,0.300
10,OFAV_SS_4DW11.jpg,1.524E-4,168.880,1.508,212.273,17.526,0.165
11,OFAV_SS_4DW11.jpg,0.063,191.555,0.000,238.000,0.000,0.000
12,OFAV_SS_4DW11.jpg,0.030,172.203,0.000,237.000,0.000,0.000
13,OFAV_SS_4DW11.jpg,2.895E-4,167.215,0.458,227.638,-83.938,0.314
14,OFAV_SS_4DW11.jpg,1.795E-4,133.543,1.537,199.667,-84.289,0.194
15,OFAV_SS_4DW11.jpg,3.022E-4,181.866,1.012,224.438,9.700,0.328
16,OFAV_SS_4DW11.jpg,1.719E-4,127.966,0.429,185.667,11.143,0.186
17,OFAV_SS_4DW11.jpg,0.070,183.230,0.000,237.000,0.000,0.000
18,OFAV_SS_4DW11.jpg,0.030,157.291,0.000,237.000,0.000,0.000
19,OFAV_SS_4DW11.jpg,2.946E-4,155.100,0.406,197.030,-77.525,0.319
20,OFAV_SS_4DW11.jpg,2.201E-4,107.437,1.162,182.333,-95.974,0.239
21,OFAV_SS_4DW11.jpg,3.327E-4,146.284,0.070,215.686,5.711,0.361
22,OFAV_SS_4DW11.jpg,1.761E-4,112.826,0.406,200.285,14.237,0.191
23,OFAV_SS_4DW11.jpg,0.073,151.775,0.000,214.000,0.000,0.000
24,OFAV_SS_4DW11.jpg,0.044,139.703,0.000,213.000,0.000,0.000
25,OFAV_SS_4DW11.jpg,2.836E-4,179.989,0.172,228.000,-98.785,0.307
26,OFAV_SS_4DW11.jpg,1.685E-4,147.083,3.032E-13,217.591,-90.868,0.182
27,OFAV_SS_4DW11.jpg,2.481E-4,188.594,0.410,226.667,12.465,0.269
28,OFAV_SS_4DW11.jpg,1.355E-4,167.063,0.000,218.277,-1.081,0.146
29,OFAV_SS_4DW11.jpg,0.063,198.453,0.000,229.000,0.000,0.000
30,OFAV_SS_4DW11.jpg,0.026,184.019,0.000,229.000,0.000,0.000
