 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_9AZ81_P1.JPG,3.986E-4,191.412,120.496,229.634,-86.214,0.403
2,OFAV_SS_9AZ81_P1.JPG,2.324E-4,164.684,120.951,199.613,-106.837,0.235
3,OFAV_SS_9AZ81_P1.JPG,3.442E-4,186.782,0.058,217.943,9.302,0.348
4,OFAV_SS_9AZ81_P1.JPG,2.081E-4,152.739,0.000,210.333,3.225,0.210
5,OFAV_SS_9AZ81_P1.JPG,0.145,199.562,0.000,236.000,0.000,0.000
6,OFAV_SS_9AZ81_P1.JPG,0.048,174.518,0.000,229.000,0.000,0.000
7,OFAV_SS_9AZ81_P1.JPG,3.063E-4,179.681,31.573,221.532,-96.582,0.310
8,OFAV_SS_9AZ81_P1.JPG,2.324E-4,150.289,0.049,210.600,-103.861,0.235
9,OFAV_SS_9AZ81_P1.JPG,2.985E-4,176.142,1.814,227.931,2.806,0.302
10,OFAV_SS_9AZ81_P1.JPG,2.139E-4,165.248,1.037,211.927,2.353,0.216
11,OFAV_SS_9AZ81_P1.JPG,0.067,180.560,0.000,232.000,0.000,0.000
12,OFAV_SS_9AZ81_P1.JPG,0.045,160.966,0.000,226.000,0.000,0.000
13,OFAV_SS_9AZ81_P1.JPG,3.607E-4,163.522,0.138,219.667,-93.721,0.365
14,OFAV_SS_9AZ81_P1.JPG,2.674E-4,172.385,98.376,208.522,-102.665,0.270
15,OFAV_SS_9AZ81_P1.JPG,3.529E-4,174.136,0.281,206.396,6.654,0.357
16,OFAV_SS_9AZ81_P1.JPG,2.314E-4,157.088,1.667,204.626,9.462,0.234
17,OFAV_SS_9AZ81_P1.JPG,0.104,174.329,0.000,233.000,0.000,0.000
18,OFAV_SS_9AZ81_P1.JPG,0.047,155.162,0.000,214.000,0.000,0.000
19,OFAV_SS_9AZ81_P1.JPG,3.627E-4,138.023,0.000,217.690,-98.348,0.367
20,OFAV_SS_9AZ81_P1.JPG,2.664E-4,160.718,81.165,214.965,-104.850,0.269
21,OFAV_SS_9AZ81_P1.JPG,4.414E-4,161.493,0.205,206.907,8.130,0.446
22,OFAV_SS_9AZ81_P1.JPG,2.761E-4,147.978,0.303,204.667,10.595,0.279
23,OFAV_SS_9AZ81_P1.JPG,0.117,173.238,0.000,237.000,0.000,0.000
24,OFAV_SS_9AZ81_P1.JPG,0.060,158.728,0.000,215.000,0.000,0.000
25,OFAV_SS_9AZ81_P1.JPG,3.199E-4,173.963,0.000,216.823,-91.572,0.324
26,OFAV_SS_9AZ81_P1.JPG,2.411E-4,159.070,0.156,204.667,-97.211,0.244
27,OFAV_SS_9AZ81_P1.JPG,4.064E-4,168.916,0.218,210.843,3.027,0.411
28,OFAV_SS_9AZ81_P1.JPG,2.402E-4,185.479,1.079,209.000,2.560,0.243
29,OFAV_SS_9AZ81_P1.JPG,0.108,187.460,0.000,239.000,0.000,0.000
30,OFAV_SS_9AZ81_P1.JPG,0.051,172.842,0.000,223.000,0.000,0.000
