 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_9DW37_P2.jpg,3.265E-4,175.809,84.114,229.937,-102.284,0.352
2,OFAV_SS_9DW37_P2.jpg,2.000E-4,149.314,107.210,222.708,-117.553,0.216
3,OFAV_SS_9DW37_P2.jpg,3.752E-4,171.734,110.685,215.986,1.569,0.405
4,OFAV_SS_9DW37_P2.jpg,2.034E-4,153.114,110.667,188.667,-1.450,0.219
5,OFAV_SS_9DW37_P2.jpg,0.104,185.925,76.000,230.000,0.000,0.000
6,OFAV_SS_9DW37_P2.jpg,0.038,165.417,76.000,228.000,0.000,0.000
7,OFAV_SS_9DW37_P2.jpg,3.615E-4,134.584,66.039,170.943,-95.711,0.390
8,OFAV_SS_9DW37_P2.jpg,2.154E-4,114.826,65.453,147.793,-109.516,0.232
9,OFAV_SS_9DW37_P2.jpg,3.573E-4,138.386,86.000,180.667,0.000,0.386
10,OFAV_SS_9DW37_P2.jpg,2.111E-4,125.698,73.333,188.333,0.000,0.227
11,OFAV_SS_9DW37_P2.jpg,0.115,141.973,38.000,197.000,0.000,0.000
12,OFAV_SS_9DW37_P2.jpg,0.039,123.150,38.000,190.000,0.000,0.000
13,OFAV_SS_9DW37_P2.jpg,4.231E-4,166.034,106.325,216.000,-89.072,0.457
14,OFAV_SS_9DW37_P2.jpg,2.581E-4,151.890,96.966,187.667,-94.574,0.278
15,OFAV_SS_9DW37_P2.jpg,3.880E-4,166.229,84.360,210.013,8.130,0.418
16,OFAV_SS_9DW37_P2.jpg,2.359E-4,156.296,92.190,200.300,5.006,0.254
17,OFAV_SS_9DW37_P2.jpg,0.156,177.225,65.000,219.000,0.000,0.000
18,OFAV_SS_9DW37_P2.jpg,0.053,151.947,65.000,214.000,0.000,0.000
19,OFAV_SS_9DW37_P2.jpg,3.188E-4,162.328,87.000,196.000,-91.540,0.344
20,OFAV_SS_9DW37_P2.jpg,2.137E-4,138.519,104.348,188.982,-101.129,0.230
21,OFAV_SS_9DW37_P2.jpg,3.709E-4,161.048,85.451,204.158,-6.895,0.400
22,OFAV_SS_9DW37_P2.jpg,2.068E-4,152.393,110.191,188.455,-13.921,0.223
23,OFAV_SS_9DW37_P2.jpg,0.107,165.664,39.000,214.000,0.000,0.000
24,OFAV_SS_9DW37_P2.jpg,0.046,150.784,81.000,205.000,0.000,0.000
