 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_9EV2.jpg,2.206E-4,180.254,31.092,221.263,-86.241,0.301
2,OFAV_SS_9EV2.jpg,1.282E-4,156.300,75.775,216.176,-83.501,0.174
3,OFAV_SS_9EV2.jpg,2.121E-4,174.548,78.013,216.167,9.605,0.289
4,OFAV_SS_9EV2.jpg,9.295E-5,148.821,73.850,190.996,7.989,0.126
5,OFAV_SS_9EV2.jpg,0.071,188.636,0.000,227.000,0.000,0.000
6,OFAV_SS_9EV2.jpg,0.032,172.321,0.000,227.000,0.000,0.000
7,OFAV_SS_9EV2.jpg,2.585E-4,174.149,0.050,219.861,-88.221,0.353
8,OFAV_SS_9EV2.jpg,1.314E-4,173.070,110.365,206.808,-82.962,0.179
9,OFAV_SS_9EV2.jpg,2.083E-4,182.533,3.126,215.333,8.881,0.284
10,OFAV_SS_9EV2.jpg,1.229E-4,157.067,2.282,206.333,4.514,0.167
11,OFAV_SS_9EV2.jpg,0.076,191.563,0.000,227.000,0.000,0.000
12,OFAV_SS_9EV2.jpg,0.026,167.622,0.000,224.000,0.000,0.000
13,OFAV_SS_9EV2.jpg,2.254E-4,165.022,0.105,215.667,-100.268,0.308
14,OFAV_SS_9EV2.jpg,1.416E-4,136.240,0.909,184.333,-91.302,0.193
15,OFAV_SS_9EV2.jpg,2.238E-4,173.314,2.207,215.750,-4.525,0.306
16,OFAV_SS_9EV2.jpg,1.250E-4,149.329,93.504,199.000,6.667,0.170
17,OFAV_SS_9EV2.jpg,0.072,171.849,0.000,222.000,0.000,0.000
18,OFAV_SS_9EV2.jpg,0.033,148.350,0.000,214.000,0.000,0.000
19,OFAV_SS_9EV2.jpg,2.340E-4,135.390,73.996,190.204,-81.314,0.319
20,OFAV_SS_9EV2.jpg,1.368E-4,102.505,46.460,166.667,-74.982,0.186
21,OFAV_SS_9EV2.jpg,1.854E-4,126.733,51.292,187.036,4.970,0.253
22,OFAV_SS_9EV2.jpg,1.149E-4,79.232,0.333,133.667,4.830,0.156
23,OFAV_SS_9EV2.jpg,0.073,141.306,0.000,213.000,0.000,0.000
24,OFAV_SS_9EV2.jpg,0.035,120.470,0.000,213.000,0.000,0.000
25,OFAV_SS_9EV2.jpg,2.826E-4,137.349,73.667,203.583,-81.839,0.386
26,OFAV_SS_9EV2.jpg,1.704E-4,120.346,75.768,181.333,-94.509,0.232
27,OFAV_SS_9EV2.jpg,2.457E-4,150.420,70.892,190.336,12.583,0.335
28,OFAV_SS_9EV2.jpg,1.560E-4,132.886,73.865,180.595,10.305,0.212
29,OFAV_SS_9EV2.jpg,0.095,155.069,0.000,208.000,0.000,0.000
30,OFAV_SS_9EV2.jpg,0.037,128.668,0.000,206.000,0.000,0.000
