 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_9EV2_P1.JPG,4.403E-4,171.108,132.498,198.333,-92.411,0.409
2,OFAV_SS_9EV2_P1.JPG,2.381E-4,146.796,0.246,199.791,-108.789,0.220
3,OFAV_SS_9EV2_P1.JPG,3.930E-4,158.398,0.655,198.457,3.386,0.364
4,OFAV_SS_9EV2_P1.JPG,2.196E-4,155.632,110.595,189.201,4.259,0.203
5,OFAV_SS_9EV2_P1.JPG,0.102,172.119,0.000,222.000,0.000,0.000
6,OFAV_SS_9EV2_P1.JPG,0.045,157.315,0.000,222.000,0.000,0.000
7,OFAV_SS_9EV2_P1.JPG,4.508E-4,175.654,0.069,212.429,-97.088,0.418
8,OFAV_SS_9EV2_P1.JPG,2.323E-4,161.462,1.987,203.000,-92.291,0.215
9,OFAV_SS_9EV2_P1.JPG,3.282E-4,187.579,1.812,211.069,4.461,0.304
10,OFAV_SS_9EV2_P1.JPG,2.046E-4,175.512,119.500,206.553,3.900,0.190
11,OFAV_SS_9EV2_P1.JPG,0.108,188.445,0.000,232.000,0.000,0.000
12,OFAV_SS_9EV2_P1.JPG,0.039,171.738,0.000,220.000,0.000,0.000
13,OFAV_SS_9EV2_P1.JPG,3.571E-4,169.543,1.127,203.744,-80.660,0.331
14,OFAV_SS_9EV2_P1.JPG,2.196E-4,169.528,104.526,202.226,-85.135,0.203
15,OFAV_SS_9EV2_P1.JPG,3.167E-4,168.878,0.622,200.679,5.042,0.294
16,OFAV_SS_9EV2_P1.JPG,1.930E-4,165.953,114.104,197.402,2.759,0.179
17,OFAV_SS_9EV2_P1.JPG,0.062,173.159,0.000,212.000,0.000,0.000
18,OFAV_SS_9EV2_P1.JPG,0.032,157.292,0.000,206.000,0.000,0.000
19,OFAV_SS_9EV2_P1.JPG,3.987E-4,135.817,0.578,200.333,-89.334,0.370
20,OFAV_SS_9EV2_P1.JPG,2.508E-4,133.819,0.765,186.667,-92.121,0.232
21,OFAV_SS_9EV2_P1.JPG,2.993E-4,161.861,0.171,190.432,10.701,0.278
22,OFAV_SS_9EV2_P1.JPG,1.953E-4,145.360,0.286,189.381,4.086,0.181
23,OFAV_SS_9EV2_P1.JPG,0.088,171.392,0.000,208.000,0.000,0.000
24,OFAV_SS_9EV2_P1.JPG,0.038,154.941,0.000,199.000,0.000,0.000
25,OFAV_SS_9EV2_P1.JPG,3.675E-4,156.999,0.296,198.864,-99.254,0.341
26,OFAV_SS_9EV2_P1.JPG,2.450E-4,178.356,114.241,206.790,-96.520,0.227
27,OFAV_SS_9EV2_P1.JPG,3.074E-4,183.696,0.236,205.708,1.729,0.285
28,OFAV_SS_9EV2_P1.JPG,2.173E-4,139.583,0.000,210.333,0.000,0.201
29,OFAV_SS_9EV2_P1.JPG,0.095,185.267,0.000,232.000,0.000,0.000
30,OFAV_SS_9EV2_P1.JPG,0.036,163.694,0.000,216.000,0.000,0.000
