 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_ODW46.jpg,3.585E-4,160.426,70.425,213.217,-93.209,0.391
2,OFAV_SS_ODW46.jpg,2.109E-4,98.610,0.021,167.830,-100.061,0.230
3,OFAV_SS_ODW46.jpg,4.077E-4,149.396,0.333,212.230,2.347,0.446
4,OFAV_SS_ODW46.jpg,1.976E-4,115.350,0.006,208.667,6.823,0.215
5,OFAV_SS_ODW46.jpg,0.137,162.123,0.000,221.000,0.000,0.000
6,OFAV_SS_ODW46.jpg,0.048,145.460,0.000,221.000,0.000,0.000
7,OFAV_SS_ODW46.jpg,3.785E-4,172.005,0.106,231.447,-93.545,0.413
8,OFAV_SS_ODW46.jpg,2.276E-4,158.400,1.156,209.517,-97.595,0.249
9,OFAV_SS_ODW46.jpg,4.177E-4,186.688,1.947,232.851,1.375,0.457
10,OFAV_SS_ODW46.jpg,2.493E-4,143.903,80.507,223.000,8.893,0.272
11,OFAV_SS_ODW46.jpg,0.141,187.899,0.000,245.000,0.000,0.000
12,OFAV_SS_ODW46.jpg,0.058,164.892,0.000,245.000,0.000,0.000
13,OFAV_SS_ODW46.jpg,3.185E-4,166.045,79.253,201.000,-77.276,0.348
14,OFAV_SS_ODW46.jpg,1.717E-4,142.204,0.955,177.976,-101.802,0.187
15,OFAV_SS_ODW46.jpg,4.360E-4,161.047,0.140,198.837,5.940,0.476
16,OFAV_SS_ODW46.jpg,2.334E-4,141.273,0.046,175.871,11.793,0.255
17,OFAV_SS_ODW46.jpg,0.136,169.316,0.000,206.000,0.000,0.000
18,OFAV_SS_ODW46.jpg,0.039,156.820,0.000,205.000,0.000,0.000
19,OFAV_SS_ODW46.jpg,3.685E-4,171.140,0.651,211.714,-92.726,0.403
20,OFAV_SS_ODW46.jpg,2.159E-4,122.959,0.876,199.841,-93.327,0.236
21,OFAV_SS_ODW46.jpg,4.243E-4,163.185,0.385,217.691,17.899,0.463
22,OFAV_SS_ODW46.jpg,2.268E-4,144.586,0.118,216.301,15.422,0.247
23,OFAV_SS_ODW46.jpg,0.131,165.386,0.000,230.000,0.000,0.000
24,OFAV_SS_ODW46.jpg,0.052,147.880,0.000,230.000,0.000,0.000
25,OFAV_SS_ODW46.jpg,3.393E-4,140.717,49.730,194.514,-97.791,0.370
26,OFAV_SS_ODW46.jpg,2.151E-4,95.515,0.000,159.277,-102.360,0.235
27,OFAV_SS_ODW46.jpg,3.585E-4,127.558,0.488,190.336,11.022,0.392
28,OFAV_SS_ODW46.jpg,2.201E-4,121.424,1.336,182.127,15.676,0.240
29,OFAV_SS_ODW46.jpg,0.107,146.656,0.000,208.000,0.000,0.000
30,OFAV_SS_ODW46.jpg,0.046,130.661,0.000,207.000,0.000,0.000
