 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFAV_SS_OEV3.jpg,2.765E-4,212.833,132.727,241.333,-83.251,0.375
2,OFAV_SS_OEV3.jpg,1.393E-4,190.956,102.221,238.144,-96.710,0.189
3,OFAV_SS_OEV3.jpg,2.322E-4,189.267,0.000,241.897,7.224,0.316
4,OFAV_SS_OEV3.jpg,1.496E-4,197.045,0.138,236.442,8.746,0.203
5,OFAV_SS_OEV3.jpg,0.079,210.330,0.000,251.000,0.000,0.000
6,OFAV_SS_OEV3.jpg,0.036,190.886,0.000,243.000,0.000,0.000
7,OFAV_SS_OEV3.jpg,2.295E-4,151.804,0.739,235.965,-85.943,0.312
8,OFAV_SS_OEV3.jpg,1.561E-4,138.918,0.302,232.632,-89.403,0.212
9,OFAV_SS_OEV3.jpg,2.614E-4,158.401,2.733,214.994,6.419,0.355
10,OFAV_SS_OEV3.jpg,1.636E-4,134.358,2.175,220.000,6.843,0.222
11,OFAV_SS_OEV3.jpg,0.089,181.247,0.000,242.000,0.000,0.000
12,OFAV_SS_OEV3.jpg,0.036,151.588,0.000,238.000,0.000,0.000
13,OFAV_SS_OEV3.jpg,2.705E-4,149.177,0.031,225.168,-67.433,0.368
14,OFAV_SS_OEV3.jpg,1.501E-4,94.309,0.672,196.442,-79.177,0.203
15,OFAV_SS_OEV3.jpg,2.381E-4,156.282,0.239,226.248,30.294,0.323
16,OFAV_SS_OEV3.jpg,1.409E-4,117.911,0.341,172.830,21.638,0.191
17,OFAV_SS_OEV3.jpg,0.095,172.264,0.000,240.000,0.000,0.000
18,OFAV_SS_OEV3.jpg,0.037,138.337,0.000,219.000,0.000,0.000
19,OFAV_SS_OEV3.jpg,2.311E-4,159.114,0.444,214.678,-85.704,0.314
20,OFAV_SS_OEV3.jpg,1.598E-4,120.660,1.363,200.002,-94.279,0.217
21,OFAV_SS_OEV3.jpg,2.387E-4,152.863,0.224,204.683,2.992,0.324
22,OFAV_SS_OEV3.jpg,1.463E-4,128.251,0.175,181.719,-1.697,0.198
23,OFAV_SS_OEV3.jpg,0.074,165.645,0.000,227.000,0.000,0.000
24,OFAV_SS_OEV3.jpg,0.038,144.945,0.000,216.000,0.000,0.000
25,OFAV_SS_OEV3.jpg,2.446E-4,163.076,92.897,203.991,-85.300,0.332
26,OFAV_SS_OEV3.jpg,1.345E-4,130.105,0.683,199.000,-88.614,0.182
27,OFAV_SS_OEV3.jpg,2.209E-4,163.967,0.164,221.338,6.480,0.300
28,OFAV_SS_OEV3.jpg,1.269E-4,126.937,0.520,181.333,13.086,0.172
29,OFAV_SS_OEV3.jpg,0.069,177.790,0.000,238.000,0.000,0.000
30,OFAV_SS_OEV3.jpg,0.029,152.390,0.000,235.000,0.000,0.000
