 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_2673_P1.jpg,3.981E-4,184.286,120.537,208.976,-85.790,0.442
2,OFRA_PP_2673_P1.jpg,2.911E-4,154.553,93.938,188.922,-86.634,0.322
3,OFRA_PP_2673_P1.jpg,4.094E-4,163.005,0.333,210.333,2.045,0.454
4,OFRA_PP_2673_P1.jpg,2.513E-4,148.083,0.333,185.000,0.000,0.278
5,OFRA_PP_2673_P1.jpg,0.167,176.269,0.000,227.000,0.000,0.000
6,OFRA_PP_2673_P1.jpg,0.085,164.128,0.000,217.000,0.000,0.000
7,OFRA_PP_2673_P1.jpg,4.427E-4,164.758,0.055,211.871,-103.042,0.491
8,OFRA_PP_2673_P1.jpg,3.000E-4,151.205,89.094,200.146,-113.443,0.333
9,OFRA_PP_2673_P1.jpg,3.957E-4,150.682,0.312,187.973,-3.884,0.439
10,OFRA_PP_2673_P1.jpg,2.765E-4,151.024,90.680,195.000,5.057,0.306
11,OFRA_PP_2673_P1.jpg,0.160,170.027,0.000,221.000,0.000,0.000
12,OFRA_PP_2673_P1.jpg,0.091,164.134,0.000,220.000,0.000,0.000
13,OFRA_PP_2673_P1.jpg,3.786E-4,145.583,0.071,204.612,-87.045,0.419
14,OFRA_PP_2673_P1.jpg,2.797E-4,158.901,112.680,190.826,-102.095,0.309
15,OFRA_PP_2673_P1.jpg,3.827E-4,172.539,0.278,210.001,6.219,0.424
16,OFRA_PP_2673_P1.jpg,2.692E-4,145.309,100.743,199.000,8.865,0.298
17,OFRA_PP_2673_P1.jpg,0.155,159.978,0.000,216.000,0.000,0.000
18,OFRA_PP_2673_P1.jpg,0.096,150.045,0.000,212.000,0.000,0.000
19,OFRA_PP_2673_P1.jpg,4.086E-4,157.140,0.333,196.760,-86.580,0.453
20,OFRA_PP_2673_P1.jpg,2.732E-4,127.555,0.000,191.821,-98.902,0.303
21,OFRA_PP_2673_P1.jpg,3.746E-4,161.155,0.000,201.820,-2.738,0.415
22,OFRA_PP_2673_P1.jpg,2.197E-4,129.441,0.022,184.956,2.968,0.243
23,OFRA_PP_2673_P1.jpg,0.150,167.853,0.000,216.000,0.000,0.000
24,OFRA_PP_2673_P1.jpg,0.071,155.530,0.000,211.000,0.000,0.000
25,OFRA_PP_2673_P1.jpg,3.300E-4,115.803,0.057,173.880,-88.589,0.366
26,OFRA_PP_2673_P1.jpg,2.011E-4,87.643,0.009,155.886,-107.409,0.223
27,OFRA_PP_2673_P1.jpg,2.667E-4,133.492,0.000,175.228,2.793,0.296
28,OFRA_PP_2673_P1.jpg,1.467E-4,112.411,0.366,180.280,11.560,0.162
29,OFRA_PP_2673_P1.jpg,0.093,138.243,0.000,190.000,0.000,0.000
30,OFRA_PP_2673_P1.jpg,0.034,121.742,0.000,189.000,0.000,0.000
