 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_26T7_P2.jpg,3.440E-4,163.953,3.333,205.221,-89.303,0.475
2,OFRA_PP_26T7_P2.jpg,1.890E-4,145.078,96.788,194.239,-86.503,0.261
3,OFRA_PP_26T7_P2.jpg,3.048E-4,149.719,0.787,181.505,3.736,0.421
4,OFRA_PP_26T7_P2.jpg,1.968E-4,135.745,0.333,189.184,-0.610,0.272
5,OFRA_PP_26T7_P2.jpg,0.137,162.150,0.000,223.000,0.000,0.000
6,OFRA_PP_26T7_P2.jpg,0.064,151.167,0.000,213.000,0.000,0.000
7,OFRA_PP_26T7_P2.jpg,3.132E-4,127.275,0.085,186.394,-74.711,0.433
8,OFRA_PP_26T7_P2.jpg,1.999E-4,97.938,0.013,150.314,-100.251,0.276
9,OFRA_PP_26T7_P2.jpg,2.887E-4,138.806,62.386,185.333,-8.746,0.399
10,OFRA_PP_26T7_P2.jpg,2.104E-4,116.105,3.423,183.483,0.855,0.290
11,OFRA_PP_26T7_P2.jpg,0.130,144.563,0.000,198.000,0.000,0.000
12,OFRA_PP_26T7_P2.jpg,0.062,124.618,0.000,194.000,0.000,0.000
13,OFRA_PP_26T7_P2.jpg,2.996E-4,153.320,0.340,187.072,-72.956,0.414
14,OFRA_PP_26T7_P2.jpg,1.895E-4,97.787,0.059,161.567,-90.317,0.262
15,OFRA_PP_26T7_P2.jpg,2.965E-4,154.695,78.805,196.817,3.236,0.410
16,OFRA_PP_26T7_P2.jpg,1.738E-4,115.554,1.719,160.917,21.161,0.240
17,OFRA_PP_26T7_P2.jpg,0.133,152.284,0.000,205.000,0.000,0.000
18,OFRA_PP_26T7_P2.jpg,0.059,137.148,0.000,205.000,0.000,0.000
19,OFRA_PP_26T7_P2.jpg,2.918E-4,140.121,0.061,184.333,-94.525,0.403
20,OFRA_PP_26T7_P2.jpg,1.957E-4,129.906,1.221,168.867,-109.016,0.271
21,OFRA_PP_26T7_P2.jpg,2.923E-4,139.426,0.583,184.973,-5.547,0.404
22,OFRA_PP_26T7_P2.jpg,1.994E-4,115.252,0.000,166.910,13.671,0.275
23,OFRA_PP_26T7_P2.jpg,0.112,147.257,0.000,202.000,0.000,0.000
24,OFRA_PP_26T7_P2.jpg,0.059,135.317,0.000,198.000,0.000,0.000
25,OFRA_PP_26T7_P2.jpg,3.153E-4,138.747,0.030,183.000,-90.855,0.436
26,OFRA_PP_26T7_P2.jpg,2.151E-4,104.450,67.723,162.723,-90.418,0.297
27,OFRA_PP_26T7_P2.jpg,2.756E-4,150.591,2.736,191.311,-5.224,0.381
28,OFRA_PP_26T7_P2.jpg,1.707E-4,87.514,0.229,137.608,16.598,0.235
29,OFRA_PP_26T7_P2.jpg,0.138,140.443,0.000,203.000,0.000,0.000
30,OFRA_PP_26T7_P2.jpg,0.061,115.459,0.000,203.000,0.000,0.000
