 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_2CX12_P1.jpg,4.518E-4,131.406,62.766,202.777,-95.163,0.475
2,OFRA_PP_2CX12_P1.jpg,3.030E-4,98.632,45.554,152.849,-108.273,0.318
3,OFRA_PP_2CX12_P1.jpg,3.679E-4,127.639,37.143,193.962,14.959,0.386
4,OFRA_PP_2CX12_P1.jpg,3.039E-4,127.424,56.145,193.500,-97.696,0.319
5,OFRA_PP_2CX12_P1.jpg,0.144,144.992,21.000,213.000,0.000,0.000
6,OFRA_PP_2CX12_P1.jpg,0.072,128.768,21.000,213.000,0.000,0.000
7,OFRA_PP_2CX12_P1.jpg,4.328E-4,114.151,61.417,172.468,-110.136,0.455
8,OFRA_PP_2CX12_P1.jpg,2.822E-4,91.572,37.432,151.667,-109.654,0.296
9,OFRA_PP_2CX12_P1.jpg,4.121E-4,129.745,44.304,176.351,13.305,0.433
10,OFRA_PP_2CX12_P1.jpg,3.174E-4,111.525,44.000,166.000,0.000,0.333
11,OFRA_PP_2CX12_P1.jpg,0.160,131.780,25.000,192.000,0.000,0.000
12,OFRA_PP_2CX12_P1.jpg,0.079,114.985,25.000,188.000,0.000,0.000
13,OFRA_PP_2CX12_P1.jpg,3.932E-4,151.502,63.972,201.975,-99.527,0.413
14,OFRA_PP_2CX12_P1.jpg,2.904E-4,131.249,82.712,185.412,-101.310,0.305
15,OFRA_PP_2CX12_P1.jpg,3.914E-4,138.917,81.221,174.218,4.764,0.412
16,OFRA_PP_2CX12_P1.jpg,2.363E-4,136.742,76.494,191.678,0.659,0.248
17,OFRA_PP_2CX12_P1.jpg,0.146,155.926,48.000,219.000,0.000,0.000
18,OFRA_PP_2CX12_P1.jpg,0.072,147.184,48.000,216.000,0.000,0.000
19,OFRA_PP_2CX12_P1.jpg,4.094E-4,102.500,25.088,186.120,-106.154,0.430
20,OFRA_PP_2CX12_P1.jpg,2.849E-4,101.925,60.684,152.971,-106.020,0.299
21,OFRA_PP_2CX12_P1.jpg,4.229E-4,117.665,32.255,175.000,9.221,0.444
22,OFRA_PP_2CX12_P1.jpg,1.975E-4,108.649,40.247,177.969,7.907,0.207
23,OFRA_PP_2CX12_P1.jpg,0.128,121.002,20.000,193.000,0.000,0.000
24,OFRA_PP_2CX12_P1.jpg,0.117,118.354,20.000,193.000,0.000,0.000
25,OFRA_PP_2CX12_P1.jpg,4.274E-4,149.266,59.775,196.775,-84.181,0.450
26,OFRA_PP_2CX12_P1.jpg,2.967E-4,121.833,83.305,162.421,-93.674,0.311
27,OFRA_PP_2CX12_P1.jpg,3.959E-4,158.134,47.479,203.000,0.785,0.416
28,OFRA_PP_2CX12_P1.jpg,1.767E-4,133.820,55.487,197.287,0.881,0.185
29,OFRA_PP_2CX12_P1.jpg,0.151,161.412,44.000,208.000,0.000,0.000
30,OFRA_PP_2CX12_P1.jpg,0.062,148.073,44.000,207.000,0.000,0.000
