 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_26T7_P2.jpg,3.590E-4,159.236,0.868,201.000,-89.751,0.497
2,OFRA_PP_26T7_P2.jpg,2.115E-4,138.146,2.088,176.025,-98.070,0.293
3,OFRA_PP_26T7_P2.jpg,3.263E-4,155.864,104.703,181.689,5.219,0.452
4,OFRA_PP_26T7_P2.jpg,1.938E-4,154.117,0.000,190.817,2.770,0.268
5,OFRA_PP_26T7_P2.jpg,0.168,167.040,0.000,229.000,0.000,0.000
6,OFRA_PP_26T7_P2.jpg,0.062,150.150,0.000,207.000,0.000,0.000
7,OFRA_PP_26T7_P2.jpg,2.925E-4,148.570,0.188,186.916,-93.977,0.405
8,OFRA_PP_26T7_P2.jpg,1.969E-4,120.230,1.571,167.000,-91.364,0.273
9,OFRA_PP_26T7_P2.jpg,2.816E-4,133.469,0.552,172.667,-2.862,0.390
10,OFRA_PP_26T7_P2.jpg,1.902E-4,127.924,1.847,161.867,9.926,0.263
11,OFRA_PP_26T7_P2.jpg,0.135,149.318,0.000,202.000,0.000,0.000
12,OFRA_PP_26T7_P2.jpg,0.061,136.239,0.000,198.000,0.000,0.000
13,OFRA_PP_26T7_P2.jpg,3.128E-4,155.419,87.768,186.754,-73.374,0.433
14,OFRA_PP_26T7_P2.jpg,1.980E-4,116.155,78.509,178.298,-87.589,0.274
15,OFRA_PP_26T7_P2.jpg,3.247E-4,145.528,75.160,178.013,-0.367,0.450
16,OFRA_PP_26T7_P2.jpg,1.730E-4,133.938,0.446,179.409,9.009,0.239
17,OFRA_PP_26T7_P2.jpg,0.146,153.261,0.000,205.000,0.000,0.000
18,OFRA_PP_26T7_P2.jpg,0.061,137.395,0.000,205.000,0.000,0.000
19,OFRA_PP_26T7_P2.jpg,3.289E-4,120.272,0.477,186.523,-90.725,0.456
20,OFRA_PP_26T7_P2.jpg,2.271E-4,99.666,0.661,158.572,-91.577,0.314
21,OFRA_PP_26T7_P2.jpg,3.227E-4,131.103,0.376,177.932,6.299,0.447
22,OFRA_PP_26T7_P2.jpg,1.850E-4,99.355,52.105,159.303,11.056,0.256
23,OFRA_PP_26T7_P2.jpg,0.161,143.758,0.000,203.000,0.000,0.000
24,OFRA_PP_26T7_P2.jpg,0.063,117.008,0.000,203.000,0.000,0.000
25,OFRA_PP_26T7_P2.jpg,2.842E-4,150.547,0.703,187.314,-104.850,0.394
26,OFRA_PP_26T7_P2.jpg,1.985E-4,135.160,0.153,186.830,-94.814,0.275
27,OFRA_PP_26T7_P2.jpg,2.676E-4,160.542,102.667,188.881,4.912,0.370
28,OFRA_PP_26T7_P2.jpg,1.834E-4,136.954,0.979,178.934,8.499,0.254
29,OFRA_PP_26T7_P2.jpg,0.132,151.056,0.000,212.000,0.000,0.000
30,OFRA_PP_26T7_P2.jpg,0.068,144.197,0.000,212.000,0.000,0.000
