 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_2HS27.jpg,0.002,98.410,0.373,166.682,-86.386,0.779
2,OFRA_PP_2HS27.jpg,0.001,106.593,55.244,145.398,-90.855,0.549
3,OFRA_PP_2HS27.jpg,0.002,106.695,0.013,164.000,2.182,0.860
4,OFRA_PP_2HS27.jpg,0.001,89.764,0.320,135.667,0.774,0.606
5,OFRA_PP_2HS27.jpg,0.660,125.562,0.000,185.000,0.000,0.000
6,OFRA_PP_2HS27.jpg,0.301,100.023,0.000,174.000,0.000,0.000
7,OFRA_PP_2HS27.jpg,0.002,98.724,0.084,178.333,-82.569,0.760
8,OFRA_PP_2HS27.jpg,0.001,100.649,57.854,162.000,-86.424,0.525
9,OFRA_PP_2HS27.jpg,0.002,116.594,0.350,171.219,2.921,0.803
10,OFRA_PP_2HS27.jpg,9.970E-4,67.779,0.105,118.000,5.807,0.486
11,OFRA_PP_2HS27.jpg,0.540,112.747,0.000,191.000,0.000,0.000
12,OFRA_PP_2HS27.jpg,0.266,87.298,0.000,163.000,0.000,0.000
13,OFRA_PP_2HS27.jpg,0.002,118.659,0.000,179.667,-90.000,0.917
14,OFRA_PP_2HS27.jpg,0.001,74.579,0.000,168.000,-90.000,0.557
15,OFRA_PP_2HS27.jpg,0.002,113.131,0.034,181.291,-0.979,0.958
16,OFRA_PP_2HS27.jpg,0.001,82.710,0.035,175.801,-0.855,0.549
17,OFRA_PP_2HS27.jpg,0.695,136.046,0.000,191.000,0.000,0.000
18,OFRA_PP_2HS27.jpg,0.246,102.897,0.000,181.000,0.000,0.000
19,OFRA_PP_2HS27.jpg,0.002,115.617,0.000,182.148,-88.939,0.884
20,OFRA_PP_2HS27.jpg,9.802E-4,67.522,0.009,140.399,-85.073,0.477
21,OFRA_PP_2HS27.jpg,0.002,121.620,0.000,185.889,0.531,0.884
22,OFRA_PP_2HS27.jpg,0.001,72.073,0.000,118.164,1.762,0.532
23,OFRA_PP_2HS27.jpg,0.588,134.776,0.000,202.000,0.000,0.000
24,OFRA_PP_2HS27.jpg,0.230,100.158,0.000,193.000,0.000,0.000
