 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_2HS9_P2.jpg,3.968E-4,131.293,64.097,183.748,-95.013,0.452
2,OFRA_PP_2HS9_P2.jpg,1.699E-4,95.257,51.782,128.729,-101.004,0.193
3,OFRA_PP_2HS9_P2.jpg,3.945E-4,116.122,34.248,185.333,5.377,0.449
4,OFRA_PP_2HS9_P2.jpg,2.384E-4,109.932,49.430,172.741,2.779,0.271
5,OFRA_PP_2HS9_P2.jpg,0.153,139.744,40.000,200.000,0.000,0.000
6,OFRA_PP_2HS9_P2.jpg,0.054,113.728,40.000,184.000,0.000,0.000
7,OFRA_PP_2HS9_P2.jpg,4.606E-4,128.531,57.726,170.829,-83.660,0.524
8,OFRA_PP_2HS9_P2.jpg,2.768E-4,108.869,66.127,166.722,-84.719,0.314
9,OFRA_PP_2HS9_P2.jpg,4.129E-4,122.777,67.739,186.000,5.456,0.470
10,OFRA_PP_2HS9_P2.jpg,2.591E-4,122.598,81.321,175.893,1.534,0.295
11,OFRA_PP_2HS9_P2.jpg,0.201,141.709,34.000,193.000,0.000,0.000
12,OFRA_PP_2HS9_P2.jpg,0.067,114.811,34.000,184.000,0.000,0.000
13,OFRA_PP_2HS9_P2.jpg,4.567E-4,175.635,108.738,203.294,-99.319,0.520
14,OFRA_PP_2HS9_P2.jpg,2.999E-4,167.997,129.422,202.392,-103.392,0.341
15,OFRA_PP_2HS9_P2.jpg,3.506E-4,163.833,90.667,195.955,8.717,0.399
16,OFRA_PP_2HS9_P2.jpg,2.591E-4,163.334,106.988,200.417,10.808,0.295
17,OFRA_PP_2HS9_P2.jpg,0.190,172.667,81.000,218.000,0.000,0.000
18,OFRA_PP_2HS9_P2.jpg,0.079,166.632,81.000,216.000,0.000,0.000
19,OFRA_PP_2HS9_P2.jpg,4.691E-4,105.399,36.179,187.667,-84.627,0.534
20,OFRA_PP_2HS9_P2.jpg,2.707E-4,75.631,29.895,135.712,-89.510,0.308
21,OFRA_PP_2HS9_P2.jpg,4.483E-4,127.517,51.378,189.667,-1.771,0.511
22,OFRA_PP_2HS9_P2.jpg,2.637E-4,88.461,40.333,150.667,-3.013,0.300
23,OFRA_PP_2HS9_P2.jpg,0.211,132.568,27.000,192.000,0.000,0.000
24,OFRA_PP_2HS9_P2.jpg,0.077,102.772,27.000,189.000,0.000,0.000
25,OFRA_PP_2HS9_P2.jpg,4.875E-4,121.801,49.637,184.333,-90.815,0.555
26,OFRA_PP_2HS9_P2.jpg,2.661E-4,97.205,53.768,144.658,-88.506,0.303
27,OFRA_PP_2HS9_P2.jpg,4.275E-4,124.606,54.995,170.333,0.929,0.487
28,OFRA_PP_2HS9_P2.jpg,2.568E-4,88.876,43.559,160.505,1.548,0.292
29,OFRA_PP_2HS9_P2.jpg,0.256,135.033,19.000,189.000,0.000,0.000
30,OFRA_PP_2HS9_P2.jpg,0.081,111.915,19.000,178.000,0.000,0.000
