 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_6EV18.jpg,3.633E-4,161.558,7.425,205.083,-87.039,0.503
2,OFRA_PP_6EV18.jpg,1.864E-4,142.554,67.158,185.967,-80.327,0.258
3,OFRA_PP_6EV18.jpg,3.842E-4,161.670,0.064,195.160,6.855,0.532
4,OFRA_PP_6EV18.jpg,2.249E-4,134.631,1.025,181.492,10.162,0.311
5,OFRA_PP_6EV18.jpg,0.154,170.157,0.000,215.000,0.000,0.000
6,OFRA_PP_6EV18.jpg,0.066,159.062,0.000,215.000,0.000,0.000
7,OFRA_PP_6EV18.jpg,2.301E-4,142.584,11.088,188.778,-86.878,0.318
8,OFRA_PP_6EV18.jpg,1.593E-4,142.219,67.112,192.582,-93.764,0.220
9,OFRA_PP_6EV18.jpg,2.525E-4,122.977,0.019,171.333,-1.893,0.349
10,OFRA_PP_6EV18.jpg,1.588E-4,122.722,0.667,208.246,0.754,0.219
11,OFRA_PP_6EV18.jpg,0.110,147.142,0.000,221.000,0.000,0.000
12,OFRA_PP_6EV18.jpg,0.049,131.937,0.000,221.000,0.000,0.000
13,OFRA_PP_6EV18.jpg,2.624E-4,174.141,116.911,201.710,-94.451,0.363
14,OFRA_PP_6EV18.jpg,1.411E-4,132.037,70.200,189.000,-91.909,0.195
15,OFRA_PP_6EV18.jpg,3.800E-4,152.846,104.198,188.510,-0.707,0.526
16,OFRA_PP_6EV18.jpg,2.067E-4,128.512,0.364,190.374,0.868,0.286
17,OFRA_PP_6EV18.jpg,0.114,163.630,0.000,215.000,0.000,0.000
18,OFRA_PP_6EV18.jpg,0.073,155.365,0.000,214.000,0.000,0.000
19,OFRA_PP_6EV18.jpg,3.477E-4,129.651,0.024,178.237,-77.881,0.481
20,OFRA_PP_6EV18.jpg,2.046E-4,126.109,53.401,189.211,-89.415,0.283
21,OFRA_PP_6EV18.jpg,4.045E-4,145.495,0.153,187.070,-9.948,0.560
22,OFRA_PP_6EV18.jpg,2.166E-4,112.876,0.273,193.317,-6.920,0.299
23,OFRA_PP_6EV18.jpg,0.166,150.390,0.000,209.000,0.000,0.000
24,OFRA_PP_6EV18.jpg,0.070,129.265,0.000,209.000,0.000,0.000
25,OFRA_PP_6EV18.jpg,1.968E-4,137.555,0.538,191.058,-94.259,0.272
26,OFRA_PP_6EV18.jpg,1.619E-4,111.159,0.229,158.628,-102.689,0.223
27,OFRA_PP_6EV18.jpg,3.264E-4,150.438,0.546,201.720,179.085,0.452
28,OFRA_PP_6EV18.jpg,2.067E-4,129.967,80.354,172.822,-2.025,0.286
29,OFRA_PP_6EV18.jpg,0.086,150.477,0.000,212.000,0.000,0.000
30,OFRA_PP_6EV18.jpg,0.053,141.700,0.000,209.000,0.000,0.000
