 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_6GT17.jpg,406,94.792,30.163,150.000,-91.697,405.178
2,OFRA_PP_6GT17.jpg,214,72.623,0.824,123.100,-99.728,213.063
3,OFRA_PP_6GT17.jpg,631,99.135,0.111,164.381,-1.364,630.179
4,OFRA_PP_6GT17.jpg,283,63.887,0.000,109.674,1.828,282.144
5,OFRA_PP_6GT17.jpg,157320,108.778,0.000,183.000,0.000,0.000
6,OFRA_PP_6GT17.jpg,53757,89.930,0.000,183.000,0.000,0.000
7,OFRA_PP_6GT17.jpg,417,131.456,0.000,174.816,-94.970,415.562
8,OFRA_PP_6GT17.jpg,275,94.949,0.107,167.867,-111.218,273.543
9,OFRA_PP_6GT17.jpg,523,136.236,0.172,181.667,-1.975,522.310
10,OFRA_PP_6GT17.jpg,279,110.391,0.422,168.326,6.203,277.626
11,OFRA_PP_6GT17.jpg,192639,144.491,0.000,191.000,0.000,0.000
12,OFRA_PP_6GT17.jpg,71937,126.023,0.000,191.000,0.000,0.000
13,OFRA_PP_6GT17.jpg,439,113.673,0.347,163.153,-96.297,437.640
14,OFRA_PP_6GT17.jpg,236,88.239,0.294,160.112,-110.985,234.557
15,OFRA_PP_6GT17.jpg,523,124.396,0.000,176.264,-0.659,522.034
16,OFRA_PP_6GT17.jpg,250,81.209,0.667,131.908,-2.070,249.163
17,OFRA_PP_6GT17.jpg,160515,122.274,0.000,183.000,0.000,0.000
18,OFRA_PP_6GT17.jpg,44622,102.447,0.000,177.000,0.000,0.000
19,OFRA_PP_6GT17.jpg,432,59.746,0.000,98.806,-105.325,431.337
20,OFRA_PP_6GT17.jpg,208,41.755,0.174,95.319,-115.821,206.630
21,OFRA_PP_6GT17.jpg,527,77.307,0.000,121.000,0.000,526.000
22,OFRA_PP_6GT17.jpg,265,55.419,0.330,116.566,6.532,263.712
23,OFRA_PP_6GT17.jpg,165348,80.259,0.000,153.000,0.000,0.000
24,OFRA_PP_6GT17.jpg,38295,70.041,0.000,137.000,0.000,0.000
25,OFRA_PP_6GT17.jpg,471,136.572,103.193,166.203,-104.806,469.591
26,OFRA_PP_6GT17.jpg,277,97.132,0.110,157.573,-115.821,275.507
27,OFRA_PP_6GT17.jpg,619,119.062,0.000,167.356,1.668,618.262
28,OFRA_PP_6GT17.jpg,277,91.771,0.181,161.184,2.075,276.181
29,OFRA_PP_6GT17.jpg,232379,129.737,0.000,195.000,0.000,0.000
30,OFRA_PP_6GT17.jpg,73277,112.702,0.000,195.000,0.000,0.000
