 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_8CX24.jpg,3.786E-4,162.165,0.004,218.333,-81.254,0.423
2,OFRA_PP_8CX24.jpg,2.415E-4,158.865,104.440,199.975,-83.157,0.270
3,OFRA_PP_8CX24.jpg,4.105E-4,174.226,1.819E-12,223.913,0.669,0.459
4,OFRA_PP_8CX24.jpg,2.415E-4,140.929,0.059,194.000,11.086,0.269
5,OFRA_PP_8CX24.jpg,0.139,182.300,0.000,232.000,0.000,0.000
6,OFRA_PP_8CX24.jpg,0.070,170.353,0.000,226.000,0.000,0.000
7,OFRA_PP_8CX24.jpg,3.914E-4,183.886,0.000,226.048,-88.363,0.438
8,OFRA_PP_8CX24.jpg,2.407E-4,175.105,132.917,218.000,-94.194,0.269
9,OFRA_PP_8CX24.jpg,4.233E-4,188.265,0.333,231.899,1.945,0.473
10,OFRA_PP_8CX24.jpg,2.463E-4,146.954,0.000,209.333,2.974,0.275
11,OFRA_PP_8CX24.jpg,0.138,192.759,0.000,233.000,0.000,0.000
12,OFRA_PP_8CX24.jpg,0.068,173.410,0.000,231.000,0.000,0.000
13,OFRA_PP_8CX24.jpg,3.826E-4,175.261,0.221,227.333,-93.830,0.428
14,OFRA_PP_8CX24.jpg,2.439E-4,174.962,132.565,218.844,-102.121,0.272
15,OFRA_PP_8CX24.jpg,3.930E-4,164.707,0.389,222.667,-2.560,0.440
16,OFRA_PP_8CX24.jpg,2.662E-4,169.110,134.674,204.687,8.276,0.298
17,OFRA_PP_8CX24.jpg,0.156,199.199,0.000,234.000,0.000,0.000
18,OFRA_PP_8CX24.jpg,0.078,183.778,0.000,228.000,0.000,0.000
19,OFRA_PP_8CX24.jpg,3.595E-4,163.915,0.160,197.667,-91.146,0.402
20,OFRA_PP_8CX24.jpg,2.232E-4,140.102,98.667,173.333,-90.000,0.249
21,OFRA_PP_8CX24.jpg,3.531E-4,134.506,0.149,174.447,4.279,0.395
22,OFRA_PP_8CX24.jpg,2.399E-4,131.102,2.467,190.013,7.481,0.267
23,OFRA_PP_8CX24.jpg,0.144,152.276,0.000,217.000,0.000,0.000
24,OFRA_PP_8CX24.jpg,0.080,141.859,0.000,217.000,0.000,0.000
25,OFRA_PP_8CX24.jpg,2.686E-4,126.537,0.277,197.119,-91.534,0.300
26,OFRA_PP_8CX24.jpg,2.049E-4,161.502,96.369,206.223,-95.377,0.229
27,OFRA_PP_8CX24.jpg,3.691E-4,144.460,0.000,211.667,0.000,0.412
28,OFRA_PP_8CX24.jpg,2.184E-4,125.688,0.297,205.110,1.888,0.244
29,OFRA_PP_8CX24.jpg,0.096,161.641,0.000,222.000,0.000,0.000
30,OFRA_PP_8CX24.jpg,0.058,146.106,0.000,218.000,0.000,0.000
