 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_96T30_P2.jpg,472,127.890,0.000,216.013,-89.270,471.038
2,OFRA_PP_96T30_P2.jpg,310,86.391,48.408,130.537,-87.776,309.233
3,OFRA_PP_96T30_P2.jpg,458,139.614,0.000,206.000,3.389,456.799
4,OFRA_PP_96T30_P2.jpg,296,90.839,0.000,148.465,12.907,295.466
5,OFRA_PP_96T30_P2.jpg,180657,155.233,0.000,221.000,0.000,0.000
6,OFRA_PP_96T30_P2.jpg,76338,115.797,0.000,209.000,0.000,0.000
7,OFRA_PP_96T30_P2.jpg,475,150.218,75.722,211.620,-89.637,474.009
8,OFRA_PP_96T30_P2.jpg,341,90.441,0.259,184.000,-86.455,339.650
9,OFRA_PP_96T30_P2.jpg,562,146.537,0.020,205.186,-5.833,560.904
10,OFRA_PP_96T30_P2.jpg,293,120.006,0.710,182.333,5.301,292.250
11,OFRA_PP_96T30_P2.jpg,221373,174.217,0.000,231.000,0.000,0.000
12,OFRA_PP_96T30_P2.jpg,74487,131.202,0.000,217.000,0.000,0.000
13,OFRA_PP_96T30_P2.jpg,544,145.901,0.015,216.197,-89.050,543.075
14,OFRA_PP_96T30_P2.jpg,304,103.198,0.000,161.333,-88.299,303.134
15,OFRA_PP_96T30_P2.jpg,497,167.482,0.233,217.667,-11.514,495.981
16,OFRA_PP_96T30_P2.jpg,294,110.785,0.467,182.333,6.470,292.865
17,OFRA_PP_96T30_P2.jpg,222957,177.789,0.000,232.000,0.000,0.000
18,OFRA_PP_96T30_P2.jpg,94434,150.954,0.000,222.000,0.000,0.000
19,OFRA_PP_96T30_P2.jpg,517,159.667,0.065,214.209,-96.684,515.504
20,OFRA_PP_96T30_P2.jpg,299,95.571,0.154,194.978,-88.078,298.168
21,OFRA_PP_96T30_P2.jpg,475,146.177,0.000,209.667,-1.209,474.105
22,OFRA_PP_96T30_P2.jpg,281,95.096,0.000,178.667,0.000,280.000
23,OFRA_PP_96T30_P2.jpg,204867,172.181,0.000,232.000,0.000,0.000
24,OFRA_PP_96T30_P2.jpg,75637,133.501,0.000,224.000,0.000,0.000
25,OFRA_PP_96T30_P2.jpg,473,135.887,0.000,205.333,-90.000,472.000
26,OFRA_PP_96T30_P2.jpg,295,92.723,0.101,171.769,-104.982,293.993
27,OFRA_PP_96T30_P2.jpg,545,144.261,0.000,197.669,-1.053,544.092
28,OFRA_PP_96T30_P2.jpg,319,93.076,0.055,154.765,0.721,318.025
29,OFRA_PP_96T30_P2.jpg,230194,158.827,0.000,219.000,0.000,0.000
30,OFRA_PP_96T30_P2.jpg,83008,123.749,0.000,206.000,0.000,0.000
