 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_9GX5_P1 .png,0.001,179.292,0.000,218.986,-86.517,0.347
2,OFRA_PP_9GX5_P1 .png,6.713E-4,162.288,49.708,186.746,-137.779,0.220
3,OFRA_PP_9GX5_P1 .png,0.001,186.013,0.000,217.556,3.814,0.362
4,OFRA_PP_9GX5_P1 .png,5.262E-4,167.838,0.000,215.000,10.125,0.171
5,OFRA_PP_9GX5_P1 .png,9.072E-6,190.000,190.000,190.000,0.000,0.000
6,OFRA_PP_9GX5_P1 .png,0.029,172.912,0.000,229.000,0.000,0.000
7,OFRA_PP_9GX5_P1 .png,0.001,162.998,95.646,212.114,-99.660,0.431
8,OFRA_PP_9GX5_P1 .png,6.894E-4,109.800,0.000,176.889,-105.524,0.225
9,OFRA_PP_9GX5_P1 .png,9.707E-4,156.552,0.000,205.925,2.161,0.319
10,OFRA_PP_9GX5_P1 .png,5.534E-4,124.611,0.713,203.773,9.620,0.180
11,OFRA_PP_9GX5_P1 .png,9.072E-6,199.000,199.000,199.000,0.000,0.000
12,OFRA_PP_9GX5_P1 .png,9.072E-6,170.000,170.000,170.000,0.000,0.000
13,OFRA_PP_9GX5_P1 .png,0.000,NaN,255.000,0.000,0.000,0.000
14,OFRA_PP_9GX5_P1 .png,0.000,NaN,255.000,0.000,0.000,0.000
15,OFRA_PP_9GX5_P1 .png,0.001,168.812,0.000,199.333,2.990,0.404
16,OFRA_PP_9GX5_P1 .png,5.171E-4,150.629,0.286,181.476,4.086,0.169
17,OFRA_PP_9GX5_P1 .png,0.000,NaN,255.000,0.000,0.000,0.000
18,OFRA_PP_9GX5_P1 .png,0.000,NaN,255.000,0.000,0.000,0.000
19,OFRA_PP_9GX5_P1 .png,0.001,143.875,0.000,192.473,-106.699,0.440
20,OFRA_PP_9GX5_P1 .png,6.169E-4,126.880,0.478,180.667,-115.796,0.201
21,OFRA_PP_9GX5_P1 .png,0.001,152.542,101.996,183.788,5.156,0.402
22,OFRA_PP_9GX5_P1 .png,6.259E-4,105.201,0.000,172.000,7.651,0.204
23,OFRA_PP_9GX5_P1 .png,9.072E-6,139.000,139.000,139.000,0.000,0.000
24,OFRA_PP_9GX5_P1 .png,9.072E-6,141.000,141.000,141.000,0.000,0.000
25,OFRA_PP_9GX5_P1 .png,0.001,150.669,0.000,213.167,-89.045,0.361
26,OFRA_PP_9GX5_P1 .png,6.259E-4,173.716,114.271,210.345,-99.324,0.205
27,OFRA_PP_9GX5_P1 .png,0.001,185.267,0.000,220.339,1.481,0.350
28,OFRA_PP_9GX5_P1 .png,6.532E-4,142.720,0.000,196.000,6.429,0.215
29,OFRA_PP_9GX5_P1 .png,0.093,181.788,0.000,225.000,0.000,0.000
30,OFRA_PP_9GX5_P1 .png,0.037,158.043,0.000,218.000,0.000,0.000
